"Summary"
"[Software Information]"
"Software Name:","LabSolutions RF"
"Version:","1.12"
"[Data Information]"
"Data is:","Modified"
"Sample Name"
"Sample ID"
"Option"
"Analyst"
"Date/Time:","07/24/2020 10:30:43 PM"
"Comments"
"[Instrument Information]"
"Instrument Name:","RF-6000"
"Instrument Type:","RF-6000 Series"
"Model (S/N):","RF-6000 (A40245500756SA)"

"Parameter"
"[Measurement]"
"Spectrum Type:","Emission"
"EX Wavelength:","350.0 nm"
"EM Wavelength Start:","365.0 nm"
"EM Wavelength End:","450.0 nm"
"Data Interval:","0.5 nm"
"Scan Speed:","600 nm/min"
"[Instrument]"
"EX Bandwidth:","5.0 nm"
"EM Bandwidth:","5.0 nm"
"Sensitivity:","Auto"
"[Attachment]"
"Attachment:","None"
"[Auto Print]"
"Auto Print:","No"
"Report File:",""

"WaterRaman_10PM_4 - CorrectionData"
"Wavelength nm.","Intensity"
365,12.330
366,11.842
366,11.282
367,11.416
367,11.493
368,10.879
368,11.078
369,10.647
369,10.543
370,10.814
370,10.783
371,10.462
371,10.285
372,10.552
372,9.871
373,10.024
373,9.900
374,9.921
374,9.742
375,9.836
375,9.285
376,9.338
376,9.144
377,8.954
377,8.958
378,8.626
378,8.773
379,8.616
379,8.370
380,8.440
380,8.405
381,8.294
381,8.598
382,8.399
382,8.550
383,9.012
383,9.465
384,10.526
384,11.739
385,12.661
385,14.097
386,15.296
386,17.988
387,20.949
387,24.541
388,29.018
388,32.875
389,38.108
389,45.150
390,53.006
390,60.895
391,69.011
391,76.870
392,84.086
392,95.431
393,103.415
393,115.267
394,124.951
394,131.830
395,137.551
395,146.407
396,153.177
396,159.396
397,163.430
397,165.237
398,163.316
398,164.666
399,160.697
399,156.118
400,149.680
400,143.706
401,138.087
401,130.922
402,120.772
402,108.655
403,99.912
403,91.822
404,83.627
404,76.262
405,68.166
405,58.596
406,49.874
406,44.746
407,39.698
407,34.899
408,29.188
408,24.426
409,20.354
409,18.002
410,16.364
410,14.221
411,12.168
411,11.002
412,9.762
412,8.883
413,8.539
413,8.189
414,7.480
414,7.140
415,6.962
415,6.721
416,6.714
416,6.553
417,6.148
417,6.058
418,6.032
418,5.877
419,5.767
419,5.643
420,5.690
420,5.592
421,5.449
421,5.410
422,5.386
422,5.380
423,5.324
423,5.317
424,5.366
424,5.194
425,5.229
425,5.146
426,5.222
426,5.263
427,5.126
427,5.238
428,5.230
428,5.167
429,5.111
429,5.096
430,5.191
430,5.153
431,5.047
431,5.023
432,5.136
432,5.119
433,5.007
433,5.066
434,5.121
434,5.085
435,5.007
435,5.091
436,5.030
436,5.076
437,4.984
437,5.034
438,5.055
438,4.994
439,4.989
439,5.063
440,4.962
440,5.095
441,4.988
441,4.968
442,4.976
442,5.019
443,5.035
443,4.977
444,5.001
444,5.064
445,4.960
445,5.083
446,5.031
446,5.039
447,5.067
447,5.015
448,5.072
448,5.134
449,5.108
449,5.141
450,5.024
450,5.211
