"Summary"
"[Software Information]"
"Software Name:","LabSolutions RF"
"Version:","1.12"
"[Data Information]"
"Data is:","Modified"
"Sample Name"
"Sample ID"
"Option"
"Analyst"
"Date/Time:","07/24/2020 01:25:57 PM"
"Comments"
"[Instrument Information]"
"Instrument Name:","RF-6000"
"Instrument Type:","RF-6000 Series"
"Model (S/N):","RF-6000 (A40245500756SA)"

"Parameter"
"[Measurement]"
"Spectrum Type:","Emission"
"EX Wavelength:","350.0 nm"
"EM Wavelength Start:","365.0 nm"
"EM Wavelength End:","450.0 nm"
"Data Interval:","0.5 nm"
"Scan Speed:","600 nm/min"
"[Instrument]"
"EX Bandwidth:","5.0 nm"
"EM Bandwidth:","5.0 nm"
"Sensitivity:","Auto"
"[Attachment]"
"Attachment:","None"
"[Auto Print]"
"Auto Print:","No"
"Report File:",""

"WaterRaman_1PM_5 - CorrectionData"
"Wavelength nm.","Intensity"
365,1.024
366,0.787
366,0.729
367,0.748
367,0.225
368,0.101
368,0.059
369,-0.141
369,-0.597
370,-0.051
370,-0.426
371,-0.353
371,-0.490
372,-0.483
372,-0.726
373,-0.780
373,-0.747
374,-0.897
374,-1.183
375,-1.294
375,-1.430
376,-1.275
376,-1.598
377,-1.906
377,-1.926
378,-2.221
378,-2.368
379,-2.346
379,-2.509
380,-2.659
380,-2.507
381,-2.535
381,-2.597
382,-2.282
382,-2.308
383,-2.140
383,-1.456
384,-0.528
384,0.334
385,1.351
385,2.913
386,4.195
386,6.985
387,10.471
387,14.702
388,19.141
388,22.138
389,27.329
389,33.534
390,41.193
390,49.961
391,58.840
391,66.124
392,73.615
392,85.154
393,93.768
393,104.125
394,114.771
394,120.298
395,127.630
395,135.812
396,144.192
396,148.473
397,152.625
397,153.337
398,153.873
398,154.150
399,152.496
399,146.014
400,139.948
400,134.355
401,128.997
401,121.023
402,110.539
402,100.917
403,89.525
403,83.299
404,73.425
404,65.568
405,56.149
405,47.796
406,39.725
406,33.924
407,28.083
407,23.373
408,17.867
408,13.211
409,9.707
409,7.467
410,4.996
410,2.713
411,0.995
411,-0.342
412,-1.499
412,-2.036
413,-2.480
413,-3.381
414,-3.703
414,-4.374
415,-4.248
415,-4.518
416,-4.757
416,-4.881
417,-5.103
417,-5.301
418,-5.190
418,-5.180
419,-5.440
419,-5.433
420,-5.651
420,-5.557
421,-5.540
421,-5.746
422,-5.715
422,-5.838
423,-5.742
423,-5.868
424,-5.855
424,-5.800
425,-5.922
425,-5.979
426,-5.946
426,-5.940
427,-6.109
427,-5.928
428,-6.111
428,-6.050
429,-6.072
429,-6.141
430,-6.037
430,-6.174
431,-6.070
431,-6.139
432,-6.088
432,-6.178
433,-6.014
433,-6.197
434,-5.984
434,-6.179
435,-6.110
435,-6.129
436,-6.279
436,-6.238
437,-6.256
437,-6.226
438,-6.170
438,-6.102
439,-6.250
439,-6.252
440,-6.285
440,-6.173
441,-6.206
441,-6.251
442,-6.212
442,-6.327
443,-6.338
443,-6.318
444,-6.194
444,-6.228
445,-6.227
445,-6.175
446,-6.304
446,-6.151
447,-6.362
447,-6.355
448,-6.424
448,-6.263
449,-6.349
449,-6.348
450,-6.390
450,-6.255
