"Summary"
"[Software Information]"
"Software Name:","LabSolutions RF"
"Version:","1.12"
"[Data Information]"
"Data is:","Modified"
"Sample Name"
"Sample ID"
"Option"
"Analyst"
"Date/Time:","07/24/2020 10:29:07 PM"
"Comments"
"[Instrument Information]"
"Instrument Name:","RF-6000"
"Instrument Type:","RF-6000 Series"
"Model (S/N):","RF-6000 (A40245500756SA)"

"Parameter"
"[Measurement]"
"Spectrum Type:","Emission"
"EX Wavelength:","350.0 nm"
"EM Wavelength Start:","365.0 nm"
"EM Wavelength End:","450.0 nm"
"Data Interval:","0.5 nm"
"Scan Speed:","600 nm/min"
"[Instrument]"
"EX Bandwidth:","5.0 nm"
"EM Bandwidth:","5.0 nm"
"Sensitivity:","Auto"
"[Attachment]"
"Attachment:","None"
"[Auto Print]"
"Auto Print:","No"
"Report File:",""

"WaterRaman_10PM_3 - CorrectionData"
"Wavelength nm.","Intensity"
365,12.319
366,12.127
366,11.538
367,11.599
367,11.452
368,11.158
368,10.924
369,10.759
369,10.618
370,10.601
370,10.275
371,10.347
371,10.113
372,10.329
372,10.123
373,9.955
373,9.846
374,9.815
374,9.690
375,9.508
375,9.363
376,9.159
376,9.127
377,8.904
377,8.911
378,8.531
378,8.309
379,8.385
379,8.461
380,8.498
380,8.385
381,8.178
381,8.296
382,8.304
382,8.759
383,8.828
383,9.449
384,10.333
384,11.471
385,12.584
385,13.726
386,15.822
386,18.014
387,21.156
387,24.868
388,29.578
388,32.957
389,37.857
389,44.467
390,52.942
390,61.480
391,68.434
391,76.284
392,84.022
392,95.221
393,105.358
393,114.646
394,124.687
394,131.767
395,139.129
395,145.134
396,153.871
396,158.811
397,162.048
397,166.218
398,164.215
398,162.364
399,160.977
399,155.933
400,149.093
400,146.145
401,137.614
401,130.141
402,121.712
402,110.039
403,99.698
403,92.246
404,83.653
404,76.269
405,68.380
405,58.719
406,50.384
406,44.638
407,39.170
407,34.269
408,29.032
408,24.409
409,20.636
409,18.326
410,16.135
410,14.433
411,12.224
411,10.777
412,9.595
412,9.021
413,8.470
413,8.131
414,7.493
414,7.280
415,6.929
415,6.651
416,6.537
416,6.488
417,6.274
417,6.022
418,5.894
418,5.793
419,5.744
419,5.636
420,5.593
420,5.428
421,5.471
421,5.402
422,5.325
422,5.283
423,5.367
423,5.288
424,5.205
424,5.289
425,5.154
425,5.168
426,5.156
426,5.213
427,5.118
427,5.134
428,5.152
428,5.196
429,5.224
429,5.062
430,5.052
430,5.067
431,5.096
431,5.012
432,5.089
432,5.044
433,5.005
433,5.086
434,5.052
434,5.071
435,5.068
435,5.022
436,5.042
436,5.044
437,4.989
437,5.002
438,5.087
438,5.126
439,5.001
439,4.978
440,5.066
440,4.949
441,5.004
441,5.024
442,4.964
442,4.929
443,4.977
443,4.983
444,5.027
444,5.056
445,5.028
445,4.976
446,4.950
446,5.187
447,5.050
447,4.951
448,5.005
448,4.971
449,5.041
449,5.041
450,5.069
450,5.085
