"Summary"
"[Software Information]"
"Software Name:","LabSolutions RF"
"Version:","1.12"
"[Data Information]"
"Data is:","Modified"
"Sample Name"
"Sample ID"
"Option"
"Analyst"
"Date/Time:","07/24/2020 10:27:48 PM"
"Comments"
"[Instrument Information]"
"Instrument Name:","RF-6000"
"Instrument Type:","RF-6000 Series"
"Model (S/N):","RF-6000 (A40245500756SA)"

"Parameter"
"[Measurement]"
"Spectrum Type:","Emission"
"EX Wavelength:","350.0 nm"
"EM Wavelength Start:","365.0 nm"
"EM Wavelength End:","450.0 nm"
"Data Interval:","0.5 nm"
"Scan Speed:","600 nm/min"
"[Instrument]"
"EX Bandwidth:","5.0 nm"
"EM Bandwidth:","5.0 nm"
"Sensitivity:","Auto"
"[Attachment]"
"Attachment:","None"
"[Auto Print]"
"Auto Print:","No"
"Report File:",""

"WaterRaman_10PM_2 - CorrectionData"
"Wavelength nm.","Intensity"
365,12.203
366,11.748
366,11.699
367,11.412
367,10.968
368,11.036
368,10.744
369,10.429
369,10.339
370,10.685
370,10.729
371,10.180
371,10.531
372,10.409
372,10.312
373,9.887
373,9.909
374,10.189
374,9.757
375,9.687
375,9.427
376,9.216
376,9.248
377,9.026
377,9.170
378,8.749
378,8.692
379,8.520
379,8.374
380,8.252
380,8.449
381,8.132
381,8.232
382,8.428
382,8.612
383,8.931
383,9.373
384,10.208
384,11.336
385,12.674
385,13.892
386,15.557
386,18.058
387,21.273
387,25.201
388,29.361
388,33.184
389,38.126
389,44.965
390,51.871
390,59.727
391,68.647
391,76.305
392,82.542
392,95.248
393,105.045
393,114.172
394,125.760
394,132.552
395,139.056
395,145.141
396,154.196
396,159.638
397,161.948
397,164.818
398,165.281
398,162.315
399,161.296
399,156.191
400,151.086
400,146.031
401,138.068
401,133.109
402,121.209
402,109.967
403,100.601
403,92.370
404,84.646
404,74.684
405,67.724
405,58.092
406,50.114
406,44.749
407,40.174
407,33.985
408,29.112
408,24.068
409,20.761
409,18.082
410,15.854
410,14.214
411,12.273
411,10.737
412,9.896
412,8.991
413,8.427
413,8.054
414,7.486
414,7.144
415,6.996
415,6.643
416,6.587
416,6.328
417,6.193
417,6.001
418,6.020
418,6.048
419,5.753
419,5.594
420,5.599
420,5.533
421,5.398
421,5.327
422,5.533
422,5.375
423,5.335
423,5.343
424,5.283
424,5.170
425,5.130
425,5.300
426,5.215
426,5.268
427,5.182
427,5.263
428,5.216
428,5.126
429,5.097
429,5.113
430,5.172
430,5.190
431,5.121
431,5.042
432,5.026
432,5.083
433,4.988
433,5.047
434,5.019
434,5.156
435,5.072
435,5.026
436,5.064
436,5.022
437,5.046
437,4.995
438,5.014
438,4.987
439,5.113
439,5.042
440,4.899
440,4.988
441,4.980
441,4.969
442,4.979
442,5.076
443,5.023
443,5.019
444,4.927
444,4.988
445,5.068
445,5.020
446,5.066
446,5.071
447,5.106
447,5.060
448,5.103
448,5.088
449,5.032
449,5.121
450,5.077
450,5.053
