"Summary"
"[Software Information]"
"Software Name:","LabSolutions RF"
"Version:","1.12"
"[Data Information]"
"Data is:","Modified"
"Sample Name"
"Sample ID"
"Option"
"Analyst"
"Date/Time:","07/24/2020 01:22:32 PM"
"Comments"
"[Instrument Information]"
"Instrument Name:","RF-6000"
"Instrument Type:","RF-6000 Series"
"Model (S/N):","RF-6000 (A40245500756SA)"

"Parameter"
"[Measurement]"
"Spectrum Type:","Emission"
"EX Wavelength:","350.0 nm"
"EM Wavelength Start:","365.0 nm"
"EM Wavelength End:","450.0 nm"
"Data Interval:","0.5 nm"
"Scan Speed:","600 nm/min"
"[Instrument]"
"EX Bandwidth:","5.0 nm"
"EM Bandwidth:","5.0 nm"
"Sensitivity:","Auto"
"[Attachment]"
"Attachment:","None"
"[Auto Print]"
"Auto Print:","No"
"Report File:",""

"WaterRaman_1PM_3 - CorrectionData"
"Wavelength nm.","Intensity"
365,1.091
366,1.319
366,0.558
367,0.269
367,0.177
368,0.065
368,-0.133
369,-0.244
369,-0.453
370,-0.141
370,-0.292
371,-0.390
371,-0.454
372,-0.402
372,-0.758
373,-0.931
373,-0.782
374,-1.010
374,-1.473
375,-1.196
375,-1.601
376,-1.708
376,-1.815
377,-1.836
377,-2.237
378,-2.358
378,-2.202
379,-2.634
379,-2.326
380,-2.651
380,-2.733
381,-2.799
381,-2.586
382,-2.550
382,-2.620
383,-2.321
383,-1.384
384,-0.634
384,0.598
385,1.451
385,2.797
386,4.627
386,7.039
387,10.681
387,14.038
388,18.730
388,22.784
389,26.824
389,34.593
390,41.298
390,49.328
391,57.912
391,66.754
392,72.747
392,85.372
393,93.326
393,104.753
394,112.835
394,121.454
395,127.941
395,136.338
396,144.776
396,148.555
397,151.556
397,154.768
398,154.585
398,152.861
399,150.207
399,146.032
400,140.251
400,134.899
401,129.603
401,121.166
402,110.326
402,99.682
403,91.694
403,81.218
404,74.499
404,64.570
405,57.063
405,48.157
406,39.604
406,32.940
407,28.042
407,22.878
408,18.254
408,13.043
409,9.774
409,6.866
410,5.135
410,2.892
411,0.960
411,-0.236
412,-1.474
412,-2.655
413,-2.842
413,-3.603
414,-3.841
414,-4.168
415,-4.512
415,-4.830
416,-4.737
416,-4.956
417,-5.139
417,-5.271
418,-5.341
418,-5.493
419,-5.381
419,-5.599
420,-5.731
420,-5.766
421,-5.955
421,-5.838
422,-5.864
422,-5.932
423,-5.998
423,-6.027
424,-6.093
424,-6.033
425,-6.126
425,-6.161
426,-6.172
426,-6.191
427,-6.122
427,-6.019
428,-6.159
428,-6.233
429,-6.237
429,-6.098
430,-6.235
430,-6.138
431,-6.238
431,-6.260
432,-6.161
432,-6.309
433,-6.258
433,-6.202
434,-6.234
434,-6.353
435,-6.337
435,-6.396
436,-6.264
436,-6.279
437,-6.247
437,-6.401
438,-6.413
438,-6.294
439,-6.327
439,-6.264
440,-6.382
440,-6.295
441,-6.325
441,-6.331
442,-6.204
442,-6.403
443,-6.378
443,-6.431
444,-6.480
444,-6.320
445,-6.437
445,-6.418
446,-6.371
446,-6.516
447,-6.458
447,-6.372
448,-6.280
448,-6.431
449,-6.492
449,-6.433
450,-6.483
450,-6.531
