"Summary"
"[Software Information]"
"Software Name:","LabSolutions RF"
"Version:","1.12"
"[Data Information]"
"Data is:","Modified"
"Sample Name"
"Sample ID"
"Option"
"Analyst"
"Date/Time:","07/26/2020 03:24:35 PM"
"Comments"
"[Instrument Information]"
"Instrument Name:","RF-6000"
"Instrument Type:","RF-6000 Series"
"Model (S/N):","RF-6000 (A40245500756SA)"

"Parameter"
"[Measurement]"
"Spectrum Type:","Emission"
"EX Wavelength:","350.0 nm"
"EM Wavelength Start:","365.0 nm"
"EM Wavelength End:","450.0 nm"
"Data Interval:","0.5 nm"
"Scan Speed:","600 nm/min"
"[Instrument]"
"EX Bandwidth:","5.0 nm"
"EM Bandwidth:","5.0 nm"
"Sensitivity:","Auto"
"[Attachment]"
"Attachment:","None"
"[Auto Print]"
"Auto Print:","No"
"Report File:",""

"WaterRaman_3PM_2 - CorrectionData"
"Wavelength nm.","Intensity"
365,7.901
366,7.280
366,7.058
367,6.954
367,6.667
368,6.736
368,6.430
369,6.294
369,6.141
370,6.247
370,5.699
371,5.862
371,6.129
372,5.740
372,5.892
373,5.724
373,5.664
374,5.373
374,5.239
375,5.226
375,4.979
376,4.826
376,4.698
377,4.436
377,4.251
378,4.221
378,4.157
379,3.938
379,4.023
380,3.872
380,4.013
381,3.966
381,3.930
382,4.082
382,4.369
383,4.439
383,4.910
384,5.876
384,7.315
385,8.173
385,9.458
386,11.184
386,13.321
387,16.662
387,20.574
388,25.350
388,29.129
389,32.963
389,40.531
390,46.978
390,55.712
391,62.690
391,71.692
392,78.577
392,90.039
393,98.434
393,108.920
394,118.172
394,125.234
395,133.224
395,140.072
396,147.108
396,152.372
397,153.484
397,157.544
398,157.582
398,156.567
399,153.505
399,148.563
400,142.102
400,138.581
401,132.486
401,124.404
402,112.969
402,102.740
403,93.159
403,85.268
404,76.722
404,69.247
405,61.771
405,53.461
406,45.143
406,38.494
407,33.253
407,29.404
408,23.842
408,19.469
409,16.168
409,13.232
410,11.447
410,9.353
411,7.507
411,6.228
412,5.176
412,4.681
413,4.015
413,3.392
414,2.885
414,2.555
415,2.278
415,2.126
416,2.046
416,1.893
417,1.797
417,1.443
418,1.404
418,1.400
419,1.293
419,1.282
420,0.977
420,1.172
421,0.979
421,0.904
422,1.040
422,0.790
423,0.867
423,0.820
424,0.797
424,0.752
425,0.797
425,0.794
426,0.751
426,0.742
427,0.738
427,0.725
428,0.606
428,0.600
429,0.725
429,0.641
430,0.673
430,0.655
431,0.544
431,0.624
432,0.600
432,0.575
433,0.493
433,0.541
434,0.526
434,0.527
435,0.606
435,0.403
436,0.564
436,0.640
437,0.437
437,0.433
438,0.515
438,0.508
439,0.519
439,0.617
440,0.586
440,0.487
441,0.362
441,0.467
442,0.508
442,0.544
443,0.537
443,0.533
444,0.453
444,0.510
445,0.437
445,0.555
446,0.545
446,0.583
447,0.532
447,0.581
448,0.478
448,0.509
449,0.458
449,0.607
450,0.552
450,0.542
