"Summary"
"[Software Information]"
"Software Name:","LabSolutions RF"
"Version:","1.12"
"[Data Information]"
"Data is:","Modified"
"Sample Name"
"Sample ID"
"Option"
"Analyst"
"Date/Time:","07/24/2020 10:32:02 PM"
"Comments"
"[Instrument Information]"
"Instrument Name:","RF-6000"
"Instrument Type:","RF-6000 Series"
"Model (S/N):","RF-6000 (A40245500756SA)"

"Parameter"
"[Measurement]"
"Spectrum Type:","Emission"
"EX Wavelength:","350.0 nm"
"EM Wavelength Start:","365.0 nm"
"EM Wavelength End:","450.0 nm"
"Data Interval:","0.5 nm"
"Scan Speed:","600 nm/min"
"[Instrument]"
"EX Bandwidth:","5.0 nm"
"EM Bandwidth:","5.0 nm"
"Sensitivity:","Auto"
"[Attachment]"
"Attachment:","None"
"[Auto Print]"
"Auto Print:","No"
"Report File:",""

"WaterRaman_10PM_5 - CorrectionData"
"Wavelength nm.","Intensity"
365,12.305
366,11.641
366,11.455
367,11.263
367,11.363
368,11.043
368,10.788
369,10.663
369,10.700
370,10.948
370,10.463
371,10.482
371,10.128
372,10.171
372,9.876
373,10.212
373,10.021
374,9.740
374,9.487
375,9.450
375,9.329
376,9.071
376,9.188
377,8.753
377,8.932
378,8.714
378,8.400
379,8.300
379,8.509
380,8.291
380,8.404
381,8.172
381,8.348
382,8.593
382,8.472
383,9.120
383,9.328
384,10.147
384,11.177
385,12.794
385,13.935
386,15.456
386,17.818
387,21.427
387,25.264
388,29.453
388,33.244
389,38.186
389,45.091
390,52.035
390,61.392
391,68.560
391,76.319
392,83.569
392,97.193
393,103.504
393,116.154
394,125.892
394,132.879
395,138.910
395,145.205
396,153.751
396,157.671
397,162.670
397,165.588
398,164.355
398,165.259
399,159.670
399,155.713
400,149.191
400,144.589
401,137.588
401,130.657
402,121.617
402,108.571
403,100.957
403,91.513
404,84.661
404,75.724
405,67.688
405,57.759
406,50.005
406,43.572
407,38.770
407,34.469
408,28.939
408,23.835
409,20.730
409,18.111
410,16.336
410,13.934
411,12.336
411,10.730
412,9.709
412,9.057
413,8.780
413,8.127
414,7.650
414,7.253
415,6.837
415,6.825
416,6.495
416,6.429
417,6.272
417,6.135
418,5.906
418,5.852
419,5.804
419,5.692
420,5.521
420,5.698
421,5.395
421,5.477
422,5.353
422,5.410
423,5.419
423,5.318
424,5.331
424,5.230
425,5.215
425,5.087
426,5.134
426,5.388
427,5.107
427,5.191
428,5.183
428,5.098
429,5.075
429,5.165
430,5.039
430,5.102
431,5.140
431,5.155
432,5.038
432,5.082
433,5.193
433,5.125
434,5.056
434,5.017
435,4.992
435,5.049
436,5.038
436,5.164
437,4.973
437,5.028
438,5.124
438,5.139
439,5.006
439,5.021
440,5.003
440,5.001
441,5.060
441,4.974
442,5.038
442,5.041
443,5.104
443,5.030
444,5.067
444,5.006
445,5.047
445,5.079
446,5.003
446,5.043
447,5.151
447,5.156
448,5.083
448,5.096
449,5.055
449,5.130
450,5.094
450,5.117
