"Summary"
"[Software Information]"
"Software Name:","LabSolutions RF"
"Version:","1.12"
"[Data Information]"
"Data is:","Modified"
"Sample Name"
"Sample ID"
"Option"
"Analyst"
"Date/Time:","07/24/2020 01:21:18 PM"
"Comments"
"[Instrument Information]"
"Instrument Name:","RF-6000"
"Instrument Type:","RF-6000 Series"
"Model (S/N):","RF-6000 (A40245500756SA)"

"Parameter"
"[Measurement]"
"Spectrum Type:","Emission"
"EX Wavelength:","350.0 nm"
"EM Wavelength Start:","365.0 nm"
"EM Wavelength End:","450.0 nm"
"Data Interval:","0.5 nm"
"Scan Speed:","600 nm/min"
"[Instrument]"
"EX Bandwidth:","5.0 nm"
"EM Bandwidth:","5.0 nm"
"Sensitivity:","Auto"
"[Attachment]"
"Attachment:","None"
"[Auto Print]"
"Auto Print:","No"
"Report File:",""

"WaterRaman_1PM_2 - CorrectionData"
"Wavelength nm.","Intensity"
365,1.345
366,0.630
366,0.501
367,0.306
367,0.426
368,0.100
368,0.026
369,0.061
369,-0.337
370,-0.334
370,-0.198
371,-0.816
371,-0.621
372,-0.739
372,-0.755
373,-1.084
373,-1.043
374,-1.295
374,-1.320
375,-1.642
375,-1.641
376,-1.657
376,-1.758
377,-1.897
377,-1.979
378,-2.270
378,-2.497
379,-2.509
379,-2.398
380,-2.826
380,-2.784
381,-2.698
381,-2.543
382,-2.548
382,-2.356
383,-2.157
383,-1.459
384,-0.663
384,0.217
385,1.424
385,2.584
386,4.376
386,6.687
387,10.372
387,13.791
388,18.541
388,21.911
389,26.805
389,33.805
390,40.779
390,50.109
391,57.812
391,65.767
392,73.281
392,84.179
393,93.037
393,104.512
394,113.990
394,121.676
395,127.739
395,136.730
396,144.299
396,150.918
397,152.214
397,154.200
398,154.798
398,152.620
399,151.067
399,144.917
400,139.305
400,135.142
401,130.110
401,122.028
402,113.030
402,100.831
403,90.072
403,81.901
404,73.670
404,65.914
405,57.410
405,46.888
406,39.283
406,34.076
407,28.677
407,23.091
408,17.414
408,13.308
409,9.501
409,7.441
410,4.450
410,2.957
411,0.827
411,-0.450
412,-1.638
412,-2.265
413,-2.764
413,-3.358
414,-4.134
414,-4.414
415,-4.484
415,-4.754
416,-4.914
416,-4.813
417,-5.177
417,-5.352
418,-5.344
418,-5.363
419,-5.547
419,-5.716
420,-5.756
420,-5.708
421,-5.946
421,-5.856
422,-5.975
422,-5.979
423,-6.075
423,-6.098
424,-6.015
424,-5.976
425,-6.046
425,-6.135
426,-6.121
426,-6.141
427,-6.183
427,-6.231
428,-6.240
428,-6.239
429,-6.161
429,-6.247
430,-6.212
430,-6.342
431,-6.274
431,-6.195
432,-6.228
432,-6.217
433,-6.112
433,-6.145
434,-6.246
434,-6.323
435,-6.324
435,-6.334
436,-6.385
436,-6.413
437,-6.274
437,-6.306
438,-6.302
438,-6.304
439,-6.437
439,-6.393
440,-6.499
440,-6.473
441,-6.438
441,-6.530
442,-6.202
442,-6.435
443,-6.446
443,-6.409
444,-6.382
444,-6.321
445,-6.417
445,-6.524
446,-6.434
446,-6.389
447,-6.393
447,-6.547
448,-6.376
448,-6.503
449,-6.367
449,-6.454
450,-6.467
450,-6.502
