index,AnalDate,Cruise,Site,Rep,SampID,EEM file,ABS file,Blank File,Raman File,Emcorr File,Excorr File,QS_Slope,Qw,dilutionfactor,comments
1,25-Jul-20,Project 1,Sample 1,1,Sample 1,Sample 1_ref.csv,Sample 1 IFE.csv,MQ Blank_ref.csv,WaterRaman_5PM_AVG.csv,EmissionCorr.csv,ExcitationCorr.csv,,,1,
2,25-Jul-20,Project 1,Sample 2,1,Sample 2,Sample 2_ref.csv,Sample 2 IFE.csv,MQ Blank_ref.csv,WaterRaman_5PM_AVG.csv,EmissionCorr.csv,ExcitationCorr.csv,,,0.18,
3,25-Jul-20,Project 1,Sample 3,1,Sample 3,Sample 3_ref.csv,Sample 3 IFE.csv,MQ Blank_ref.csv,WaterRaman_5PM_AVG.csv,EmissionCorr.csv,ExcitationCorr.csv,,,1,
4,25-Jul-20,Project 1,Sample 4,1,Sample 4,Sample 4_ref.csv,Sample 4 IFE.csv,MQ Blank_ref.csv,WaterRaman_5PM_AVG.csv,EmissionCorr.csv,ExcitationCorr.csv,,,0.1,
5,25-Jul-20,Project 1,Sample 5,1,Sample 5,Sample 5_ref.csv,Sample 5 IFE.csv,MQ Blank_ref.csv,WaterRaman_5PM_AVG.csv,EmissionCorr.csv,ExcitationCorr.csv,,,1,
6,25-Jul-20,Project 1,Sample 6,1,Sample 6,Sample 6_ref.csv,Sample 6 IFE.csv,MQ Blank_ref.csv,WaterRaman_5PM_AVG.csv,EmissionCorr.csv,ExcitationCorr.csv,,,1,
7,25-Jul-20,Project 1,Sample 7,1,Sample 7,Sample 7_ref.csv,Sample 7 IFE.csv,MQ Blank_ref.csv,WaterRaman_5PM_AVG.csv,EmissionCorr.csv,ExcitationCorr.csv,,,0.11,
8,25-Jul-20,Project 1,Sample 8,1,Sample 8,Sample 8_ref.csv,Sample 8 IFE.csv,MQ Blank_ref.csv,WaterRaman_5PM_AVG.csv,EmissionCorr.csv,ExcitationCorr.csv,,,0.16,
9,25-Jul-20,Project 1,Sample 9,1,Sample 9,Sample 9_ref.csv,Sample 9 IFE.csv,MQ Blank_ref.csv,WaterRaman_5PM_AVG.csv,EmissionCorr.csv,ExcitationCorr.csv,,,0.09,
10,26-Jul-20,Project 1,Sample 10,1,Sample 10,Sample 10_ref.csv,Sample 10 IFE.csv,MQ Blank_ref.csv,WaterRaman_3PM_AVG.csv,EmissionCorr.csv,ExcitationCorr.csv,,,0.13,
11,26-Jul-20,Project 1,Sample 11,1,Sample 11,Sample 11_ref.csv,Sample 11 IFE.csv,MQ Blank_ref.csv,WaterRaman_3PM_AVG.csv,EmissionCorr.csv,ExcitationCorr.csv,,,1,
12,26-Jul-20,Project 1,Sample 12,1,Sample 12,Sample 12_ref.csv,Sample 12 IFE.csv,MQ Blank_ref.csv,WaterRaman_3PM_AVG.csv,EmissionCorr.csv,ExcitationCorr.csv,,,0.1,
13,26-Jul-20,Project 1,Sample 13,1,Sample 13,Sample 13_ref.csv,Sample 13 IFE.csv,MQ Blank_ref.csv,WaterRaman_3PM_AVG.csv,EmissionCorr.csv,ExcitationCorr.csv,,,0.13,
14,26-Jul-20,Project 1,Sample 14,1,Sample 14,Sample 14_ref.csv,Sample 14 IFE.csv,MQ Blank_ref.csv,WaterRaman_3PM_AVG.csv,EmissionCorr.csv,ExcitationCorr.csv,,,1,
15,26-Jul-20,Project 1,Sample 15,1,Sample 15,Sample 15_ref.csv,Sample 15 IFE.csv,MQ Blank_ref.csv,WaterRaman_3PM_AVG.csv,EmissionCorr.csv,ExcitationCorr.csv,,,0.13,
16,26-Jul-20,Project 1,Sample 16,1,Sample 16,Sample 16_ref.csv,Sample 16 IFE.csv,MQ Blank_ref.csv,WaterRaman_3PM_AVG.csv,EmissionCorr.csv,ExcitationCorr.csv,,,0.14,
17,24-Jul-20,Project 2,Sample 17,1,Sample 17,Sample 17_ref.csv,Sample 17 IFE.csv,MQ Blank_ref.csv,WaterRaman_1PM_AVG.csv,EmissionCorr.csv,ExcitationCorr.csv,,,0.17,
18,24-Jul-20,Project 2,Sample 18,1,Sample 18,Sample 18_ref.csv,Sample 18 IFE.csv,MQ Blank_ref.csv,WaterRaman_1PM_AVG.csv,EmissionCorr.csv,ExcitationCorr.csv,,,0.81,
19,24-Jul-20,Project 2,Sample 19,1,Sample 19,Sample 19_ref.csv,Sample 19 IFE.csv,MQ Blank_ref.csv,WaterRaman_1PM_AVG.csv,EmissionCorr.csv,ExcitationCorr.csv,,,0.85,
20,24-Jul-20,Project 2,Sample 20,1,Sample 20,Sample 20_ref.csv,Sample 20 IFE.csv,MQ Blank_ref.csv,WaterRaman_1PM_AVG.csv,EmissionCorr.csv,ExcitationCorr.csv,,,0.42,
21,24-Jul-20,Project 2,Sample 21,1,Sample 21,Sample 21_ref.csv,Sample 21 IFE.csv,MQ Blank_ref.csv,WaterRaman_1PM_AVG.csv,EmissionCorr.csv,ExcitationCorr.csv,,,0.29,
22,24-Jul-20,Project 2,Sample 22,1,Sample 22,Sample 22_ref.csv,Sample 22 IFE.csv,MQ Blank_ref.csv,WaterRaman_1PM_AVG.csv,EmissionCorr.csv,ExcitationCorr.csv,,,1,
23,24-Jul-20,Project 2,Sample 23,1,Sample 23,Sample 23_ref.csv,Sample 23 IFE.csv,MQ Blank_ref.csv,WaterRaman_1PM_AVG.csv,EmissionCorr.csv,ExcitationCorr.csv,,,1,
24,24-Jul-20,Project 2,Sample 24,1,Sample 24,Sample 24_ref.csv,Sample 24 IFE.csv,MQ Blank_ref.csv,WaterRaman_1PM_AVG.csv,EmissionCorr.csv,ExcitationCorr.csv,,,0.09,
25,24-Jul-20,Project 2,Sample 25,1,Sample 25,Sample 25_ref.csv,Sample 25 IFE.csv,MQ Blank_ref.csv,WaterRaman_1PM_AVG.csv,EmissionCorr.csv,ExcitationCorr.csv,,,0.16,
26,24-Jul-20,Project 2,Sample 26,1,Sample 26,Sample 26_ref.csv,Sample 26 IFE.csv,MQ Blank_ref.csv,WaterRaman_10PM_AVG.csv,EmissionCorr.csv,ExcitationCorr.csv,,,1,
27,24-Jul-20,Project 2,Sample 27,1,Sample 27,Sample 27_ref.csv,Sample 27 IFE.csv,MQ Blank_ref.csv,WaterRaman_10PM_AVG.csv,EmissionCorr.csv,ExcitationCorr.csv,,,0.08,
28,24-Jul-20,Project 2,Sample 28,1,Sample 28,Sample 28_ref.csv,Sample 28 IFE.csv,MQ Blank_ref.csv,WaterRaman_10PM_AVG.csv,EmissionCorr.csv,ExcitationCorr.csv,,,0.1,
29,24-Jul-20,Project 2,Sample 29,1,Sample 29,Sample 29_ref.csv,Sample 29 IFE.csv,MQ Blank_ref.csv,WaterRaman_10PM_AVG.csv,EmissionCorr.csv,ExcitationCorr.csv,,,0.3,
30,24-Jul-20,Project 2,Sample 30,1,Sample 30,Sample 30_ref.csv,Sample 30 IFE.csv,MQ Blank_ref.csv,WaterRaman_10PM_AVG.csv,EmissionCorr.csv,ExcitationCorr.csv,,,0.81,
31,24-Jul-20,Project 2,Sample 31,1,Sample 31,Sample 31_ref.csv,Sample 31 IFE.csv,MQ Blank_ref.csv,WaterRaman_10PM_AVG.csv,EmissionCorr.csv,ExcitationCorr.csv,,,0.09,
32,24-Jul-20,Project 2,Sample 32,1,Sample 32,Sample 32_ref.csv,Sample 32 IFE.csv,MQ Blank_ref.csv,WaterRaman_10PM_AVG.csv,EmissionCorr.csv,ExcitationCorr.csv,,,0.12,
