"Summary"
"[Software Information]"
"Software Name:","LabSolutions RF"
"Version:","1.12"
"[Data Information]"
"Data is:","Original"
"Sample Name"
"Sample ID"
"Option"
"Analyst"
"Date/Time:","07/26/2020 07:35:30 PM"
"Comments"
"[Instrument Information]"
"Instrument Name:","RF-6000"
"Instrument Type:","RF-6000 Series"
"Model (S/N):","RF-6000 (A40245500756SA)"

"Parameter"
"[Measurement]"
"Spectrum Type:","3D"
"EX Wavelength Start:","230.0 nm"
"EX Wavelength End:","500.0 nm"
"Data Interval:","5.0 nm"
"EM Wavelength Start:","230.0 nm"
"EM Wavelength End:","700.0 nm"
"Data Interval:","5.0 nm"
"Scan Speed:","600 nm/min"
"[Instrument]"
"EX Bandwidth:","5.0 nm"
"EM Bandwidth:","5.0 nm"
"Sensitivity:","Low"
"[Attachment]"
"Attachment:","None"
"[Auto Print]"
"Auto Print:","No"
"Report File:",""

"K3_14E_2011 - RawData"
"EM Wavelength/EX Wavelength",230,235,240,245,250,255,260,265,270,275,280,285,290,295,300,305,310,315,320,325,330,335,340,345,350,355,360,365,370,375,380,385,390,395,400,405,410,415,420,425,430,435,440,445,450,455,460,465,470,475,480,485,490,495,500,
230,2547.359,934.818,68.556,1.790,1.106,-0.849,0.945,-0.929,1.239,0.909,0.987,0.702,1.282,0.587,0.680,1.419,0.895,1.130,1.071,1.295,1.341,1.098,1.344,1.230,1.094,1.479,1.649,1.949,1.582,1.213,1.074,1.188,1.064,0.873,0.899,0.750,0.778,1.107,1.852,2.612,2.592,1.887,1.162,2.329,7.119,17.098,24.614,20.345,10.608,3.358,0.951,0.680,0.557,0.625,0.713,
235,2006.539,3069.070,1196.967,71.345,1.705,0.217,0.347,1.423,0.292,0.672,1.330,1.346,-0.410,1.105,0.600,1.059,0.573,0.967,0.940,1.334,1.145,1.484,1.107,1.354,1.407,1.382,1.495,1.826,1.928,1.290,1.127,1.133,0.945,1.069,0.793,0.820,0.886,0.968,1.021,1.547,2.296,3.111,2.873,1.709,1.257,3.148,11.038,23.074,31.836,31.378,17.222,3.964,0.860,0.534,0.635,
240,275.274,2225.881,3806.900,1513.951,104.925,3.193,3.627,1.900,1.003,1.007,1.148,1.305,1.039,1.039,1.194,1.210,0.892,0.973,0.998,1.218,1.493,0.951,0.919,1.331,1.258,1.408,1.569,2.045,1.563,1.359,1.031,1.116,0.758,0.883,0.837,0.855,0.915,0.770,1.005,1.009,1.001,1.729,3.050,4.026,3.112,1.770,1.053,2.982,12.551,34.428,54.131,48.929,25.612,6.129,0.905,
245,251.189,322.799,2492.508,4373.250,1796.684,144.427,3.413,0.882,2.934,0.575,0.499,1.156,0.062,0.637,0.815,1.178,1.014,0.761,1.210,0.826,1.194,1.272,1.155,1.430,1.253,1.283,1.456,1.793,1.347,1.398,0.910,1.297,1.097,0.941,0.813,0.903,0.857,0.894,0.939,0.728,0.814,0.860,1.213,2.342,4.256,4.902,3.257,1.599,1.020,4.363,20.674,49.313,74.523,63.487,33.904,
250,538.030,192.912,300.187,2884.171,5236.611,2659.306,144.075,3.598,1.492,1.691,1.872,1.498,0.973,0.829,1.430,1.303,0.676,1.373,1.411,1.305,0.859,1.062,1.021,1.155,1.516,1.559,1.784,1.877,1.715,1.174,1.186,1.122,1.093,0.853,0.772,0.769,0.773,0.913,0.834,0.897,1.010,0.764,0.726,0.822,1.621,3.577,5.764,5.152,2.832,1.335,1.078,5.339,27.217,65.145,102.173,
255,341.343,524.169,180.019,333.728,3342.556,7625.341,3027.781,182.799,3.566,2.486,2.182,2.117,0.961,1.236,1.145,1.398,0.583,1.079,1.131,1.219,0.995,1.536,0.796,1.151,1.242,1.659,1.816,1.807,1.655,1.351,1.061,0.935,1.126,0.921,0.770,0.789,0.995,0.815,0.813,1.018,0.953,0.817,0.791,0.898,0.843,0.934,2.143,4.475,6.120,5.819,2.794,1.264,1.268,6.156,36.399,
260,51.731,424.516,523.688,132.193,388.399,4713.447,9020.319,3473.353,189.048,4.941,3.296,3.127,0.963,1.750,1.465,1.104,0.728,1.362,0.997,1.156,1.241,0.956,0.989,1.112,1.281,1.426,1.918,1.856,1.730,1.393,1.065,0.947,0.871,0.858,0.976,0.766,0.826,0.720,0.900,0.927,0.962,0.830,0.922,0.772,0.807,0.722,0.860,1.161,3.043,7.066,8.711,5.598,2.150,1.038,1.389,
265,-1.268,85.816,468.719,477.053,104.683,464.941,5861.016,10171.611,4085.794,196.248,4.885,3.421,2.664,2.036,1.665,1.999,1.209,1.269,1.269,1.449,1.059,1.068,0.958,0.964,1.034,1.437,1.918,1.884,1.569,1.048,1.224,1.169,1.062,0.937,0.725,0.891,0.895,0.834,0.870,0.897,0.868,0.878,0.935,0.812,0.881,0.806,0.869,0.756,0.938,1.774,5.468,9.321,9.446,4.829,1.690,
270,-1.613,5.047,121.170,557.280,441.305,107.292,653.505,6235.978,11453.400,4092.889,218.076,5.492,4.069,3.305,2.808,1.483,1.456,1.256,1.595,1.443,0.933,1.249,1.182,1.392,1.479,1.576,1.859,1.676,1.316,1.002,1.083,0.951,1.151,0.936,0.964,0.937,0.902,1.079,0.866,1.038,0.973,0.883,0.828,0.826,0.813,0.764,0.861,0.725,0.735,0.781,1.020,3.097,7.749,11.548,9.606,
275,8.403,11.190,10.408,194.743,613.561,488.883,72.672,644.915,6873.502,11894.010,4552.625,219.456,6.181,3.916,2.312,2.591,1.842,1.497,1.388,1.293,1.286,1.015,1.368,1.384,1.189,1.963,2.349,1.923,1.545,1.180,1.162,1.123,1.558,0.981,0.892,1.054,1.008,0.976,1.206,0.893,1.018,0.886,0.934,0.836,0.882,0.784,0.856,0.764,0.791,0.865,0.754,0.832,1.567,4.830,11.652,
