"Summary"
"[Software Information]"
"Software Name:","LabSolutions RF"
"Version:","1.12"
"[Data Information]"
"Data is:","Original"
"Sample Name"
"Sample ID"
"Option"
"Analyst"
"Date/Time:","07/24/2020 06:29:26 PM"
"Comments"
"[Instrument Information]"
"Instrument Name:","RF-6000"
"Instrument Type:","RF-6000 Series"
"Model (S/N):","RF-6000 (A40245500756SA)"

"Parameter"
"[Measurement]"
"Spectrum Type:","3D"
"EX Wavelength Start:","230.0 nm"
"EX Wavelength End:","500.0 nm"
"Data Interval:","5.0 nm"
"EM Wavelength Start:","230.0 nm"
"EM Wavelength End:","700.0 nm"
"Data Interval:","5.0 nm"
"Scan Speed:","600 nm/min"
"[Instrument]"
"EX Bandwidth:","5.0 nm"
"EM Bandwidth:","5.0 nm"
"Sensitivity:","Low"
"[Attachment]"
"Attachment:","None"
"[Auto Print]"
"Auto Print:","No"
"Report File:",""

"K6_5 - RawData"
"EM Wavelength/EX Wavelength",230,235,240,245,250,255,260,265,270,275,280,285,290,295,300,305,310,315,320,325,330,335,340,345,350,355,360,365,370,375,380,385,390,395,400,405,410,415,420,425,430,435,440,445,450,455,460,465,470,475,480,485,490,495,500,
230,2172.522,810.443,67.536,2.351,3.877,1.748,0.988,0.720,0.751,0.589,0.916,1.408,0.829,1.584,0.688,0.892,0.680,1.126,0.567,0.805,0.800,0.706,0.735,0.646,1.025,1.119,1.215,1.077,1.122,0.994,0.863,0.880,0.896,0.762,0.805,0.629,0.665,0.976,1.494,2.380,2.669,1.777,1.137,1.957,6.042,14.057,20.245,17.375,8.892,2.862,0.768,0.560,0.608,0.557,0.647,
235,1655.923,2557.305,1021.966,59.491,2.790,1.756,2.441,1.556,1.578,1.208,1.664,1.337,1.116,1.659,1.873,0.749,0.583,0.939,1.076,0.756,0.755,0.640,0.890,0.947,0.936,0.786,1.207,1.311,1.203,0.873,1.013,0.957,0.725,0.583,0.758,0.632,0.616,0.756,0.772,1.136,2.127,3.127,2.749,1.718,1.018,2.547,9.127,19.147,25.316,25.973,13.714,3.242,0.682,0.577,0.417,
240,246.297,1798.247,3084.454,1307.071,88.361,4.229,2.638,2.961,0.563,0.749,0.768,0.571,1.085,2.051,0.749,1.228,0.684,1.125,0.858,0.674,0.922,0.979,1.028,0.831,0.933,0.944,1.330,1.203,1.129,0.886,0.904,0.971,0.685,0.591,0.685,0.690,0.662,0.853,0.598,0.709,0.853,1.533,2.790,3.998,3.187,1.632,0.847,2.445,9.596,27.702,42.311,37.920,19.491,4.983,0.768,
245,258.874,253.626,1959.360,3617.929,1410.439,113.742,2.465,2.412,2.065,0.375,1.344,1.178,0.720,1.385,1.967,1.014,0.570,1.158,0.514,0.955,0.556,0.795,0.855,0.858,0.899,1.009,1.408,1.373,1.054,0.919,0.748,0.841,0.774,0.756,0.725,0.795,0.559,0.816,0.703,0.788,0.674,0.710,1.028,2.388,4.098,4.796,3.162,1.298,0.805,3.447,15.687,37.214,54.705,48.624,25.269,
250,532.316,212.722,244.493,2267.483,3875.296,1984.093,108.623,4.088,1.103,1.996,1.498,2.172,1.435,2.153,0.996,1.212,0.787,1.463,0.936,0.587,0.653,0.797,0.899,0.831,0.984,0.970,1.287,1.305,1.038,0.881,0.984,0.919,0.827,0.748,0.829,0.697,0.702,0.839,0.837,0.702,0.774,0.859,0.726,0.950,1.229,3.485,5.601,4.840,2.586,1.209,1.031,4.025,19.561,48.137,73.462,
255,346.609,526.335,179.793,251.645,2359.267,5442.731,2191.914,131.328,2.807,2.318,2.140,1.123,0.790,2.083,1.382,0.737,0.846,0.934,0.858,0.914,0.788,0.520,1.127,0.763,0.867,0.884,1.194,1.344,1.169,0.815,0.975,0.827,0.805,0.805,0.700,0.692,0.634,0.726,0.798,0.760,0.854,0.835,0.705,0.557,0.677,0.960,2.177,4.495,6.192,5.630,2.805,1.096,1.098,4.596,24.884,
260,56.208,410.580,527.407,144.283,279.795,3279.970,6282.607,2369.545,130.534,2.429,2.362,2.358,1.366,1.924,1.035,0.783,0.810,0.907,1.089,0.766,0.701,0.681,0.991,0.679,0.889,1.017,1.225,1.284,1.011,0.753,0.886,0.853,0.830,0.758,0.762,0.758,0.783,0.801,0.764,0.711,0.778,0.769,0.699,0.778,0.681,0.782,0.614,1.081,2.989,6.784,8.556,5.442,2.098,0.966,1.202,
265,7.713,89.398,458.495,476.475,108.411,341.653,3938.274,6835.383,2713.335,118.348,4.289,2.678,1.841,1.705,1.875,0.990,0.907,1.552,1.459,1.035,0.919,0.682,0.875,1.034,0.828,0.944,1.167,1.459,1.124,0.774,0.980,0.891,0.853,0.822,0.716,0.503,0.808,0.731,0.679,0.846,0.759,0.738,0.607,0.659,0.733,0.698,0.590,0.654,0.734,1.658,5.208,9.494,9.449,5.261,1.741,
270,11.628,8.140,119.922,549.731,442.551,107.192,435.056,4137.712,7525.760,2603.298,149.867,4.148,2.247,1.857,1.802,1.242,1.115,0.944,0.981,1.159,0.740,0.603,0.962,0.678,1.122,1.271,1.360,1.533,0.883,0.855,0.961,0.900,0.781,0.755,0.754,0.668,0.888,0.666,0.711,0.605,0.941,0.782,0.653,0.793,0.634,0.694,0.657,0.692,0.633,0.555,0.987,2.897,7.880,11.518,9.667,
275,23.031,7.029,12.232,194.362,608.274,481.225,75.950,438.021,4461.445,7721.308,2994.327,142.911,3.318,2.850,2.078,1.713,1.479,1.053,1.141,1.314,0.743,0.624,0.608,0.693,1.040,1.020,1.828,1.401,1.094,0.950,0.833,0.848,1.092,0.994,1.100,0.807,0.974,0.895,1.001,0.990,0.947,0.971,0.896,0.875,0.932,0.957,0.707,0.773,0.674,0.634,0.703,0.685,1.389,4.776,11.091,
280,45.318,15.140,9.527,23.629,268.920,816.856,390.676,76.413,450.790,4896.572,8393.702,3188.273,150.118,3.922,3.602,2.103,1.363,1.714,1.541,1.363,1.106,1.079,1.194,0.747,0.918,1.092,1.655,1.416,1.034,0.899,0.988,0.926,1.236,1.412,1.363,1.351,1.175,1.111,1.032,1.129,1.231,1.291,1.196,1.057,1.161,1.158,1.099,0.878,0.748,0.688,0.601,0.735,0.704,0.891,2.475,
285,118.735,46.384,25.173,21.083,52.249,461.475,867.724,336.433,111.761,605.744,4952.226,9154.570,3347.651,183.730,3.976,2.520,1.833,1.978,1.263,1.167,0.991,0.720,0.996,0.802,1.013,1.308,1.569,1.591,1.221,0.942,0.985,1.159,1.779,1.894,1.844,1.609,1.617,1.553,1.504,1.575,1.707,1.759,1.832,1.950,1.934,1.991,1.673,1.193,1.169,0.921,0.704,0.735,0.825,0.812,0.962,
290,227.948,92.389,49.085,39.428,45.532,125.324,668.063,861.608,342.915,175.014,541.945,5353.693,10023.617,3875.092,176.441,4.017,2.830,2.111,1.872,1.437,1.340,0.893,1.142,0.816,0.894,1.252,1.420,1.488,1.083,0.915,0.883,1.544,2.135,2.869,2.566,2.358,2.047,2.147,1.973,2.136,2.369,2.459,2.572,2.839,2.794,2.906,2.470,2.122,1.473,1.333,1.133,1.058,1.191,1.041,1.197,
295,312.124,144.035,79.085,62.858,66.372,103.900,243.337,802.080,853.694,324.366,209.365,589.943,6067.207,10196.551,3636.299,168.680,3.878,2.673,2.247,1.895,1.209,1.042,1.100,1.116,1.028,1.339,1.519,1.721,1.077,1.099,1.135,1.733,2.857,3.435,3.465,2.867,2.532,2.494,2.416,2.321,2.658,2.910,3.248,3.606,3.685,3.764,3.452,2.578,1.885,1.689,1.446,1.300,1.393,1.384,1.724,
300,374.776,178.973,97.929,84.362,96.161,135.950,178.326,361.832,947.068,752.811,313.526,191.905,640.300,5521.501,9932.120,3728.531,175.465,3.116,2.840,1.945,2.025,1.212,0.979,1.116,1.109,1.452,1.616,1.650,1.235,1.144,1.064,1.529,2.806,3.876,3.683,3.203,2.742,2.723,2.500,2.938,3.197,3.242,3.593,4.113,4.092,4.352,3.916,2.981,2.322,1.808,1.656,1.552,1.730,1.921,2.245,
305,411.796,208.444,133.750,123.733,134.105,183.255,211.102,249.749,505.739,991.674,702.913,272.570,143.877,432.817,5392.384,10117.404,3949.443,159.616,3.822,2.817,2.124,1.702,1.412,1.047,1.305,1.395,1.499,1.514,1.070,0.859,1.081,1.918,3.142,3.747,3.894,3.146,2.897,2.707,2.863,2.930,3.090,3.385,3.611,4.220,4.411,4.480,4.036,3.218,2.450,2.300,2.141,2.043,2.187,2.302,2.766,
310,417.787,238.073,160.402,154.024,167.171,233.367,249.555,269.443,339.436,643.918,1018.546,580.067,207.517,126.194,468.003,5399.989,9796.398,3253.039,156.462,3.417,2.649,1.821,1.920,1.440,1.229,1.599,1.765,1.452,1.107,0.999,1.032,1.860,2.883,3.586,3.823,3.167,2.878,2.743,2.771,3.052,3.155,3.501,3.714,4.151,4.294,4.583,4.037,3.328,2.709,2.630,2.459,2.531,2.763,2.987,3.384,
315,418.472,259.958,200.419,206.827,218.361,277.276,290.275,304.652,344.609,408.495,747.381,995.798,464.446,187.531,121.093,444.424,4911.850,8978.191,3299.218,170.168,3.658,2.194,1.716,1.811,1.430,1.624,1.732,1.479,1.093,1.030,1.259,1.718,2.622,3.189,3.451,3.159,2.808,3.049,2.957,2.991,3.143,3.441,3.793,4.264,4.199,4.428,4.232,3.428,2.783,2.760,2.963,3.029,3.118,3.439,4.290,
320,456.369,286.187,236.744,241.398,266.246,330.829,334.615,335.017,372.224,407.477,487.623,865.405,931.557,398.650,172.564,117.042,355.663,4626.946,8677.620,3715.179,155.878,3.383,2.137,1.531,1.863,1.777,1.496,1.490,1.015,0.919,1.308,1.591,2.379,3.100,3.287,3.158,2.983,2.941,3.106,3.241,3.354,3.820,4.012,4.565,4.591,4.717,4.596,3.667,3.252,3.245,3.278,3.466,3.692,3.922,4.745,
325,526.051,341.851,280.158,277.465,298.372,380.128,372.672,363.858,402.534,450.063,491.288,578.884,961.299,820.229,297.168,157.747,107.334,414.264,4556.619,9075.817,3067.480,118.861,2.882,2.039,1.677,1.728,1.757,1.463,1.027,0.998,0.998,1.532,1.963,2.686,3.082,3.072,2.754,3.082,3.288,3.382,3.746,3.990,4.269,4.900,4.876,5.120,5.005,4.153,3.599,3.658,3.662,3.963,4.328,4.634,5.550,
330,575.089,395.671,309.885,303.041,333.804,408.123,408.909,397.852,442.421,480.411,527.404,536.382,639.344,961.991,664.655,241.810,139.248,89.493,362.861,4398.589,8678.712,2850.934,132.331,3.011,2.153,1.925,1.885,1.784,1.241,0.968,1.126,1.548,2.062,2.598,3.125,2.874,2.956,3.081,3.226,3.515,3.788,3.989,4.422,4.829,5.106,5.381,5.341,4.484,3.950,4.294,4.327,4.354,4.628,5.053,5.901,
335,615.539,437.335,358.819,338.925,347.422,438.616,432.837,422.615,466.789,509.983,566.523,572.517,549.098,652.281,900.948,518.686,197.644,114.241,77.026,309.675,4675.049,7768.041,2846.037,119.889,3.127,2.361,2.176,1.897,1.343,1.126,1.087,1.319,1.900,2.266,2.902,3.039,2.883,3.225,3.481,3.539,3.779,4.034,4.384,5.060,5.282,5.655,5.724,4.965,4.276,4.687,4.950,4.899,5.224,5.353,6.337,
340,664.646,494.270,399.741,377.271,378.483,469.692,462.330,451.117,488.947,541.784,598.701,616.699,586.929,519.242,682.255,799.578,389.396,152.175,101.196,70.818,383.423,4217.115,7279.049,2583.284,107.029,3.154,2.448,2.107,1.619,1.279,1.326,1.396,1.971,2.504,2.689,2.785,2.821,3.075,3.260,3.576,4.080,4.216,4.549,5.012,5.472,5.785,6.093,5.351,4.926,5.427,5.545,5.479,5.843,6.090,6.932,
345,709.869,552.525,452.241,415.104,397.781,492.331,483.576,472.122,517.557,559.281,622.440,650.709,622.958,548.158,481.893,681.831,706.539,287.436,133.495,95.029,70.276,306.312,3820.179,7672.510,2953.293,113.903,3.182,2.608,1.771,1.519,1.344,1.433,1.985,2.233,2.485,2.797,2.856,3.134,3.221,3.568,3.844,4.059,4.513,5.224,5.359,6.048,6.326,5.733,5.407,6.025,6.222,6.407,6.539,6.753,7.633,
