"Summary"
"[Software Information]"
"Software Name:","LabSolutions RF"
"Version:","1.12"
"[Data Information]"
"Data is:","Original"
"Sample Name"
"Sample ID"
"Option"
"Analyst"
"Date/Time:","07/25/2020 08:33:13 PM"
"Comments"
"[Instrument Information]"
"Instrument Name:","RF-6000"
"Instrument Type:","RF-6000 Series"
"Model (S/N):","RF-6000 (A40245500756SA)"

"Parameter"
"[Measurement]"
"Spectrum Type:","3D"
"EX Wavelength Start:","230.0 nm"
"EX Wavelength End:","500.0 nm"
"Data Interval:","5.0 nm"
"EM Wavelength Start:","230.0 nm"
"EM Wavelength End:","700.0 nm"
"Data Interval:","5.0 nm"
"Scan Speed:","600 nm/min"
"[Instrument]"
"EX Bandwidth:","5.0 nm"
"EM Bandwidth:","5.0 nm"
"Sensitivity:","Low"
"[Attachment]"
"Attachment:","None"
"[Auto Print]"
"Auto Print:","No"
"Report File:",""

"K3_4E - RawData"
"EM Wavelength/EX Wavelength",230,235,240,245,250,255,260,265,270,275,280,285,290,295,300,305,310,315,320,325,330,335,340,345,350,355,360,365,370,375,380,385,390,395,400,405,410,415,420,425,430,435,440,445,450,455,460,465,470,475,480,485,490,495,500,
230,2130.482,750.876,70.322,5.127,3.224,3.455,1.139,3.363,1.682,1.644,1.118,1.077,1.636,2.158,1.504,1.445,1.411,1.197,1.115,1.125,1.146,1.068,0.949,0.896,1.048,1.238,1.108,1.469,1.239,1.314,1.114,1.010,0.819,0.986,0.816,0.841,0.892,1.007,1.896,2.799,2.942,2.092,1.308,1.838,5.490,12.678,18.230,15.035,7.261,2.619,0.801,0.632,0.705,0.659,0.628,
235,1696.062,2378.882,1028.042,55.933,4.271,5.057,3.707,3.644,2.391,1.230,1.077,1.086,1.914,2.213,1.575,1.256,1.059,0.896,0.959,1.401,0.728,0.930,0.943,0.990,1.060,1.150,1.383,1.388,1.121,1.112,1.097,1.049,0.776,1.065,0.750,0.822,0.784,0.921,0.918,1.538,2.481,3.686,3.184,2.033,1.229,2.738,8.037,16.092,21.854,21.167,11.355,2.810,0.718,0.741,0.695,
240,256.273,1721.253,2898.907,1174.664,75.630,4.373,4.625,2.414,2.040,3.108,1.392,2.245,1.614,2.019,1.298,1.625,1.081,1.011,1.253,1.742,1.298,1.242,1.341,1.212,1.157,1.256,1.158,1.488,1.211,0.963,1.032,0.951,0.966,0.939,0.853,0.796,0.763,0.961,0.868,0.869,0.964,1.827,3.497,4.599,3.605,1.993,1.192,2.447,8.774,22.386,34.069,31.228,16.355,4.062,0.963,
245,292.368,259.381,1916.141,3158.538,1278.773,110.987,3.792,4.244,3.167,2.664,2.188,1.828,0.998,1.334,1.514,1.151,1.004,0.780,1.163,1.399,1.056,0.974,1.156,1.077,0.970,1.071,1.222,1.519,1.118,1.074,1.106,0.853,1.023,0.836,0.861,0.690,0.770,0.849,0.953,0.779,0.850,0.958,1.191,2.628,4.640,5.405,3.593,1.546,1.052,3.112,13.370,30.801,47.186,38.304,20.955,
250,594.814,225.855,234.980,2029.266,3756.413,1912.635,98.638,5.535,3.379,2.457,1.520,1.141,1.550,1.955,1.698,1.367,1.262,1.020,1.665,1.358,1.152,0.958,1.079,1.007,0.990,1.462,1.265,1.575,1.320,1.174,1.064,1.065,1.051,0.991,0.698,0.735,0.775,0.848,1.008,0.848,0.942,0.729,0.856,0.844,1.566,4.003,6.355,5.630,2.892,1.470,1.205,3.774,17.246,37.567,60.479,
255,391.722,592.992,200.432,238.070,2355.399,5093.501,1985.776,125.084,3.280,2.717,2.714,1.889,2.438,1.639,1.547,1.155,1.575,1.465,1.617,1.190,1.282,1.072,1.287,1.263,0.912,0.859,1.191,1.523,1.250,0.930,0.932,0.859,1.094,0.825,0.835,0.854,0.749,0.774,1.042,0.915,0.881,0.845,0.742,0.746,0.893,1.069,2.500,5.145,6.855,6.265,3.093,1.143,1.141,4.102,20.279,
260,70.296,468.304,570.266,150.438,289.264,3108.477,5759.469,2214.866,122.917,4.393,2.300,2.546,1.295,2.743,2.042,1.376,1.334,1.264,0.778,1.196,0.990,0.938,0.733,1.153,0.933,1.154,1.410,1.554,1.191,0.982,0.871,0.909,0.858,0.896,0.932,0.705,0.662,0.848,0.916,0.890,0.952,0.702,0.816,0.852,0.815,0.865,0.884,1.267,3.227,7.990,9.677,6.290,2.437,1.145,1.251,
265,12.638,98.650,524.382,533.785,120.061,326.758,3929.683,6338.783,2749.401,113.911,4.349,2.584,2.861,1.957,2.136,1.317,1.025,1.300,1.273,1.177,1.002,1.120,0.950,1.048,0.990,0.962,1.430,1.569,1.167,1.104,1.093,0.964,1.061,0.956,0.704,0.798,0.752,0.823,0.717,0.899,0.836,0.906,0.807,0.800,0.910,0.846,0.736,0.772,0.810,1.888,5.885,10.250,10.223,5.492,1.966,
270,18.821,15.934,131.668,606.876,491.568,112.611,453.353,4004.923,7586.468,2655.845,161.910,4.388,3.100,2.070,2.210,1.370,1.582,1.862,1.585,1.216,1.357,1.064,0.970,0.807,1.226,1.251,1.325,1.516,0.895,1.112,0.987,1.133,0.905,0.983,0.867,1.103,0.727,0.840,0.911,1.036,0.945,0.875,0.862,0.836,0.720,0.880,0.822,0.799,0.769,0.805,1.084,3.340,8.586,12.575,10.740,
275,20.181,10.429,13.489,216.654,680.549,530.324,79.777,443.355,4219.135,7826.423,3228.111,175.018,4.611,3.095,2.675,2.489,1.651,1.369,1.156,1.373,1.327,1.417,0.906,1.252,1.076,1.346,1.720,1.470,1.109,1.222,1.096,0.952,1.126,0.922,1.073,1.038,0.955,1.009,1.075,1.025,0.886,0.893,0.981,0.867,0.894,0.812,0.840,0.822,0.684,0.717,0.826,0.779,1.679,5.393,12.701,
280,47.119,16.839,13.589,25.155,297.183,902.025,421.014,72.631,398.717,4608.458,8526.791,3292.882,126.670,4.909,3.669,2.496,1.690,1.618,0.961,1.343,1.067,1.323,1.353,1.090,1.190,1.276,1.710,1.769,1.249,1.075,1.149,1.008,0.956,1.086,1.205,1.128,1.007,1.159,1.125,1.147,1.213,0.961,1.233,1.060,1.155,1.113,1.067,0.856,0.842,0.781,0.785,0.808,0.846,0.949,2.826,
285,120.569,45.678,21.637,15.794,50.657,502.034,939.440,345.650,101.267,495.929,4640.656,8340.194,3173.821,157.651,5.085,2.533,2.333,1.886,1.765,1.638,1.308,1.019,1.103,0.949,1.257,1.188,1.742,1.755,1.071,0.927,1.097,1.202,1.424,1.671,1.594,1.639,1.341,1.482,1.502,1.365,1.488,1.768,1.755,1.843,1.930,2.005,1.700,1.395,1.110,0.969,0.961,0.803,0.909,0.910,1.024,
290,244.447,99.586,41.361,25.044,28.375,113.081,712.664,915.864,341.708,164.088,538.911,4662.455,10376.609,3567.731,158.376,4.556,3.112,2.155,2.058,1.755,1.126,1.173,1.271,1.131,1.143,1.414,2.014,1.694,1.248,1.205,0.964,0.969,1.612,2.387,2.538,2.366,1.850,1.867,1.745,2.015,2.382,2.403,2.541,3.060,3.188,3.201,2.939,2.191,1.543,1.189,1.092,0.982,0.951,1.005,1.006,
295,357.448,142.926,58.213,39.295,42.904,74.071,235.548,840.879,892.781,311.189,197.342,534.948,6467.624,9642.211,3447.954,137.532,3.638,2.622,2.823,2.133,1.376,1.296,1.052,1.155,1.297,1.459,1.885,1.783,1.090,1.235,0.944,1.233,2.134,3.123,3.115,2.897,2.170,2.194,2.160,2.335,2.809,2.997,3.555,4.092,4.306,4.416,3.853,2.825,1.853,1.518,1.261,1.111,1.128,1.140,1.186,
