"Summary"
"[Software Information]"
"Software Name:","LabSolutions RF"
"Version:","1.12"
"[Data Information]"
"Data is:","Original"
"Sample Name"
"Sample ID"
"Option"
"Analyst"
"Date/Time:","07/24/2020 09:57:42 PM"
"Comments"
"[Instrument Information]"
"Instrument Name:","RF-6000"
"Instrument Type:","RF-6000 Series"
"Model (S/N):","RF-6000 (A40245500756SA)"

"Parameter"
"[Measurement]"
"Spectrum Type:","3D"
"EX Wavelength Start:","230.0 nm"
"EX Wavelength End:","500.0 nm"
"Data Interval:","5.0 nm"
"EM Wavelength Start:","230.0 nm"
"EM Wavelength End:","700.0 nm"
"Data Interval:","5.0 nm"
"Scan Speed:","600 nm/min"
"[Instrument]"
"EX Bandwidth:","5.0 nm"
"EM Bandwidth:","5.0 nm"
"Sensitivity:","Low"
"[Attachment]"
"Attachment:","None"
"[Auto Print]"
"Auto Print:","No"
"Report File:",""

"K6_11 - RawData"
"EM Wavelength/EX Wavelength",230,235,240,245,250,255,260,265,270,275,280,285,290,295,300,305,310,315,320,325,330,335,340,345,350,355,360,365,370,375,380,385,390,395,400,405,410,415,420,425,430,435,440,445,450,455,460,465,470,475,480,485,490,495,500,
230,1354.181,640.113,33.466,-2.641,-1.907,-3.472,-2.694,-1.683,-1.245,-1.546,-1.243,-0.910,-0.660,-0.498,-0.364,0.149,-0.511,0.235,0.417,0.056,0.208,0.172,0.332,0.203,0.196,0.232,0.401,0.397,0.413,0.492,0.325,0.243,0.449,0.206,0.257,0.477,0.309,0.584,1.343,2.082,2.186,1.538,0.891,1.431,3.728,9.206,12.723,10.953,5.723,2.005,0.530,0.385,0.365,0.420,0.299,
235,1161.546,2146.634,630.188,33.997,-1.232,-2.511,-2.144,-1.135,-1.645,-1.133,-0.798,-0.842,-1.355,0.047,-0.533,-0.076,-0.173,0.234,0.186,0.027,0.343,0.356,0.202,0.291,0.178,0.449,0.378,0.347,0.524,0.179,0.311,0.326,0.317,0.384,0.342,0.253,0.300,0.527,0.527,0.858,2.081,2.740,2.492,1.332,0.742,1.664,5.646,11.858,16.147,16.563,8.935,2.283,0.453,0.460,0.374,
240,224.867,1407.593,1955.915,812.575,53.362,-0.357,-1.060,-0.290,-1.104,-0.147,-1.069,-1.062,-0.163,-0.252,0.394,-0.578,-0.037,0.446,0.181,0.121,0.109,0.047,0.139,0.067,0.273,0.384,0.403,0.429,0.827,0.444,0.403,0.343,0.237,0.411,0.332,0.310,0.249,0.666,0.314,0.342,0.642,1.126,2.568,3.757,2.880,1.525,0.687,1.700,6.227,17.605,27.667,24.906,13.322,3.199,0.408,
245,245.318,187.124,1253.420,2302.959,936.021,77.699,-0.067,-1.618,-1.124,-1.152,-0.754,0.062,0.136,-0.280,-0.039,-0.470,-0.199,0.611,0.357,0.029,-0.092,-0.107,0.343,0.008,0.262,0.516,0.342,0.524,0.334,0.407,0.475,0.486,0.503,0.584,0.275,0.375,0.342,0.533,0.453,0.461,0.530,0.489,0.717,2.076,3.823,4.807,3.117,1.365,0.765,2.184,10.414,24.986,37.627,32.290,17.265,
250,541.923,215.999,168.366,1503.983,2616.550,1343.116,70.850,-0.357,-1.371,-0.464,-0.478,-0.175,0.374,-0.211,-0.216,-0.641,-0.395,0.188,0.219,0.462,0.236,0.163,0.090,0.255,0.448,0.441,0.493,0.449,0.514,0.236,0.573,0.462,0.230,0.317,0.247,0.235,0.472,0.346,0.283,0.426,0.547,0.548,0.467,0.545,1.197,3.302,5.507,4.865,2.576,1.139,0.857,2.892,13.726,32.512,50.198,
255,343.964,554.225,185.657,185.374,1603.452,3666.383,1441.654,80.924,-0.723,0.322,0.115,-0.087,-0.156,0.087,-0.128,-0.875,0.246,0.154,-0.126,0.556,0.153,-0.205,0.209,0.279,0.173,0.361,0.347,0.513,0.580,0.347,0.536,0.454,0.584,0.347,0.185,0.116,0.456,0.615,0.290,0.493,0.587,0.397,0.504,0.519,0.519,0.701,1.928,4.410,6.256,5.938,2.607,0.958,0.814,3.109,16.803,
260,52.324,432.066,547.200,140.602,197.012,2225.091,4085.214,1495.884,81.410,0.089,0.387,-0.222,0.024,0.097,-0.167,-0.262,-0.310,0.079,-0.146,0.267,0.169,-0.011,0.213,0.085,0.394,0.351,0.422,0.429,0.412,0.365,0.447,0.240,0.251,0.426,0.168,0.273,0.345,0.440,0.235,0.420,0.520,0.484,0.498,0.549,0.451,0.452,0.450,0.985,3.058,7.327,9.161,5.600,1.918,0.712,0.972,
265,-7.436,83.371,483.522,522.689,109.752,234.228,2567.578,4267.293,1643.929,69.198,1.156,-0.015,-0.051,-0.209,0.133,-0.132,0.088,-0.039,0.473,0.079,0.272,0.331,0.298,0.265,0.242,0.308,0.333,0.516,0.471,0.593,0.511,0.436,0.317,0.231,0.388,0.311,0.398,0.289,0.370,0.537,0.481,0.464,0.414,0.561,0.488,0.439,0.325,0.469,0.582,1.634,5.517,9.892,10.030,4.906,1.533,
270,-7.628,1.304,126.396,588.591,466.267,104.143,287.805,2532.474,4412.681,1485.513,80.443,0.960,0.964,0.334,0.592,-0.088,0.094,0.486,-0.009,0.130,0.143,0.306,0.243,0.139,0.469,0.422,0.482,0.441,0.553,0.328,0.298,0.400,0.441,0.339,0.339,0.387,0.533,0.515,0.454,0.367,0.435,0.588,0.476,0.526,0.489,0.398,0.465,0.543,0.403,0.513,0.851,2.748,8.046,12.233,10.399,
