"Summary"
"[Software Information]"
"Software Name:","LabSolutions RF"
"Version:","1.12"
"[Data Information]"
"Data is:","Original"
"Sample Name"
"Sample ID"
"Option"
"Analyst"
"Date/Time:","07/25/2020 00:08:28 AM"
"Comments"
"[Instrument Information]"
"Instrument Name:","RF-6000"
"Instrument Type:","RF-6000 Series"
"Model (S/N):","RF-6000 (A40245500756SA)"

"Parameter"
"[Measurement]"
"Spectrum Type:","3D"
"EX Wavelength Start:","230.0 nm"
"EX Wavelength End:","500.0 nm"
"Data Interval:","5.0 nm"
"EM Wavelength Start:","230.0 nm"
"EM Wavelength End:","700.0 nm"
"Data Interval:","5.0 nm"
"Scan Speed:","600 nm/min"
"[Instrument]"
"EX Bandwidth:","5.0 nm"
"EM Bandwidth:","5.0 nm"
"Sensitivity:","Low"
"[Attachment]"
"Attachment:","None"
"[Auto Print]"
"Auto Print:","No"
"Report File:",""

"K6_16 - RawData"
"EM Wavelength/EX Wavelength",230,235,240,245,250,255,260,265,270,275,280,285,290,295,300,305,310,315,320,325,330,335,340,345,350,355,360,365,370,375,380,385,390,395,400,405,410,415,420,425,430,435,440,445,450,455,460,465,470,475,480,485,490,495,500,
230,1267.498,476.223,30.294,1.267,0.031,0.020,-0.644,0.033,0.687,1.392,0.296,0.819,1.142,0.942,0.829,0.721,0.996,0.840,0.728,0.882,0.952,1.024,1.100,0.940,1.022,0.762,0.941,1.056,1.090,0.862,0.659,0.787,0.762,0.665,0.571,0.426,0.608,0.770,1.568,2.373,2.378,1.673,0.998,1.322,3.962,8.527,12.069,10.221,5.507,1.820,0.680,0.590,0.618,0.567,0.489,
235,978.481,1488.970,575.277,34.113,0.245,0.793,1.087,0.040,-0.537,0.469,0.174,0.732,1.125,-0.069,0.988,0.582,1.177,1.071,0.971,1.266,0.728,0.927,0.773,0.982,0.668,0.873,1.140,0.881,1.097,0.927,0.872,0.869,0.875,0.774,0.475,0.584,0.580,0.503,0.643,1.207,2.203,3.108,2.708,1.546,0.960,1.849,5.671,11.395,14.535,14.984,8.525,2.168,0.603,0.532,0.492,
240,154.929,1050.292,1734.986,718.452,48.593,2.003,1.003,-0.729,0.033,0.304,0.539,-0.088,1.210,0.459,0.849,0.635,1.249,0.682,0.912,1.122,0.743,0.734,0.824,0.954,1.023,0.835,0.971,0.940,1.013,1.003,0.994,0.767,0.706,0.778,0.612,0.646,0.619,0.601,0.558,0.661,0.986,1.495,2.785,3.789,3.092,1.622,0.812,1.662,5.877,15.638,24.341,21.733,11.580,3.052,0.658,
245,249.299,166.414,1141.224,2018.487,835.032,69.984,1.886,1.249,1.178,0.653,-0.028,0.844,0.836,0.565,0.862,1.014,1.030,0.726,1.242,0.831,1.002,0.912,0.764,0.831,1.073,0.893,1.018,1.174,0.978,1.022,0.965,0.678,0.600,0.814,0.441,0.480,0.612,0.566,0.605,0.675,0.661,0.749,0.939,2.412,3.938,4.587,3.317,1.440,0.914,2.350,9.313,22.098,32.280,27.947,15.004,
250,550.864,209.261,157.218,1327.555,2340.427,1209.959,63.109,2.561,0.831,1.281,0.776,1.106,0.338,0.887,0.597,0.219,0.976,0.750,0.549,0.689,0.951,0.807,1.009,0.874,0.879,0.814,1.025,0.901,1.063,0.942,1.033,0.672,0.633,0.605,0.611,0.567,0.744,0.525,0.494,0.778,0.680,0.866,0.591,0.794,1.304,3.351,5.762,5.050,2.701,1.212,0.925,2.842,12.063,28.739,42.770,
255,341.675,525.088,193.829,164.384,1459.193,3277.422,1281.883,75.760,1.574,0.890,1.469,1.226,0.999,0.243,1.088,0.566,1.311,0.698,0.812,1.123,0.909,1.006,0.734,1.135,0.771,0.838,1.160,0.972,0.983,0.896,0.934,0.555,0.772,0.683,0.572,0.500,0.570,0.611,0.552,0.788,0.690,0.695,0.709,0.634,0.732,0.727,2.099,4.576,6.265,5.997,2.809,1.166,0.989,3.113,14.693,
260,54.416,430.898,529.115,142.846,181.220,1962.562,3651.347,1397.103,74.464,1.792,1.465,1.746,0.976,0.272,0.666,0.445,0.810,1.011,1.248,0.969,0.711,1.123,0.944,1.254,0.769,0.903,1.034,0.857,0.865,0.863,0.648,0.646,0.658,0.731,0.567,0.715,0.472,0.659,0.585,0.675,0.628,0.559,0.611,0.574,0.515,0.543,0.645,1.090,3.054,7.137,9.089,5.739,1.921,0.915,1.120,
265,-3.915,89.431,492.401,511.119,112.569,212.627,2324.552,4070.438,1536.549,69.374,1.739,2.208,1.042,1.574,0.667,1.108,0.678,1.057,0.889,0.963,1.031,0.854,0.762,0.941,0.869,0.716,0.947,1.138,0.863,0.901,0.791,0.863,0.675,0.583,0.534,0.583,0.582,0.480,0.521,0.593,0.580,0.686,0.673,0.631,0.634,0.474,0.607,0.614,0.733,1.850,5.412,9.853,10.003,5.092,1.739,
270,-2.663,5.894,115.841,580.298,467.524,107.972,265.107,2433.906,4181.821,1439.868,77.968,1.864,1.801,1.877,1.124,0.595,1.273,0.910,0.932,0.991,1.057,1.041,0.903,0.899,1.056,0.736,1.045,0.943,0.763,0.847,0.810,0.673,0.679,0.745,0.535,0.591,0.641,0.695,0.646,0.602,0.610,0.653,0.661,0.693,0.674,0.595,0.702,0.651,0.527,0.611,1.170,2.954,8.127,11.781,10.240,
