"Summary"
"[Software Information]"
"Software Name:","LabSolutions RF"
"Version:","1.12"
"[Data Information]"
"Data is:","Original"
"Sample Name"
"Sample ID"
"Option"
"Analyst"
"Date/Time:","07/25/2020 09:37:44 PM"
"Comments"
"[Instrument Information]"
"Instrument Name:","RF-6000"
"Instrument Type:","RF-6000 Series"
"Model (S/N):","RF-6000 (A40245500756SA)"

"Parameter"
"[Measurement]"
"Spectrum Type:","3D"
"EX Wavelength Start:","230.0 nm"
"EX Wavelength End:","500.0 nm"
"Data Interval:","5.0 nm"
"EM Wavelength Start:","230.0 nm"
"EM Wavelength End:","700.0 nm"
"Data Interval:","5.0 nm"
"Scan Speed:","600 nm/min"
"[Instrument]"
"EX Bandwidth:","5.0 nm"
"EM Bandwidth:","5.0 nm"
"Sensitivity:","Low"
"[Attachment]"
"Attachment:","None"
"[Auto Print]"
"Auto Print:","No"
"Report File:",""

"K3_3L - RawData"
"EM Wavelength/EX Wavelength",230,235,240,245,250,255,260,265,270,275,280,285,290,295,300,305,310,315,320,325,330,335,340,345,350,355,360,365,370,375,380,385,390,395,400,405,410,415,420,425,430,435,440,445,450,455,460,465,470,475,480,485,490,495,500,
230,1298.779,482.448,41.511,1.645,0.987,4.131,2.167,0.306,1.176,1.342,1.542,0.439,1.625,0.637,0.877,1.194,0.850,1.508,0.675,0.551,1.052,0.735,0.662,0.882,0.863,0.946,0.875,0.939,0.739,0.983,0.906,0.680,0.776,0.722,0.869,0.769,0.719,0.820,0.960,1.314,1.662,1.270,0.831,1.332,2.857,7.315,11.555,10.376,5.770,2.064,0.657,0.533,0.618,0.603,0.592,
235,1490.439,1528.627,660.002,34.108,0.318,3.308,2.652,1.046,1.325,1.235,1.682,1.462,1.420,1.122,1.224,0.158,1.096,0.734,0.842,0.642,0.881,0.841,0.739,0.834,0.773,1.033,0.969,0.791,0.914,0.905,0.838,0.795,0.739,0.540,0.684,0.786,0.639,0.841,0.707,0.987,1.535,2.117,2.297,1.396,1.104,1.837,5.415,10.990,16.858,16.357,8.771,2.494,0.704,0.610,0.615,
240,293.748,1148.463,1993.405,785.428,55.680,2.170,1.966,2.064,1.531,1.140,0.909,1.183,1.394,0.144,0.654,0.099,0.809,1.244,0.723,0.566,1.166,0.880,0.715,0.696,0.824,0.898,1.024,0.855,0.765,0.828,0.713,1.045,0.869,0.553,0.665,0.789,0.765,0.592,0.612,0.649,0.735,1.036,2.338,3.329,2.913,1.706,1.034,1.747,6.727,17.403,26.982,24.292,12.874,3.264,0.745,
245,272.296,192.081,1273.044,2172.591,880.034,76.988,2.360,3.998,0.865,2.304,0.824,0.862,0.917,1.083,0.979,1.138,0.452,0.930,1.192,0.938,1.293,0.705,0.670,0.678,0.731,0.897,1.023,1.054,0.867,0.737,0.979,1.001,0.793,0.785,0.785,0.749,0.597,0.788,0.673,0.833,0.674,0.703,0.904,2.002,3.742,4.699,3.344,1.453,0.882,2.682,10.416,24.828,35.858,30.712,16.029,
250,585.303,244.091,178.565,1427.287,2480.734,1270.247,64.942,3.513,2.683,1.871,1.077,1.870,1.487,0.672,1.342,0.600,0.484,0.789,1.241,0.400,0.987,0.870,0.581,0.794,0.889,1.015,0.968,1.064,0.825,0.910,0.860,0.799,0.820,0.782,0.769,0.666,0.603,0.655,0.744,0.778,0.728,0.810,0.671,0.765,1.301,3.467,6.067,5.282,2.977,1.398,1.032,3.205,13.233,30.636,47.480,
255,392.058,607.924,213.281,176.781,1526.888,3489.423,1348.681,77.802,1.887,1.429,1.238,1.430,1.176,0.707,1.615,1.021,0.704,0.913,0.816,0.609,0.937,0.512,0.713,0.791,0.653,0.723,0.979,0.929,0.920,0.657,0.767,0.771,0.825,0.627,0.730,0.664,0.609,0.898,0.583,0.637,0.825,0.679,0.820,0.623,0.719,0.938,2.277,4.907,7.132,6.568,3.251,1.043,1.128,3.470,16.110,
260,81.426,484.229,617.208,157.593,194.415,2154.764,3818.467,1399.864,79.110,2.906,2.026,1.226,1.460,0.882,0.934,0.600,0.608,0.984,0.528,0.934,0.813,0.762,0.737,0.864,0.855,0.914,1.010,0.794,1.009,1.101,0.955,0.834,0.697,0.645,0.784,0.666,0.631,0.692,0.627,0.676,0.742,0.622,0.651,0.795,0.649,0.896,0.667,1.184,3.472,8.036,10.259,6.539,2.433,0.911,1.186,
265,13.246,109.034,556.924,575.642,124.601,227.247,2429.383,3996.443,1556.708,67.095,2.279,3.009,2.383,1.501,1.101,0.635,0.714,1.006,0.814,0.679,0.939,0.586,0.750,0.925,0.949,0.784,0.990,0.996,0.930,0.933,0.719,0.880,0.690,0.573,0.831,0.704,0.579,0.780,0.691,0.842,0.805,0.829,0.702,0.707,0.642,0.815,0.684,0.701,0.787,1.945,6.114,11.152,10.788,5.640,1.922,
270,2.743,11.267,147.423,665.535,521.188,114.845,282.250,2391.054,4167.811,1393.743,81.499,4.152,3.054,1.863,1.057,0.586,0.900,0.942,0.809,0.627,0.900,0.905,0.719,0.772,0.741,0.922,1.008,0.678,1.136,0.753,0.964,0.775,1.012,0.685,0.589,0.614,0.751,0.783,0.672,0.810,0.559,0.690,0.650,0.828,0.781,0.716,0.749,0.620,0.604,0.716,1.106,3.318,9.066,13.691,11.623,
275,8.114,7.435,11.652,226.066,726.166,557.849,76.211,260.796,2478.279,3996.401,1513.374,73.614,2.823,1.803,1.133,1.163,0.567,0.759,0.820,0.538,1.161,0.723,0.843,0.716,0.660,1.065,1.087,0.927,0.774,0.765,1.017,0.614,0.757,0.759,0.756,0.609,0.754,0.632,0.716,0.790,0.695,0.725,0.695,0.652,0.743,0.784,0.830,0.746,0.668,0.555,0.640,0.781,1.530,5.683,13.292,
280,10.513,4.608,6.863,20.368,311.478,954.610,430.610,57.012,260.982,2484.249,4209.926,1571.853,70.839,2.761,1.908,0.827,1.007,1.101,0.607,0.984,1.118,0.686,0.872,0.940,0.830,1.030,1.171,0.960,0.653,0.776,0.874,0.793,0.646,0.781,0.518,0.695,0.637,0.723,0.599,0.822,0.793,0.749,0.775,0.765,0.776,0.790,0.716,0.684,0.758,0.671,0.682,0.611,0.692,0.919,2.834,
285,9.617,0.956,7.180,6.061,37.360,518.093,960.522,318.783,47.275,278.225,2490.125,4298.092,1569.727,82.363,1.998,1.266,1.101,1.339,1.090,0.688,1.042,0.884,0.938,0.841,1.005,0.841,0.925,1.154,0.817,0.741,0.705,0.792,0.805,0.748,0.837,0.810,0.696,0.719,0.811,0.685,0.665,0.785,0.844,0.879,0.696,0.687,0.726,0.638,0.720,0.627,0.618,0.565,0.541,0.639,0.590,
290,12.326,-0.422,4.700,5.330,7.048,76.346,683.818,866.410,234.392,37.709,246.392,2497.019,4800.172,1699.909,80.815,2.007,1.603,1.379,1.153,0.896,1.313,0.637,0.862,0.643,0.946,0.892,1.154,1.097,0.741,0.770,0.778,0.897,0.667,0.802,0.659,0.811,0.718,0.696,0.664,0.691,0.905,0.696,0.623,0.773,0.664,0.744,0.718,0.698,0.626,0.590,0.617,0.685,0.504,0.714,0.547,
295,13.765,1.752,7.069,6.047,6.344,10.831,142.434,748.898,752.522,134.373,36.292,243.507,2761.724,4651.560,1515.403,67.294,2.084,1.356,1.341,1.227,1.145,0.943,1.008,0.627,1.112,0.927,1.144,1.018,0.824,1.016,0.777,0.904,1.046,0.673,0.658,0.654,0.808,0.773,0.817,0.739,0.682,0.689,0.819,0.793,0.765,0.774,0.849,0.710,0.664,0.646,0.694,0.713,0.628,0.703,0.654,
300,15.810,8.583,1.426,5.388,6.562,6.270,16.995,196.053,807.088,563.768,96.691,32.191,261.237,2844.293,4095.912,1404.230,71.980,2.110,1.328,1.336,1.009,1.017,1.035,0.960,0.973,0.973,0.834,0.985,1.031,0.689,0.874,0.716,0.892,0.826,0.744,0.665,0.793,0.583,0.673,0.772,0.807,0.812,0.746,0.795,0.833,0.847,0.779,0.701,0.727,0.626,0.640,0.587,0.561,0.713,0.719,
305,12.469,6.422,6.304,2.312,6.068,7.064,8.144,19.574,256.308,801.543,473.478,66.707,30.658,199.374,2163.044,3773.975,1595.779,61.832,1.928,1.450,1.237,1.194,1.082,0.862,0.883,1.028,0.992,1.214,1.052,0.877,0.740,0.824,0.890,0.949,0.659,0.681,0.785,0.713,0.715,0.925,0.790,0.770,0.756,0.856,0.863,0.792,0.711,0.733,0.654,0.667,0.661,0.548,0.724,0.712,0.515,
310,17.459,5.541,6.601,4.892,5.809,11.375,10.339,9.773,30.326,367.180,786.049,350.643,41.934,29.045,197.668,2034.879,3858.580,1228.824,58.420,1.611,1.408,1.216,1.174,1.084,0.716,1.192,1.112,0.919,0.917,0.765,0.860,0.695,0.944,0.793,0.658,0.743,0.737,0.795,0.817,0.767,0.639,0.627,0.726,0.654,0.771,0.702,0.759,0.670,0.660,0.707,0.587,0.654,0.606,0.723,0.713,
315,14.573,6.407,5.670,3.318,4.210,7.707,8.165,9.357,10.889,54.669,435.180,754.055,244.809,31.118,25.900,170.697,1892.874,3352.092,1204.057,54.391,2.080,1.399,1.040,0.969,1.085,0.989,1.099,1.064,0.941,0.973,0.835,0.634,0.922,0.842,0.628,0.774,0.742,0.680,0.891,0.724,0.745,0.586,0.671,0.829,0.716,0.781,0.779,0.701,0.643,0.539,0.652,0.663,0.583,0.737,0.671,
320,12.121,2.311,8.787,5.149,5.665,8.394,8.974,9.290,9.481,11.925,74.820,526.544,682.860,179.143,23.521,23.045,133.518,1718.642,3147.834,1157.392,54.899,1.717,1.238,1.320,1.244,1.076,1.207,0.987,1.082,0.669,0.785,0.652,0.854,0.670,0.653,0.734,0.808,0.850,0.800,0.814,0.778,0.667,0.707,0.746,0.828,0.775,0.801,0.669,0.705,0.622,0.633,0.542,0.679,0.681,0.591,
325,19.663,5.217,8.940,5.766,7.801,5.972,9.030,9.524,10.445,10.651,14.487,128.433,638.420,569.671,97.392,19.215,21.555,151.448,1691.519,2914.282,1001.612,40.422,1.521,1.290,1.257,1.164,1.257,0.922,0.689,0.689,0.943,0.808,0.808,0.804,0.616,0.763,0.729,0.728,0.973,0.751,0.621,0.664,0.760,0.731,0.758,0.875,0.888,0.599,0.646,0.698,0.677,0.712,0.714,0.625,0.672,
330,17.008,7.693,2.212,5.948,4.918,6.057,6.871,6.464,9.967,10.372,10.587,18.625,194.299,639.781,422.815,60.992,17.775,20.357,127.433,1470.085,2661.975,900.420,42.472,1.688,1.402,1.132,1.376,1.161,1.034,0.852,0.798,0.723,0.841,0.900,0.797,0.684,0.765,0.774,0.808,0.835,0.713,0.611,0.793,0.742,0.699,0.841,0.769,0.724,0.676,0.597,0.641,0.778,0.688,0.729,0.651,
335,17.631,7.792,5.754,2.907,5.783,7.605,8.825,6.461,9.374,10.357,10.397,10.553,25.219,240.622,628.358,306.606,38.010,16.590,18.357,111.030,1377.673,2345.669,941.303,38.091,1.240,1.275,1.193,1.001,1.016,0.887,0.887,0.672,0.695,0.845,0.750,0.683,0.832,0.708,0.884,0.857,0.741,0.692,0.920,0.774,0.775,0.776,0.771,0.693,0.712,0.667,0.674,0.599,0.684,0.744,0.602,
