"Summary"
"[Software Information]"
"Software Name:","LabSolutions RF"
"Version:","1.12"
"[Data Information]"
"Data is:","Original"
"Sample Name"
"Sample ID"
"Option"
"Analyst"
"Date/Time:","07/26/2020 01:39:27 AM"
"Comments"
"[Instrument Information]"
"Instrument Name:","RF-6000"
"Instrument Type:","RF-6000 Series"
"Model (S/N):","RF-6000 (A40245500756SA)"

"Parameter"
"[Measurement]"
"Spectrum Type:","3D"
"EX Wavelength Start:","230.0 nm"
"EX Wavelength End:","500.0 nm"
"Data Interval:","5.0 nm"
"EM Wavelength Start:","230.0 nm"
"EM Wavelength End:","700.0 nm"
"Data Interval:","5.0 nm"
"Scan Speed:","600 nm/min"
"[Instrument]"
"EX Bandwidth:","5.0 nm"
"EM Bandwidth:","5.0 nm"
"Sensitivity:","Low"
"[Attachment]"
"Attachment:","None"
"[Auto Print]"
"Auto Print:","No"
"Report File:",""

"K3_10E - RawData"
"EM Wavelength/EX Wavelength",230,235,240,245,250,255,260,265,270,275,280,285,290,295,300,305,310,315,320,325,330,335,340,345,350,355,360,365,370,375,380,385,390,395,400,405,410,415,420,425,430,435,440,445,450,455,460,465,470,475,480,485,490,495,500,
230,1192.461,466.283,36.404,0.548,1.880,-0.555,1.599,0.093,0.396,1.277,0.863,0.364,0.593,1.105,0.934,0.819,0.420,0.966,1.026,0.718,0.489,0.598,0.538,0.839,0.748,0.548,0.873,0.680,0.720,0.773,0.756,0.615,0.884,0.895,0.708,0.692,0.616,0.785,1.007,1.389,1.620,1.499,1.029,1.204,3.027,7.238,11.738,10.530,5.636,1.971,0.709,0.622,0.580,0.651,0.644,
235,953.920,1531.392,610.019,36.335,2.036,0.546,2.192,1.264,0.496,0.589,0.354,0.909,0.833,0.939,0.830,0.592,0.712,0.817,0.647,0.723,0.837,0.615,0.486,0.840,0.732,0.741,0.793,0.796,0.802,0.662,0.717,0.575,0.815,0.695,0.780,0.766,0.685,0.629,0.685,1.004,1.351,1.947,2.074,1.454,0.942,1.675,5.711,11.182,15.661,16.229,8.786,2.309,0.656,0.552,0.545,
240,165.655,1135.196,1909.550,777.582,49.705,0.400,1.688,-0.654,0.673,1.728,0.644,0.363,0.634,0.245,0.850,0.500,0.590,0.801,0.609,0.756,0.795,0.993,0.926,0.761,0.718,0.770,0.976,0.672,0.855,0.770,0.812,0.579,0.954,0.801,0.817,0.566,0.689,0.717,0.824,0.809,0.747,1.229,2.450,3.280,2.902,1.651,0.901,1.828,6.438,17.312,26.805,23.887,12.508,3.316,0.633,
245,271.275,181.240,1236.611,2161.601,885.903,71.564,1.917,1.484,1.397,1.254,1.420,0.430,1.127,0.348,1.101,0.489,0.771,0.322,0.948,0.802,0.376,0.846,0.676,0.873,0.947,0.537,0.612,0.736,0.842,0.826,0.632,0.598,0.702,0.714,0.720,0.762,0.916,0.839,0.845,0.814,0.732,0.749,1.052,2.037,3.801,4.698,3.281,1.504,0.892,2.521,10.164,24.348,35.741,30.615,16.000,
250,591.178,229.486,165.508,1403.977,2514.237,1226.021,63.336,2.175,-0.262,1.396,1.213,0.763,0.301,0.757,0.992,0.468,1.076,0.650,0.757,0.533,0.830,0.688,0.567,0.882,0.795,0.658,0.593,0.886,0.815,0.646,0.530,0.731,0.741,0.725,0.783,0.711,0.791,0.649,0.860,0.847,0.640,0.770,0.777,0.830,1.393,3.416,5.969,5.403,2.812,1.309,0.970,3.113,13.200,30.084,46.333,
255,392.306,602.030,210.404,179.563,1538.011,3372.725,1326.681,75.307,0.780,1.404,2.075,0.823,1.284,0.543,1.178,0.474,0.765,0.763,0.480,0.708,0.336,0.820,0.626,0.829,0.867,0.350,0.812,0.890,0.793,0.804,0.784,0.752,0.816,0.809,0.735,0.717,0.729,0.726,0.661,0.837,0.693,0.803,0.711,0.712,0.652,0.942,2.214,5.065,6.931,6.639,3.170,1.185,1.089,3.489,16.059,
260,76.761,489.000,620.232,158.432,191.619,2055.332,3818.892,1392.687,75.216,2.780,1.988,0.279,1.000,0.924,1.152,0.626,0.815,0.414,0.853,0.458,1.255,0.705,0.694,0.577,0.667,0.850,0.859,0.964,0.773,0.756,0.635,0.646,0.759,0.802,0.701,0.736,0.652,0.782,0.714,0.614,0.633,0.865,0.809,0.610,0.857,0.655,0.779,1.261,3.355,8.276,10.106,6.384,2.394,0.973,1.203,
265,3.412,105.453,558.958,571.040,126.973,227.331,2516.510,3961.959,1536.148,64.447,1.806,1.469,1.104,0.343,1.026,0.826,0.767,0.657,0.419,0.683,0.787,0.757,0.794,0.525,0.778,0.712,0.924,1.001,0.672,0.726,0.737,0.672,0.725,0.644,0.655,0.729,0.635,0.793,0.785,0.621,0.714,0.830,0.815,0.799,0.775,0.644,0.763,0.647,0.759,1.943,6.055,11.178,11.169,5.500,1.807,
270,7.488,11.647,142.074,654.499,523.313,117.595,303.295,2375.442,4116.517,1359.063,73.604,2.062,1.350,0.880,1.757,1.135,0.737,0.911,0.989,1.015,0.616,0.761,0.812,0.801,0.998,0.772,0.795,0.768,0.841,0.724,0.639,0.752,0.828,0.585,0.578,0.494,0.668,0.713,0.849,0.730,0.862,0.840,0.931,0.693,0.760,0.698,0.664,0.676,0.605,0.573,0.920,3.344,9.450,13.471,11.219,
275,3.423,5.360,12.680,229.674,724.223,555.345,74.384,260.284,2389.054,3920.086,1451.571,69.701,1.824,2.080,1.621,1.131,0.736,0.930,0.765,0.843,0.713,0.671,0.636,0.649,0.910,0.882,0.802,0.897,0.880,0.762,0.650,0.476,0.797,0.781,0.770,0.689,0.650,0.792,0.729,0.802,0.785,0.873,0.834,0.702,0.745,0.677,0.752,0.696,0.737,0.630,0.615,0.748,1.589,5.742,13.307,
280,5.149,9.389,6.912,22.377,315.477,947.793,425.178,54.999,240.839,2423.605,4039.369,1481.435,68.013,2.125,1.512,1.192,1.273,0.964,0.440,0.876,0.745,0.839,0.793,0.874,0.667,0.757,0.884,0.809,0.937,0.825,0.747,0.645,0.841,0.691,0.634,0.750,0.919,0.775,0.961,0.669,0.842,0.821,0.549,0.612,0.708,0.652,0.707,0.656,0.605,0.706,0.557,0.670,0.578,0.771,2.802,
285,15.498,4.073,4.045,5.819,38.385,513.851,965.646,315.522,45.806,276.100,2349.013,4101.330,1450.352,77.209,2.032,1.212,1.259,0.826,0.837,1.034,0.579,0.750,0.522,0.895,0.719,1.011,0.703,1.099,0.906,0.692,0.626,0.844,0.837,0.825,0.768,0.808,0.673,0.763,0.899,0.977,0.749,0.707,0.798,0.822,0.765,0.649,0.652,0.623,0.641,0.793,0.543,0.635,0.521,0.531,0.629,
290,5.505,5.748,6.070,4.207,4.192,75.183,681.012,860.513,229.003,39.706,226.550,2380.569,4232.480,1603.977,69.117,1.750,1.666,1.255,0.931,0.959,0.504,0.900,0.995,0.730,0.741,0.783,1.142,0.794,0.585,0.775,0.777,0.755,0.591,0.766,0.654,0.675,0.654,0.753,0.817,0.596,0.741,0.754,0.653,0.709,0.719,0.752,0.840,0.622,0.612,0.573,0.693,0.674,0.665,0.546,0.651,
295,22.363,7.372,3.490,5.066,2.306,7.343,143.619,753.881,750.558,135.701,37.263,237.362,2497.326,4160.116,1427.811,65.055,2.134,1.612,1.022,1.330,0.895,0.957,1.075,0.589,0.767,0.706,1.013,0.894,0.809,0.730,0.560,0.743,0.741,0.939,0.690,0.800,0.684,0.713,0.791,0.903,0.835,0.880,0.727,0.707,0.757,0.699,0.668,0.668,0.613,0.778,0.625,0.612,0.619,0.482,0.444,
300,21.545,3.393,5.666,7.191,4.820,7.350,15.677,199.999,814.922,557.397,97.416,33.439,250.273,2249.001,3867.939,1340.132,65.744,1.829,1.578,1.251,1.102,0.935,0.752,0.762,0.855,0.828,0.785,0.957,0.824,0.737,0.651,0.801,0.740,1.016,0.594,0.730,0.763,0.811,0.794,0.683,0.896,0.832,0.780,0.822,0.686,0.722,0.724,0.617,0.606,0.615,0.582,0.676,0.675,0.545,0.521,
305,22.314,8.751,6.164,4.357,4.439,7.648,13.480,21.408,258.739,798.589,474.930,66.014,29.923,177.213,2053.503,3669.441,1389.729,59.122,1.575,1.722,1.113,1.361,0.981,0.790,0.748,0.971,0.865,0.933,0.849,0.674,0.737,0.627,0.700,0.942,0.608,0.749,0.667,0.819,0.767,0.667,0.724,0.768,0.742,0.704,0.780,0.789,0.814,0.761,0.673,0.684,0.627,0.673,0.558,0.518,0.659,
310,16.565,6.955,-0.377,4.539,3.266,8.807,8.678,11.653,33.348,369.578,787.908,349.828,42.216,26.039,184.985,1958.158,3477.177,1147.800,53.894,1.476,1.167,1.416,1.141,0.876,0.788,0.831,0.922,0.755,0.895,0.658,0.686,0.693,0.703,0.792,0.697,0.767,0.687,0.805,0.699,0.755,0.910,0.715,0.814,0.668,0.797,0.718,0.672,0.585,0.738,0.621,0.495,0.562,0.650,0.610,0.558,
315,11.584,5.622,4.525,6.274,5.219,5.307,7.230,9.043,12.721,54.918,434.299,751.467,243.157,30.830,24.898,160.048,1779.724,3076.278,1122.445,51.160,1.662,0.959,1.138,0.857,0.931,0.989,0.887,0.863,0.802,0.641,0.751,0.828,0.845,0.795,0.497,0.659,0.567,0.772,0.756,0.768,0.772,0.747,0.813,0.729,0.759,0.646,0.807,0.609,0.632,0.570,0.689,0.544,0.658,0.679,0.764,
320,16.326,7.895,2.131,2.376,2.947,4.284,9.516,9.476,8.326,12.333,73.487,530.395,676.845,179.587,22.954,23.579,137.590,1617.653,2886.511,1062.999,49.369,1.329,0.806,0.993,1.032,0.872,0.963,0.725,0.877,0.731,0.807,0.663,0.687,0.758,0.589,0.647,0.573,0.868,0.808,0.701,0.736,0.942,0.833,0.747,0.928,0.666,0.613,0.605,0.647,0.697,0.541,0.610,0.629,0.589,0.625,
325,8.461,7.728,2.561,3.782,5.767,4.049,6.840,9.318,8.193,9.823,15.075,127.430,634.479,566.416,97.724,19.569,21.158,149.385,1553.101,2627.190,915.609,39.422,1.276,1.080,0.837,1.147,0.717,0.991,0.694,0.743,0.836,0.775,0.814,0.733,0.625,0.736,0.621,0.839,0.619,0.672,0.791,0.811,0.770,0.797,0.723,0.738,0.655,0.675,0.717,0.732,0.617,0.580,0.650,0.514,0.581,
330,9.289,8.702,3.197,6.309,5.275,4.401,5.565,7.867,8.229,8.334,8.550,15.972,191.853,643.405,424.757,57.903,16.974,19.978,119.532,1342.112,2511.592,870.191,37.074,1.356,1.147,1.089,1.034,0.955,0.917,0.868,0.740,0.963,0.796,0.677,0.644,0.790,0.830,0.798,0.832,0.720,0.800,0.822,0.783,0.759,0.752,0.812,0.727,0.587,0.614,0.739,0.563,0.639,0.581,0.585,0.659,
335,9.775,11.012,1.838,5.675,3.871,2.858,5.172,5.777,6.956,7.426,7.219,8.306,21.906,239.342,632.048,303.594,36.502,15.317,18.267,105.329,1276.661,2271.662,788.968,36.984,1.320,1.187,0.953,1.042,0.709,0.719,0.939,0.685,0.711,0.634,0.773,0.829,0.760,0.778,0.682,0.660,0.763,0.813,0.675,0.604,0.765,0.873,0.738,0.759,0.597,0.577,0.618,0.695,0.521,0.651,0.598,
340,5.434,5.618,4.505,5.658,2.679,4.659,4.952,5.609,7.521,7.224,7.935,6.578,7.514,32.628,334.406,563.055,201.011,19.711,14.966,17.126,116.493,1223.661,2096.854,676.377,29.969,1.318,0.890,1.048,0.996,0.915,0.890,0.807,0.705,0.752,0.692,0.733,0.814,0.655,0.796,0.767,0.693,0.724,0.741,0.715,0.787,0.776,0.823,0.670,0.658,0.672,0.523,0.718,0.643,0.633,0.638,
345,12.577,1.847,5.532,4.500,4.022,7.091,5.294,4.594,5.624,6.946,6.864,5.604,5.712,7.269,53.731,371.385,489.135,119.360,15.202,14.290,15.731,94.087,1121.134,1928.523,696.619,28.530,1.197,1.052,0.874,0.901,0.949,0.785,0.752,0.758,0.688,0.702,0.881,0.813,0.812,0.895,0.808,0.766,0.708,0.679,0.777,0.799,0.699,0.673,0.660,0.705,0.511,0.597,0.537,0.687,0.599,
350,2.560,2.935,4.901,3.898,5.384,4.414,7.656,5.346,4.701,6.728,6.965,6.674,5.738,5.139,8.730,86.837,416.390,372.586,72.722,12.512,13.570,14.589,99.797,1062.819,1809.148,602.750,23.407,1.268,0.819,0.826,0.846,0.748,0.767,0.791,0.650,0.689,0.808,0.781,0.776,0.696,0.718,0.645,0.685,0.766,0.769,0.661,0.672,0.797,0.653,0.767,0.745,0.669,0.647,0.652,0.647,
355,12.488,13.791,3.901,5.295,4.185,6.341,6.688,5.025,5.643,4.985,6.696,6.846,6.074,4.930,5.313,12.653,129.999,439.025,282.165,40.325,11.821,12.856,13.825,101.440,1046.487,1696.971,526.884,20.823,1.325,0.908,0.965,0.912,0.853,0.861,0.601,0.791,0.817,0.771,0.835,0.679,0.746,0.809,0.769,0.804,0.704,0.722,0.760,0.756,0.681,0.684,0.626,0.604,0.623,0.613,0.614,
360,0.481,5.648,6.070,3.839,5.352,6.094,7.682,5.460,6.178,6.794,5.936,5.929,5.004,4.651,4.934,5.984,16.957,176.022,415.904,206.069,24.710,10.310,11.685,12.461,80.404,921.444,1563.899,559.148,20.809,1.153,0.874,0.688,0.857,0.676,0.842,0.624,0.681,0.783,0.731,0.822,0.723,0.841,0.917,0.802,0.660,0.779,0.716,0.715,0.719,0.702,0.602,0.774,0.629,0.621,0.766,
365,1.814,8.573,6.084,4.816,3.907,5.883,6.322,6.519,5.685,5.587,5.439,6.266,7.456,5.570,5.224,4.793,7.145,29.359,221.284,375.348,129.761,14.814,9.858,10.926,12.009,81.349,864.651,1482.286,482.475,19.713,1.202,0.841,0.876,0.952,0.601,0.718,0.677,0.831,0.736,0.664,0.700,0.920,0.763,0.759,0.793,0.591,0.685,0.681,0.701,0.853,0.578,0.656,0.619,0.732,0.575,
370,12.430,4.497,3.311,6.968,7.106,5.835,6.658,5.884,5.848,5.850,6.244,5.736,6.070,6.340,5.581,5.057,6.347,8.799,44.463,261.534,314.512,81.175,10.732,9.380,9.867,11.022,73.657,803.940,1446.614,458.329,22.029,1.077,0.934,0.807,0.860,0.614,0.832,0.835,0.689,0.775,0.739,0.878,0.771,0.576,0.738,0.698,0.703,0.746,0.727,0.619,0.704,0.629,0.647,0.687,0.564,
375,6.498,6.886,4.910,6.205,6.294,7.879,5.140,5.975,4.961,6.398,5.745,5.923,6.571,6.626,6.233,5.820,5.947,6.315,9.814,65.144,286.674,250.989,49.097,8.659,8.817,9.219,9.718,60.420,789.077,1289.248,483.222,21.335,0.952,1.014,0.868,0.724,0.881,0.751,0.791,0.685,0.749,0.817,0.776,0.726,0.701,0.757,0.752,0.669,0.633,0.714,0.558,0.617,0.654,0.631,0.606,
