"Summary"
"[Software Information]"
"Software Name:","LabSolutions RF"
"Version:","1.12"
"[Data Information]"
"Data is:","Original"
"Sample Name"
"Sample ID"
"Option"
"Analyst"
"Date/Time:","07/26/2020 08:23:41 PM"
"Comments"
"[Instrument Information]"
"Instrument Name:","RF-6000"
"Instrument Type:","RF-6000 Series"
"Model (S/N):","RF-6000 (A40245500756SA)"

"Parameter"
"[Measurement]"
"Spectrum Type:","3D"
"EX Wavelength Start:","230.0 nm"
"EX Wavelength End:","500.0 nm"
"Data Interval:","5.0 nm"
"EM Wavelength Start:","230.0 nm"
"EM Wavelength End:","700.0 nm"
"Data Interval:","5.0 nm"
"Scan Speed:","600 nm/min"
"[Instrument]"
"EX Bandwidth:","5.0 nm"
"EM Bandwidth:","5.0 nm"
"Sensitivity:","Low"
"[Attachment]"
"Attachment:","None"
"[Auto Print]"
"Auto Print:","No"
"Report File:",""

"K3_14E_2006 - RawData"
"EM Wavelength/EX Wavelength",230,235,240,245,250,255,260,265,270,275,280,285,290,295,300,305,310,315,320,325,330,335,340,345,350,355,360,365,370,375,380,385,390,395,400,405,410,415,420,425,430,435,440,445,450,455,460,465,470,475,480,485,490,495,500,
230,5824.129,2175.500,162.117,1.832,2.824,2.751,3.085,2.670,0.958,1.785,2.843,2.663,2.430,1.984,1.939,2.359,2.543,2.309,2.059,2.282,1.883,2.207,2.651,2.204,3.016,3.749,4.758,5.578,4.649,3.565,2.901,2.703,2.348,2.307,1.826,1.843,1.720,1.930,2.766,3.575,3.474,2.688,1.939,4.460,15.093,37.353,54.626,46.262,23.988,7.640,1.591,1.293,1.167,1.164,1.138,
235,4640.996,7239.924,2875.044,166.385,3.346,5.873,3.806,3.836,1.504,2.827,1.975,2.317,2.837,2.670,2.164,2.249,2.134,2.035,1.946,1.900,1.998,2.372,2.493,2.507,3.136,3.672,5.012,5.778,4.441,3.532,2.902,2.737,2.581,2.134,1.871,1.691,1.692,1.669,1.718,2.176,3.172,4.170,3.645,2.375,1.978,6.253,24.623,52.363,72.338,74.377,39.775,9.273,1.435,1.230,1.228,
240,633.075,5429.905,9366.546,3907.246,269.881,7.380,5.182,6.608,3.748,3.201,2.669,2.298,3.236,2.945,2.639,2.147,2.237,2.056,1.674,1.820,1.937,1.997,2.686,2.402,2.995,3.656,4.742,5.543,4.508,3.406,2.659,2.717,2.389,2.234,1.981,1.613,1.628,1.558,1.733,1.624,1.785,2.278,4.181,5.104,4.023,2.560,2.003,6.304,28.447,82.053,131.958,119.560,63.606,14.974,1.933,
245,299.440,758.503,6248.844,11574.513,4849.072,403.535,9.091,6.712,6.424,2.732,3.491,2.461,3.033,2.876,2.863,3.310,2.108,1.607,2.046,1.893,2.174,2.064,2.645,2.530,2.981,3.629,4.958,5.748,4.297,3.232,2.631,2.562,2.294,2.065,1.851,1.677,1.605,1.661,1.642,1.591,1.544,1.462,1.925,3.470,5.295,5.826,4.111,2.126,1.752,9.426,49.217,123.029,187.564,167.440,88.198,
250,597.204,235.415,732.263,7853.060,14331.850,7618.590,404.904,10.021,6.939,5.552,5.188,3.226,3.732,2.905,3.624,2.938,2.448,2.319,1.770,1.991,1.812,2.300,2.711,2.749,3.188,3.412,5.141,5.711,4.261,3.076,2.501,2.574,2.460,2.212,1.702,1.673,1.590,1.707,1.643,1.558,1.695,1.472,1.405,1.479,2.250,4.454,6.856,6.161,3.532,2.131,2.008,12.533,68.701,170.766,273.562,
255,392.335,587.886,217.603,897.200,9248.950,22059.342,9008.603,532.485,11.801,8.051,7.708,5.518,3.205,2.838,2.549,2.397,2.146,2.424,2.003,2.232,1.917,2.514,2.406,2.909,3.601,3.760,5.076,5.813,4.259,2.737,2.759,2.210,2.400,2.237,1.993,1.684,1.608,1.595,1.560,1.676,1.501,1.513,1.606,1.530,1.426,1.534,2.930,5.577,7.533,6.984,3.671,1.830,2.090,15.416,93.269,
260,68.266,474.968,590.078,160.061,1060.672,14001.954,27384.789,10416.386,585.094,13.647,10.638,7.016,5.575,3.855,2.785,2.675,2.826,2.046,2.476,2.067,2.107,2.418,2.593,2.841,3.438,3.641,5.689,6.137,4.393,3.032,2.511,2.306,2.378,2.146,1.993,1.572,1.747,1.696,1.652,1.509,1.601,1.433,1.675,1.377,1.430,1.404,1.491,1.884,3.998,8.538,10.304,6.425,2.866,1.775,2.344,
265,12.293,100.665,523.201,546.492,131.641,1368.722,17996.625,31638.928,12797.662,553.725,15.240,9.489,8.056,5.923,4.389,3.523,2.817,2.481,2.369,2.502,2.049,2.296,2.290,3.052,3.495,4.033,5.555,5.987,3.600,2.643,2.668,2.444,2.248,2.025,1.704,1.574,1.603,1.628,1.622,1.514,1.393,1.502,1.399,1.487,1.395,1.506,1.358,1.388,1.397,2.507,6.481,10.991,11.041,5.832,2.582,
270,15.385,17.096,140.917,621.933,496.222,132.103,1925.453,19614.795,36253.922,12693.030,715.330,15.979,12.203,8.548,6.467,4.641,3.579,2.952,2.684,2.447,2.108,2.170,2.381,2.640,3.415,4.468,5.792,5.793,3.895,2.825,2.647,2.642,2.456,2.219,2.084,1.709,1.761,1.862,1.757,1.890,1.663,1.402,1.568,1.618,1.588,1.589,1.504,1.500,1.265,1.382,1.639,3.964,9.616,13.353,11.202,
275,13.735,11.356,16.829,225.417,689.579,540.759,101.138,1994.277,22093.768,38760.551,14919.450,740.325,18.521,12.632,9.754,7.255,4.376,3.643,2.908,2.485,2.617,2.399,2.589,3.053,3.489,4.609,7.806,6.932,3.402,2.661,2.751,2.605,2.695,2.322,2.168,1.722,2.053,1.992,1.842,1.990,1.768,1.728,1.881,2.016,1.746,1.835,1.744,1.638,1.382,1.387,1.367,1.371,2.312,5.901,13.261,
280,30.623,18.494,13.599,27.850,305.207,915.777,421.515,85.301,2048.143,24736.436,43465.586,16886.664,752.106,19.505,13.764,10.236,7.786,5.013,3.374,3.089,2.493,2.395,2.841,2.883,3.669,4.828,8.221,8.061,3.775,2.654,2.511,2.889,2.930,2.706,2.205,2.183,2.083,1.901,1.869,1.924,2.196,2.031,2.080,2.220,2.260,2.098,2.076,1.712,1.590,1.430,1.381,1.400,1.362,1.549,3.367,
285,45.166,27.592,11.616,17.185,47.724,497.169,930.510,326.341,78.675,2567.105,26393.057,49026.824,17979.656,961.078,20.003,13.023,9.918,7.053,4.592,3.568,2.923,2.891,2.745,3.105,3.757,5.039,8.478,8.256,4.140,2.844,2.588,2.755,3.206,2.914,2.674,2.324,2.184,2.270,2.206,2.082,2.238,2.380,2.518,2.683,2.526,2.421,2.157,1.942,1.630,1.491,1.373,1.380,1.336,1.251,1.509,
290,52.789,29.314,22.277,17.536,17.904,88.043,672.070,846.670,256.737,75.676,2270.546,29167.277,55058.602,21691.500,933.147,20.433,13.581,9.615,7.360,4.547,3.518,3.201,2.859,3.242,4.120,5.514,8.648,7.907,3.947,2.795,2.560,2.955,3.008,3.071,2.754,2.388,2.290,2.219,2.357,2.229,2.172,2.232,2.589,2.631,2.478,2.537,2.265,2.057,1.757,1.524,1.384,1.437,1.464,1.335,1.245,
295,51.718,38.420,23.738,26.897,26.944,34.960,161.909,736.221,751.433,170.420,79.400,2610.894,33626.953,58855.984,21134.510,956.933,19.431,12.358,9.728,6.879,4.791,3.632,3.151,3.592,4.344,6.156,8.573,7.850,3.975,2.906,2.716,2.971,3.127,2.944,2.896,2.382,2.470,2.244,2.214,2.239,2.422,2.453,2.442,2.638,2.572,2.594,2.353,2.126,1.773,1.617,1.572,1.526,1.471,1.499,1.525,
300,75.821,54.246,43.844,43.504,41.897,50.654,52.726,221.201,802.014,581.289,138.802,76.458,3028.641,32878.461,60957.477,21766.689,1053.947,19.020,12.636,9.467,7.235,4.841,4.077,3.688,4.700,6.525,8.759,7.759,3.730,2.791,2.895,2.955,2.959,2.746,2.750,2.574,2.370,2.224,2.177,2.122,2.292,2.235,2.239,2.537,2.347,2.500,2.341,2.109,1.868,1.816,1.808,1.750,1.758,1.726,1.732,
305,76.689,70.686,69.076,69.207,67.358,82.405,65.857,68.029,292.364,804.161,502.584,112.976,77.466,2205.474,33261.246,61531.828,24564.934,1024.775,18.747,12.805,9.604,6.930,5.438,4.751,5.219,6.868,9.144,7.524,3.732,2.876,2.957,2.889,3.102,2.987,2.820,2.521,2.622,2.563,2.408,2.451,2.288,2.338,2.299,2.341,2.409,2.542,2.313,2.020,1.959,1.901,2.020,2.151,2.123,2.076,2.523,
310,86.243,94.398,96.838,101.861,104.109,119.335,82.503,68.987,86.432,404.561,812.055,395.391,94.845,73.938,2646.113,33650.398,62401.219,21861.475,1032.072,18.645,13.113,8.937,7.365,5.917,6.099,7.699,9.457,7.408,3.972,2.867,2.664,3.189,3.178,2.876,2.990,2.703,2.503,2.627,2.434,2.548,2.478,2.066,2.307,2.297,2.388,2.350,2.394,2.281,2.117,2.445,2.538,2.657,2.889,2.736,3.015,
315,115.401,117.981,136.096,144.046,140.066,151.703,111.353,80.484,78.596,128.044,493.410,792.905,301.606,84.499,80.058,2403.657,32614.602,61506.781,23096.908,1059.123,18.149,12.327,9.720,7.990,7.640,8.441,9.522,7.524,4.183,3.025,2.752,3.132,2.902,2.842,2.678,2.842,2.838,2.531,2.593,2.375,2.446,2.316,2.392,2.563,2.669,2.586,2.645,2.596,2.422,2.695,2.996,3.168,3.302,3.463,3.823,
320,176.240,164.466,170.387,174.980,180.449,189.673,139.057,102.948,101.175,121.393,181.582,606.017,736.997,243.718,90.276,81.376,2014.539,32722.828,62088.055,24120.125,1074.318,17.693,12.223,9.069,8.402,9.044,9.126,7.369,4.182,3.278,3.039,3.201,2.728,3.183,3.056,3.032,2.941,2.785,3.106,2.853,2.975,3.060,3.456,3.708,4.035,4.366,3.964,3.282,2.853,3.137,3.386,3.563,3.951,4.094,4.521,
325,273.004,238.030,208.286,204.222,206.821,223.064,163.426,128.113,123.128,148.497,155.537,261.535,725.487,633.393,179.808,88.836,69.849,2589.111,33562.742,62398.184,21921.869,918.887,17.519,11.676,9.605,10.186,10.788,7.989,4.683,3.610,3.684,2.860,2.877,3.082,2.976,2.846,3.167,2.945,3.278,3.359,3.215,3.702,4.229,5.146,5.541,6.661,6.190,4.702,3.684,3.881,4.035,4.199,4.552,4.700,5.138,
330,309.550,296.586,242.442,222.140,217.987,229.043,168.994,132.526,132.618,160.077,165.376,172.251,321.394,721.458,506.501,138.235,67.411,59.973,2211.407,32668.902,62271.871,22757.924,968.571,17.099,12.122,10.932,11.673,9.472,5.049,3.997,4.283,3.265,3.309,3.232,3.038,3.217,3.302,3.371,3.364,3.684,3.501,3.747,4.521,5.320,6.139,7.041,6.559,5.519,4.337,4.562,4.603,4.704,4.889,4.816,5.201,
335,344.869,326.475,260.666,229.648,226.458,232.940,178.586,138.952,144.488,172.701,178.029,174.259,170.689,349.098,714.345,382.669,93.408,55.033,60.460,2134.466,33093.672,62052.086,22791.598,956.652,16.879,13.074,12.999,10.522,6.451,4.672,4.646,3.888,4.166,3.549,3.338,3.079,3.413,3.299,3.430,3.531,3.904,4.055,4.870,6.006,6.618,7.668,7.408,5.923,4.744,4.881,5.047,4.999,5.143,5.159,5.572,
340,377.009,340.271,270.721,225.973,225.262,233.898,180.771,146.138,150.562,180.447,183.899,181.593,161.144,160.707,440.135,645.394,256.654,61.897,56.156,56.756,2600.902,34432.379,61467.914,20940.244,837.503,17.203,14.732,11.819,7.695,5.763,4.921,4.088,5.067,3.964,3.558,3.510,3.425,3.486,3.646,3.761,3.889,4.332,5.086,6.395,7.219,7.873,7.907,6.387,5.172,5.147,5.408,5.297,5.263,5.259,5.532,
345,356.663,356.126,275.023,225.338,210.690,227.165,175.641,140.418,146.639,171.366,175.470,172.591,162.428,138.946,179.404,461.692,536.057,161.461,61.047,53.191,47.985,2176.911,32730.186,61942.578,22927.467,909.465,20.101,13.203,9.004,7.105,6.411,5.579,5.827,4.898,3.648,3.420,3.339,3.565,3.668,3.661,3.949,4.237,4.739,5.691,6.353,7.266,7.296,6.023,5.149,5.399,5.369,5.335,5.071,5.118,5.523,
350,341.927,351.190,271.968,215.408,203.653,213.799,170.667,142.517,143.733,165.082,167.895,171.366,161.017,139.048,141.686,195.530,472.060,412.255,120.243,54.470,44.509,44.237,2399.475,34251.629,62035.469,21403.000,796.816,18.215,11.152,8.469,7.238,7.255,7.404,5.188,3.960,3.623,3.421,3.348,3.561,3.630,3.726,3.983,4.621,5.510,5.763,6.756,6.863,5.684,5.165,5.321,5.485,5.294,5.025,4.878,5.251,
355,328.504,340.007,267.278,221.157,193.412,209.675,171.482,144.552,143.476,161.019,166.599,164.075,156.330,141.901,140.609,128.988,204.531,476.788,325.930,86.879,45.828,42.297,43.147,2752.028,35173.887,61469.207,19999.818,729.860,15.716,10.949,8.805,9.285,8.986,5.916,4.486,3.874,3.523,3.481,3.563,3.574,3.556,3.784,4.569,5.007,5.660,6.440,6.541,5.443,4.853,5.205,5.258,5.273,5.067,4.784,5.069,
360,307.381,334.277,264.911,209.017,182.998,203.546,170.916,146.473,143.958,156.696,158.512,165.542,158.162,145.043,142.134,129.047,104.181,239.029,466.222,250.808,63.627,44.999,41.587,42.499,2220.203,33920.738,62054.680,22257.869,800.314,15.250,11.130,10.832,10.188,7.269,5.389,4.180,3.688,3.402,3.452,3.725,3.509,3.722,4.170,4.880,5.201,5.831,5.906,5.186,4.718,5.113,5.148,5.100,5.117,4.817,4.890,
365,291.662,309.588,261.912,214.047,185.519,204.179,171.161,148.243,146.775,156.408,157.602,158.424,159.595,143.190,147.922,136.269,103.792,106.889,287.518,424.143,171.427,53.858,44.608,41.607,41.079,2480.745,34708.777,62291.020,20787.047,823.618,16.240,13.369,11.093,8.026,6.626,5.086,4.153,3.714,3.623,3.575,3.620,3.522,3.833,4.242,4.757,5.248,5.440,4.953,4.358,4.939,5.239,5.158,4.940,4.553,4.759,
370,278.698,301.091,260.756,217.479,188.961,202.200,187.039,161.368,153.588,155.804,161.046,156.360,161.668,151.938,152.687,144.472,113.480,98.133,127.099,321.560,358.389,124.476,50.523,45.746,39.987,41.091,2485.159,33966.586,62091.141,21748.828,942.354,16.671,12.377,9.257,7.767,6.381,4.965,3.964,3.665,3.506,3.526,3.470,3.837,4.215,4.417,4.737,4.801,4.539,4.216,4.722,5.037,5.073,5.100,4.737,4.934,
375,278.327,295.240,256.957,216.789,192.460,220.537,189.489,162.766,159.298,157.845,155.555,162.617,166.480,157.958,159.667,153.787,126.271,109.449,105.901,143.777,341.087,295.782,95.960,50.503,45.380,39.829,39.657,2044.919,33392.340,62062.613,24342.666,998.441,16.240,11.222,8.767,7.055,6.105,4.930,4.090,3.625,3.595,3.422,3.756,3.960,4.079,4.549,4.648,4.352,4.168,4.763,4.793,4.994,4.934,4.567,5.082,
380,268.381,292.756,257.333,231.172,194.329,223.915,200.229,171.401,161.828,157.794,158.665,166.958,168.265,164.121,170.354,162.932,135.597,121.020,113.491,104.576,174.217,344.184,230.818,75.934,51.010,43.637,37.267,35.782,2328.028,32612.535,62543.313,23099.018,1076.229,16.076,11.172,8.104,6.836,5.981,5.160,4.118,3.760,3.874,3.677,3.813,3.997,4.302,4.466,4.267,4.112,4.701,4.877,4.926,5.004,4.755,4.995,
385,280.492,277.621,252.924,229.417,199.509,230.506,205.988,179.181,167.525,162.144,161.182,166.681,173.170,168.803,176.648,170.811,146.448,131.730,123.260,110.222,103.111,200.246,324.841,173.612,64.869,47.430,39.591,33.100,33.582,2021.780,30767.020,63144.441,24754.250,1072.411,15.191,10.431,7.808,6.709,5.834,5.212,4.319,3.917,3.709,4.016,4.089,4.022,4.292,3.983,4.039,4.775,4.813,4.900,4.986,4.821,5.174,
390,278.441,276.082,255.937,231.779,207.196,232.028,208.832,183.290,168.827,164.234,161.385,167.368,173.023,176.087,178.447,175.692,156.876,140.210,132.307,116.032,104.268,108.373,221.443,286.335,132.680,55.265,42.173,34.334,28.933,29.609,1578.122,31420.834,64097.875,25034.670,1035.093,14.375,9.607,7.613,6.407,5.893,5.287,4.253,3.899,4.170,3.906,3.942,4.226,3.933,3.957,4.555,4.963,5.005,5.073,4.862,5.203,
