"Summary"
"[Software Information]"
"Software Name:","LabSolutions RF"
"Version:","1.12"
"[Data Information]"
"Data is:","Original"
"Sample Name"
"Sample ID"
"Option"
"Analyst"
"Date/Time:","07/25/2020 03:25:32 AM"
"Comments"
"[Instrument Information]"
"Instrument Name:","RF-6000"
"Instrument Type:","RF-6000 Series"
"Model (S/N):","RF-6000 (A40245500756SA)"

"Parameter"
"[Measurement]"
"Spectrum Type:","3D"
"EX Wavelength Start:","230.0 nm"
"EX Wavelength End:","500.0 nm"
"Data Interval:","5.0 nm"
"EM Wavelength Start:","230.0 nm"
"EM Wavelength End:","700.0 nm"
"Data Interval:","5.0 nm"
"Scan Speed:","600 nm/min"
"[Instrument]"
"EX Bandwidth:","5.0 nm"
"EM Bandwidth:","5.0 nm"
"Sensitivity:","Low"
"[Attachment]"
"Attachment:","None"
"[Auto Print]"
"Auto Print:","No"
"Report File:",""

"K6_22 - RawData"
"EM Wavelength/EX Wavelength",230,235,240,245,250,255,260,265,270,275,280,285,290,295,300,305,310,315,320,325,330,335,340,345,350,355,360,365,370,375,380,385,390,395,400,405,410,415,420,425,430,435,440,445,450,455,460,465,470,475,480,485,490,495,500,
230,1180.306,426.552,30.095,-0.343,3.673,0.829,2.630,0.033,-0.194,1.223,1.088,0.591,0.917,1.105,0.573,0.967,1.431,1.039,1.434,1.037,1.314,1.057,1.016,0.860,0.822,0.774,0.882,0.770,0.786,0.732,0.792,0.691,0.762,0.698,0.610,0.582,0.543,0.857,1.622,2.370,2.338,1.556,0.893,1.313,3.458,8.041,11.187,9.599,5.101,1.782,0.463,0.567,0.637,0.482,0.602,
235,906.585,1354.428,523.650,34.325,1.370,0.614,0.727,1.611,1.273,0.152,0.293,-0.029,0.160,0.985,0.868,0.806,0.876,1.016,1.128,1.271,1.412,1.024,1.019,1.036,0.840,1.017,0.944,0.797,0.694,0.763,0.772,0.637,0.583,0.684,0.595,0.857,0.714,0.521,0.804,1.269,2.205,3.059,2.691,1.543,0.949,1.835,5.334,10.229,13.820,14.189,7.719,1.862,0.659,0.604,0.426,
240,155.995,979.032,1608.341,657.001,45.289,1.757,0.234,1.615,0.631,0.850,0.265,0.495,0.859,0.769,1.227,1.391,0.772,0.898,1.082,1.485,1.180,1.000,1.167,0.938,0.830,0.777,0.849,0.729,0.756,0.719,0.605,0.627,0.654,0.700,0.726,0.601,0.661,0.606,0.674,0.674,0.758,1.495,2.869,3.781,2.930,1.596,0.848,1.685,5.528,14.878,22.465,20.468,10.889,3.031,0.709,
245,258.251,163.385,1047.615,1840.266,750.078,61.559,3.310,1.998,0.600,1.087,0.665,0.351,0.658,1.506,0.920,1.376,1.190,1.323,1.038,1.387,1.008,0.924,1.038,0.805,0.753,1.046,0.922,0.873,0.667,0.680,0.805,0.652,0.808,0.575,0.597,0.623,0.610,0.696,0.567,0.696,0.689,0.736,0.907,2.270,3.757,4.600,3.095,1.316,0.786,2.213,8.715,20.372,29.887,25.710,13.754,
250,534.777,208.957,134.823,1193.198,2057.784,1062.641,57.769,1.931,0.949,2.215,0.590,0.891,0.766,0.409,1.249,0.958,1.433,1.271,1.450,1.330,0.858,0.897,0.986,1.039,0.859,0.917,0.905,0.750,0.703,0.897,0.820,0.754,0.642,0.660,0.697,0.754,0.617,0.575,0.569,0.699,0.636,0.578,0.637,0.735,1.244,3.275,5.641,5.030,2.628,1.120,0.964,2.559,10.887,25.567,39.621,
255,339.692,536.986,184.283,156.068,1279.312,2928.255,1154.582,71.022,2.371,1.588,0.633,1.107,0.999,0.670,0.935,0.772,1.117,1.194,1.333,1.485,1.403,1.183,1.087,1.013,0.963,0.948,0.969,0.841,0.616,0.657,0.624,0.542,0.788,0.626,0.616,0.605,0.654,0.607,0.699,0.692,0.649,0.629,0.574,0.508,0.625,0.899,1.973,4.329,6.141,5.750,2.832,1.008,0.977,3.005,13.690,
260,62.932,429.244,538.943,138.284,157.379,1766.811,3282.479,1298.910,68.958,1.928,1.742,1.308,1.218,0.977,0.798,1.296,1.650,1.268,1.479,1.144,1.289,1.103,1.129,1.029,0.721,0.972,0.776,0.844,0.806,0.716,0.823,0.591,0.719,0.564,0.552,0.763,0.716,0.691,0.425,0.615,0.741,0.654,0.663,0.585,0.621,0.660,0.704,1.034,2.983,7.083,8.739,5.719,2.067,0.927,1.168,
265,11.465,91.355,484.542,507.595,113.197,193.780,2075.918,3491.699,1356.115,59.702,1.995,1.249,1.766,1.823,1.599,1.174,1.547,1.202,1.181,1.310,0.992,1.126,1.028,0.917,1.022,0.780,0.796,1.005,0.628,0.657,0.657,0.631,0.759,0.690,0.736,0.598,0.630,0.685,0.825,0.823,0.628,0.709,0.657,0.607,0.565,0.578,0.630,0.706,0.738,1.699,5.442,9.863,9.872,4.951,1.689,
270,1.838,7.741,120.903,575.260,468.636,104.013,241.284,2071.449,3672.400,1248.207,68.516,3.039,1.374,2.413,1.265,1.356,1.206,1.457,1.520,1.446,1.196,1.091,1.357,0.852,0.817,0.816,0.997,0.720,0.751,0.803,0.648,0.736,0.726,0.712,0.542,0.634,0.618,0.586,0.703,0.692,0.731,0.564,0.560,0.705,0.636,0.611,0.674,0.702,0.587,0.671,0.865,2.932,7.943,11.654,10.120,
