"Summary"
"[Software Information]"
"Software Name:","LabSolutions RF"
"Version:","1.12"
"[Data Information]"
"Data is:","Original"
"Sample Name"
"Sample ID"
"Option"
"Analyst"
"Date/Time:","07/25/2020 04:13:52 AM"
"Comments"
"[Instrument Information]"
"Instrument Name:","RF-6000"
"Instrument Type:","RF-6000 Series"
"Model (S/N):","RF-6000 (A40245500756SA)"

"Parameter"
"[Measurement]"
"Spectrum Type:","3D"
"EX Wavelength Start:","230.0 nm"
"EX Wavelength End:","500.0 nm"
"Data Interval:","5.0 nm"
"EM Wavelength Start:","230.0 nm"
"EM Wavelength End:","700.0 nm"
"Data Interval:","5.0 nm"
"Scan Speed:","600 nm/min"
"[Instrument]"
"EX Bandwidth:","5.0 nm"
"EM Bandwidth:","5.0 nm"
"Sensitivity:","Low"
"[Attachment]"
"Attachment:","None"
"[Auto Print]"
"Auto Print:","No"
"Report File:",""

"K6_23 - RawData"
"EM Wavelength/EX Wavelength",230,235,240,245,250,255,260,265,270,275,280,285,290,295,300,305,310,315,320,325,330,335,340,345,350,355,360,365,370,375,380,385,390,395,400,405,410,415,420,425,430,435,440,445,450,455,460,465,470,475,480,485,490,495,500,
230,1193.815,441.685,34.162,2.370,0.153,1.947,3.276,1.586,1.128,1.070,1.023,0.623,0.616,0.478,1.063,0.938,1.244,0.878,0.989,0.857,0.931,0.607,0.683,0.807,0.788,0.864,0.778,0.848,0.671,0.677,0.625,0.631,0.624,0.675,0.453,0.530,0.423,0.930,1.518,2.452,2.334,1.619,1.067,1.318,3.756,8.320,11.569,9.692,5.182,1.926,0.636,0.721,0.567,0.526,0.596,
235,941.507,1392.934,551.944,33.052,2.462,0.715,2.638,1.921,1.118,1.081,1.068,1.295,1.066,0.353,1.450,0.762,1.543,1.099,0.849,1.010,0.601,0.808,0.764,0.843,0.780,0.769,0.744,0.614,0.677,0.766,0.587,0.575,0.629,0.516,0.503,0.531,0.462,0.711,0.622,1.152,2.252,2.928,2.731,1.754,0.952,1.682,5.375,10.785,14.589,14.671,7.851,2.126,0.680,0.528,0.653,
240,153.518,1012.871,1690.441,706.083,49.678,0.358,2.073,2.183,2.012,1.436,1.070,1.180,1.073,0.486,0.959,0.397,1.343,0.785,0.983,0.724,0.884,0.919,0.367,0.683,0.814,0.887,0.601,0.795,0.828,0.731,0.643,0.733,0.573,0.520,0.578,0.391,0.780,0.719,0.752,0.692,0.847,1.538,3.015,3.874,2.952,1.601,0.922,1.670,5.805,15.592,23.855,21.295,11.339,2.962,0.642,
245,267.183,158.283,1083.878,1951.550,778.879,64.913,3.984,1.305,-0.039,2.102,0.351,0.901,1.157,0.709,-0.097,0.828,0.863,0.812,0.636,0.647,0.869,0.591,0.591,0.829,0.842,0.731,0.783,0.752,0.833,0.684,0.736,0.644,0.737,0.616,0.671,0.534,0.614,0.782,0.594,0.586,0.730,0.706,0.910,2.153,3.928,4.587,3.241,1.339,0.874,2.172,8.891,21.252,30.832,27.293,14.892,
250,555.984,206.708,151.921,1260.719,2182.804,1116.825,60.449,2.661,1.056,1.157,0.400,0.979,0.781,0.774,0.968,1.016,1.183,0.809,0.676,0.696,0.819,0.700,0.613,0.879,0.765,0.803,0.693,0.715,0.633,0.701,0.493,0.674,0.620,0.477,0.687,0.589,0.614,0.650,0.748,0.798,0.617,0.742,0.775,0.750,1.305,3.352,5.535,4.894,2.787,1.217,0.900,2.781,11.563,27.237,41.939,
255,348.503,523.349,188.486,157.506,1344.689,3075.186,1203.735,69.047,2.872,2.219,1.986,1.336,0.586,0.760,0.995,0.571,1.138,0.775,0.768,0.882,0.718,0.764,0.722,0.472,0.795,0.888,0.662,0.907,0.693,0.554,0.473,0.806,0.636,0.646,0.475,0.540,0.725,0.662,0.649,0.825,0.631,0.709,0.695,0.688,0.639,0.844,2.036,4.530,6.289,5.649,2.841,1.098,1.082,3.075,14.388,
260,58.495,443.654,534.768,137.225,171.056,1869.158,3478.287,1280.645,71.775,2.667,2.105,1.326,0.879,0.994,1.460,0.736,0.867,0.840,0.839,1.152,1.176,0.704,0.587,0.860,0.625,0.788,0.866,0.981,0.660,0.560,0.758,0.759,0.439,0.641,0.621,0.635,0.648,0.675,0.769,0.794,0.600,0.730,0.721,0.605,0.689,0.732,0.736,1.070,3.100,7.358,9.193,5.874,2.146,0.824,1.132,
265,7.986,93.042,488.442,504.323,115.525,200.417,2179.718,3696.163,1447.396,62.691,1.906,1.905,1.376,1.921,1.178,0.912,1.211,1.164,0.941,0.806,1.095,0.906,0.621,0.512,0.957,0.863,0.754,0.639,0.848,0.666,0.551,0.574,0.457,0.754,0.500,0.588,0.617,0.601,0.624,0.787,0.853,0.602,0.597,0.679,0.680,0.587,0.642,0.647,0.676,1.817,5.507,9.745,9.756,5.192,1.862,
270,10.014,9.907,128.701,581.529,468.376,103.451,252.848,2194.320,3897.193,1311.097,76.252,2.518,2.404,1.125,1.451,0.785,1.209,1.006,0.978,0.534,0.694,0.928,0.562,0.691,1.006,0.652,0.672,0.611,0.695,0.710,0.619,0.761,0.656,0.598,0.585,0.564,0.622,0.601,0.482,0.733,0.691,0.817,0.743,0.751,0.687,0.548,0.649,0.666,0.677,0.578,0.955,3.053,8.043,12.101,10.336,
275,20.043,10.514,11.289,199.966,658.942,511.911,74.550,244.380,2313.708,3809.677,1452.875,69.671,2.333,1.541,1.416,1.183,1.043,1.419,1.135,0.647,0.554,1.015,0.339,0.819,0.744,0.728,0.775,0.789,0.691,0.687,0.557,0.627,0.663,0.715,0.660,0.719,0.656,0.628,0.636,0.776,0.827,0.598,0.695,0.751,0.664,0.761,0.731,0.713,0.650,0.656,0.630,0.805,1.390,5.079,12.209,
280,15.138,6.390,4.269,18.469,283.187,873.914,404.537,58.612,238.501,2335.174,3973.425,1484.546,68.966,2.262,1.887,1.490,1.635,1.028,0.781,0.871,0.778,0.888,0.570,0.844,0.736,0.971,0.716,0.897,0.705,0.712,0.812,0.824,0.773,0.717,0.672,0.574,0.531,0.698,0.681,0.677,0.759,0.737,0.708,0.725,0.789,0.866,0.777,0.766,0.626,0.626,0.657,0.552,0.660,0.954,2.655,
285,27.647,21.016,7.013,6.797,35.062,467.927,890.447,302.172,50.045,273.240,2299.174,4103.112,1439.322,85.086,1.778,1.408,1.336,1.179,1.610,0.977,1.055,0.731,0.537,0.839,0.785,0.699,0.850,0.776,0.685,0.740,0.821,0.937,0.816,0.774,0.944,0.728,0.644,0.789,0.760,0.944,0.798,0.860,0.842,0.849,0.796,0.907,0.898,0.886,0.761,0.680,0.732,0.635,0.760,0.638,0.779,
290,38.253,15.873,12.534,6.530,9.669,72.608,638.193,816.639,231.633,45.464,232.869,2329.516,4261.755,1750.180,69.267,2.074,1.458,1.554,1.060,1.178,0.810,0.920,0.756,0.687,0.825,1.038,0.665,0.973,0.798,0.783,0.867,0.731,0.976,0.928,0.832,0.940,0.671,0.723,0.777,0.898,0.969,0.894,0.896,0.985,0.917,0.889,1.028,0.984,0.707,0.737,0.726,0.705,0.662,0.672,0.762,
295,35.589,23.000,16.983,14.853,12.185,16.234,148.823,711.263,728.593,145.922,49.185,238.628,2483.569,4394.373,1442.231,66.310,2.048,1.572,1.430,1.161,0.996,0.841,0.861,0.645,0.780,1.009,0.686,1.029,0.628,0.813,0.763,0.602,0.913,1.107,0.821,0.731,0.818,0.913,0.785,0.691,0.913,1.063,0.841,0.961,0.987,0.974,1.111,0.961,0.829,0.718,0.804,0.768,0.722,0.691,0.761,
