"Summary"
"[Software Information]"
"Software Name:","LabSolutions RF"
"Version:","1.12"
"[Data Information]"
"Data is:","Original"
"Sample Name"
"Sample ID"
"Option"
"Analyst"
"Date/Time:","07/24/2020 03:04:07 PM"
"Comments"
"[Instrument Information]"
"Instrument Name:","RF-6000"
"Instrument Type:","RF-6000 Series"
"Model (S/N):","RF-6000 (A40245500756SA)"

"Parameter"
"[Measurement]"
"Spectrum Type:","3D"
"EX Wavelength Start:","230.0 nm"
"EX Wavelength End:","500.0 nm"
"Data Interval:","5.0 nm"
"EM Wavelength Start:","230.0 nm"
"EM Wavelength End:","700.0 nm"
"Data Interval:","5.0 nm"
"Scan Speed:","600 nm/min"
"[Instrument]"
"EX Bandwidth:","5.0 nm"
"EM Bandwidth:","5.0 nm"
"Sensitivity:","Low"
"[Attachment]"
"Attachment:","None"
"[Auto Print]"
"Auto Print:","No"
"Report File:",""

"K6_1 - RawData"
"EM Wavelength/EX Wavelength",230,235,240,245,250,255,260,265,270,275,280,285,290,295,300,305,310,315,320,325,330,335,340,345,350,355,360,365,370,375,380,385,390,395,400,405,410,415,420,425,430,435,440,445,450,455,460,465,470,475,480,485,490,495,500,
230,1530.447,542.809,42.102,3.616,2.595,1.918,2.018,0.401,1.769,1.846,1.586,0.123,1.319,1.651,1.213,1.426,1.587,1.130,1.146,0.929,1.139,1.134,0.987,1.166,1.296,0.859,1.209,1.167,1.110,0.972,0.983,0.838,1.037,0.820,0.675,0.712,0.748,1.118,1.574,2.433,2.630,1.773,1.097,1.514,4.351,10.015,14.080,12.024,6.151,2.166,0.708,0.558,0.674,0.542,0.653,
235,1256.718,1722.311,676.198,43.269,3.167,1.656,3.600,3.032,1.176,2.701,1.117,1.476,1.034,1.843,2.000,1.241,1.856,1.030,0.836,1.240,1.326,1.148,1.207,0.645,0.944,0.903,1.058,1.020,0.971,0.795,0.678,0.854,1.016,0.694,0.613,0.902,0.692,0.836,0.876,1.333,2.295,3.077,2.842,1.718,0.891,2.001,6.370,12.889,17.083,17.814,9.709,2.485,0.630,0.558,0.637,
240,180.968,1228.558,2115.452,847.937,59.737,3.648,2.790,0.368,1.969,1.905,2.401,2.015,1.636,2.030,1.230,1.857,1.648,1.425,1.315,1.456,1.278,1.121,1.087,0.906,1.023,0.683,0.966,0.967,0.953,0.847,1.121,0.689,0.756,0.708,0.742,0.752,0.735,0.892,0.707,0.853,0.858,1.548,2.926,4.029,2.997,1.741,1.006,1.908,6.869,18.643,28.822,25.935,13.577,3.486,0.686,
245,250.460,200.534,1518.466,2387.207,967.935,82.245,4.149,2.548,1.200,1.195,1.168,0.953,1.081,1.795,1.438,2.052,1.157,1.307,1.278,1.264,1.046,1.174,1.139,0.854,1.084,0.873,1.017,1.098,0.975,0.981,0.895,0.884,0.884,0.722,0.719,0.737,0.698,0.779,0.762,1.006,0.817,0.791,1.192,2.314,4.005,4.784,3.207,1.426,0.988,2.765,10.692,25.185,37.396,32.344,17.096,
250,536.160,208.468,208.022,1580.105,2684.015,1437.546,74.884,3.078,2.305,2.515,1.445,1.304,0.732,1.358,1.649,1.184,1.729,1.649,1.087,1.510,1.427,0.876,0.978,0.774,1.223,0.874,0.959,0.877,0.982,1.004,1.035,0.966,0.888,0.841,0.552,0.694,0.788,0.624,0.799,0.809,0.731,0.677,0.743,0.951,1.432,3.210,5.597,4.824,2.635,1.280,1.095,3.208,13.761,32.510,49.695,
255,351.980,523.192,185.565,192.314,1672.450,3957.020,1533.258,90.075,3.150,2.166,2.169,1.356,0.965,1.534,1.536,1.464,1.715,1.560,1.461,1.256,1.446,0.989,0.988,1.037,1.032,1.000,1.250,0.984,0.925,0.955,1.120,0.871,0.933,0.961,0.652,0.684,0.712,0.804,0.805,0.905,0.954,0.759,0.787,0.790,0.765,0.836,2.232,4.503,6.084,5.579,2.756,1.271,1.105,3.403,16.995,
260,61.844,419.209,516.018,130.001,221.029,2384.952,4397.878,1662.943,95.324,2.726,1.689,2.051,2.279,1.424,2.050,1.628,1.762,1.257,1.595,1.197,1.140,0.957,1.302,0.841,0.911,0.933,1.016,1.087,0.872,0.839,0.878,0.915,0.913,0.705,0.737,0.814,0.739,0.860,0.750,0.799,0.972,0.697,0.889,0.792,0.679,0.756,0.800,1.188,3.017,6.989,8.483,5.498,2.268,1.040,1.153,
265,13.131,89.531,466.904,482.051,107.369,257.177,2714.625,4825.128,1872.937,84.880,3.701,1.757,1.935,2.153,1.559,1.761,2.013,1.785,1.291,1.367,1.336,1.108,0.977,0.705,0.997,0.871,1.119,0.842,0.964,1.068,1.029,0.908,1.030,0.733,0.653,0.708,0.797,0.791,0.909,0.840,0.872,0.714,0.745,0.788,0.741,0.701,0.705,0.759,0.851,1.833,5.416,9.464,9.390,4.833,1.811,
270,15.614,8.646,116.466,549.743,444.388,103.649,304.102,2905.060,5126.033,1811.843,101.646,3.389,2.487,3.113,1.720,1.859,1.716,1.751,1.173,1.558,1.174,1.259,0.846,0.864,1.016,1.227,0.929,1.008,0.811,0.959,0.977,1.111,0.857,0.978,0.815,0.846,0.855,0.636,0.931,0.826,0.987,0.753,0.766,0.859,0.798,0.726,0.761,0.812,0.622,0.738,1.041,3.026,8.050,11.180,10.018,
275,13.139,9.668,12.181,191.165,613.972,477.082,75.039,303.871,3019.060,5391.696,1966.904,96.138,3.033,2.686,2.659,2.139,2.064,1.498,1.350,1.585,1.141,1.564,1.124,1.057,0.828,0.975,1.161,1.087,0.949,0.997,0.931,1.005,1.031,1.007,0.796,1.015,0.971,0.924,0.876,1.013,1.108,0.935,0.943,0.897,0.874,0.895,0.743,0.693,0.678,0.834,0.765,0.728,1.526,4.960,11.574,
