"Summary"
"[Software Information]"
"Software Name:","LabSolutions RF"
"Version:","1.12"
"[Data Information]"
"Data is:","Original"
"Sample Name"
"Sample ID"
"Option"
"Analyst"
"Date/Time:","07/24/2020 07:18:47 PM"
"Comments"
"[Instrument Information]"
"Instrument Name:","RF-6000"
"Instrument Type:","RF-6000 Series"
"Model (S/N):","RF-6000 (A40245500756SA)"

"Parameter"
"[Measurement]"
"Spectrum Type:","3D"
"EX Wavelength Start:","230.0 nm"
"EX Wavelength End:","500.0 nm"
"Data Interval:","5.0 nm"
"EM Wavelength Start:","230.0 nm"
"EM Wavelength End:","700.0 nm"
"Data Interval:","5.0 nm"
"Scan Speed:","600 nm/min"
"[Instrument]"
"EX Bandwidth:","5.0 nm"
"EM Bandwidth:","5.0 nm"
"Sensitivity:","Low"
"[Attachment]"
"Attachment:","None"
"[Auto Print]"
"Auto Print:","No"
"Report File:",""

"K6_6 - RawData"
"EM Wavelength/EX Wavelength",230,235,240,245,250,255,260,265,270,275,280,285,290,295,300,305,310,315,320,325,330,335,340,345,350,355,360,365,370,375,380,385,390,395,400,405,410,415,420,425,430,435,440,445,450,455,460,465,470,475,480,485,490,495,500,
230,13059.566,5002.551,391.319,9.089,5.747,5.060,4.509,3.449,2.299,3.430,2.117,2.447,2.361,3.239,2.529,2.507,2.488,1.940,2.400,2.553,2.279,2.108,2.208,2.485,2.484,2.931,3.848,4.159,3.376,2.657,2.174,2.006,1.792,1.555,1.436,1.012,1.240,1.602,2.152,3.272,3.317,2.289,1.668,4.978,19.742,46.721,70.307,54.987,26.794,7.940,1.145,0.811,0.681,0.847,0.695,
235,10475.717,16489.131,6541.844,368.818,10.297,7.404,6.699,4.767,2.649,3.350,2.332,3.159,1.840,3.256,2.842,3.131,2.176,1.853,2.150,1.968,2.202,2.184,2.238,2.389,2.385,3.174,3.812,4.129,3.327,2.677,2.273,1.898,1.846,1.449,1.186,1.240,1.042,1.085,1.197,1.828,2.926,3.974,3.756,2.342,1.547,7.617,32.289,62.387,84.286,85.848,44.286,9.016,1.290,0.752,0.818,
240,1354.551,12215.707,20863.617,8849.120,578.622,14.065,10.212,8.384,6.815,3.747,2.612,2.786,3.125,3.145,2.999,2.884,2.369,2.335,2.454,1.815,1.893,2.283,2.179,2.428,2.506,3.126,3.806,4.478,3.278,2.791,2.010,1.744,1.526,1.456,1.238,1.130,0.967,1.087,1.113,1.041,1.487,2.083,3.789,5.014,3.975,2.014,1.460,7.356,35.286,100.402,147.818,125.613,69.627,15.131,1.603,
245,336.268,1468.081,13838.399,25092.428,9646.699,735.369,18.041,11.245,7.929,5.963,3.279,3.010,3.325,2.851,3.126,2.772,2.872,2.429,1.984,1.896,1.962,1.999,2.265,2.468,2.661,3.207,3.846,4.235,3.318,2.581,1.951,1.798,1.515,1.635,1.281,1.105,1.159,1.115,1.103,1.142,1.071,1.064,1.565,2.857,5.172,5.685,4.004,1.753,1.461,12.244,58.128,137.264,214.445,179.750,96.383,
250,681.297,271.369,1643.498,16126.623,27265.688,13813.678,689.524,17.656,11.054,8.407,6.234,3.978,3.454,4.119,2.851,3.097,2.446,2.366,2.204,2.014,1.988,1.981,1.976,2.409,2.836,3.009,3.921,3.969,3.302,2.164,1.988,1.762,1.815,1.496,1.340,1.189,1.166,0.971,1.383,1.210,1.301,0.999,1.096,1.033,1.753,4.379,6.868,6.118,3.253,1.700,1.593,14.794,81.681,199.778,299.290,
255,438.285,653.612,242.357,1855.819,16953.785,40593.293,16087.463,851.184,16.398,11.723,9.465,6.715,4.284,4.448,2.998,2.812,2.614,2.162,2.101,2.114,2.130,2.008,2.610,2.743,2.629,3.259,3.941,4.375,3.183,2.179,1.782,1.696,1.638,1.544,1.260,1.014,1.183,1.113,0.949,1.206,1.129,1.042,1.047,1.020,1.053,1.144,2.829,5.569,7.483,6.864,3.288,1.330,1.810,17.817,103.699,
260,79.907,520.050,637.191,195.922,1930.142,24121.217,48641.645,17767.738,927.062,16.620,12.470,10.122,6.691,5.409,3.608,3.583,2.648,2.478,2.286,2.365,2.148,2.221,2.291,2.554,2.660,3.221,4.243,4.419,2.768,2.100,1.748,1.771,1.755,1.616,1.387,1.257,1.156,0.969,1.148,1.104,1.072,0.957,0.920,0.834,1.038,0.880,1.036,1.426,3.674,8.478,10.506,6.720,2.696,1.438,1.983,
265,15.607,121.016,581.926,601.601,160.886,2246.810,28691.623,51882.375,20345.486,829.803,19.736,14.146,10.912,8.419,4.991,4.069,3.532,2.562,2.564,2.872,2.574,2.318,2.618,2.511,2.870,3.292,4.049,4.326,2.748,2.067,1.646,1.957,1.622,1.447,1.305,1.097,1.075,1.176,1.103,0.963,1.093,0.981,1.087,0.797,1.004,0.887,1.019,0.876,0.978,2.099,6.355,11.320,11.294,5.887,2.108,
270,37.451,28.090,157.887,665.529,549.800,154.185,2699.279,28095.797,55282.625,18584.211,957.725,23.148,16.749,12.894,8.273,5.758,3.706,3.423,2.553,3.074,2.560,2.255,2.583,2.499,2.873,3.776,4.715,4.351,2.669,2.305,1.739,1.928,1.679,1.719,1.464,1.335,1.161,1.171,1.197,1.140,0.954,1.180,1.223,1.160,1.065,1.166,0.988,0.956,0.897,0.918,1.235,3.399,9.571,13.734,11.815,
275,80.952,37.060,28.400,246.431,746.199,596.297,124.594,2605.045,30432.244,52340.047,20415.043,1024.526,23.713,16.851,12.615,8.256,5.061,3.526,3.224,3.281,2.387,2.873,2.679,3.119,2.729,3.686,6.023,5.226,2.599,2.095,1.904,2.156,2.008,2.062,1.864,1.401,1.303,1.388,1.301,1.383,1.445,1.507,1.598,1.525,1.411,1.526,1.513,1.257,1.115,0.941,0.816,0.973,1.765,5.751,13.663,
280,144.539,53.767,25.342,40.890,328.723,981.104,477.092,112.610,2639.229,30282.234,58918.121,23614.381,949.448,26.150,17.838,12.819,8.077,5.154,3.696,3.229,2.683,2.781,2.998,3.002,3.027,4.241,6.333,6.188,2.892,2.120,1.903,2.355,2.677,2.591,2.304,2.054,1.717,1.552,1.541,1.580,1.797,1.800,1.955,2.098,2.191,2.099,1.923,1.554,1.281,1.201,0.894,0.830,0.809,0.958,3.123,
285,187.813,80.553,32.092,23.704,58.176,554.206,1006.405,373.851,108.939,2906.545,34898.621,67682.898,23186.639,1357.659,25.131,16.832,11.362,7.562,5.072,4.126,3.079,3.034,2.845,2.759,3.039,4.053,6.241,6.096,3.091,2.065,1.889,2.362,2.955,3.093,2.792,2.209,1.742,1.613,1.663,1.809,2.104,2.161,2.373,2.501,2.548,2.532,2.505,1.814,1.442,1.151,0.989,0.848,0.921,0.886,1.097,
290,225.013,92.898,35.099,26.322,28.497,111.541,734.840,933.626,307.697,105.806,2977.056,38988.520,74703.836,30832.342,1366.102,24.790,15.156,10.357,7.423,5.245,3.777,3.408,3.047,3.555,3.328,4.686,6.646,5.935,2.889,2.194,1.947,2.548,3.101,3.288,2.971,2.515,2.000,1.788,1.884,1.968,2.181,2.476,2.787,2.627,3.015,2.919,2.642,2.274,1.516,1.270,0.957,0.871,1.010,0.839,0.968,
295,226.188,90.820,40.351,30.995,31.112,48.943,198.089,812.201,823.268,202.789,102.415,3482.141,46228.824,77709.094,27714.551,1163.976,23.028,13.656,9.561,7.936,5.392,3.603,3.224,3.481,3.937,5.082,6.624,5.950,2.935,2.234,2.337,2.740,3.158,3.319,2.998,2.643,2.161,1.973,1.977,2.030,2.279,2.314,2.662,2.887,2.794,3.045,2.726,2.353,1.618,1.395,1.109,1.059,0.970,1.067,1.090,
300,218.843,96.044,45.990,30.865,30.380,45.775,68.036,258.495,879.304,631.809,161.945,90.942,3869.121,40044.105,76142.383,26275.436,1229.780,20.054,13.647,10.176,7.122,5.007,3.937,3.737,3.979,5.475,6.753,5.991,2.891,2.071,2.420,2.442,2.909,3.483,2.952,2.662,2.076,2.017,1.985,1.980,2.272,2.181,2.449,2.698,2.732,2.841,2.610,2.093,1.597,1.397,0.983,1.036,1.058,1.049,1.260,
305,210.036,87.610,45.299,36.247,35.915,48.749,61.906,77.994,321.490,861.852,541.155,124.364,80.270,2693.634,41854.477,75098.375,27799.580,1115.170,19.218,14.000,9.775,7.629,4.800,4.545,4.366,5.841,7.059,5.836,2.816,2.217,2.073,2.585,2.922,3.177,3.035,2.154,2.143,1.947,1.850,1.931,2.085,2.252,2.416,2.593,2.464,2.558,2.468,1.955,1.485,1.379,1.095,1.189,1.102,0.985,1.239,
