"Summary"
"[Software Information]"
"Software Name:","LabSolutions RF"
"Version:","1.12"
"[Data Information]"
"Data is:","Original"
"Sample Name"
"Sample ID"
"Option"
"Analyst"
"Date/Time:","07/26/2020 05:55:23 PM"
"Comments"
"[Instrument Information]"
"Instrument Name:","RF-6000"
"Instrument Type:","RF-6000 Series"
"Model (S/N):","RF-6000 (A40245500756SA)"

"Parameter"
"[Measurement]"
"Spectrum Type:","3D"
"EX Wavelength Start:","230.0 nm"
"EX Wavelength End:","500.0 nm"
"Data Interval:","5.0 nm"
"EM Wavelength Start:","230.0 nm"
"EM Wavelength End:","700.0 nm"
"Data Interval:","5.0 nm"
"Scan Speed:","600 nm/min"
"[Instrument]"
"EX Bandwidth:","5.0 nm"
"EM Bandwidth:","5.0 nm"
"Sensitivity:","Low"
"[Attachment]"
"Attachment:","None"
"[Auto Print]"
"Auto Print:","No"
"Report File:",""

"K3_13E - RawData"
"EM Wavelength/EX Wavelength",230,235,240,245,250,255,260,265,270,275,280,285,290,295,300,305,310,315,320,325,330,335,340,345,350,355,360,365,370,375,380,385,390,395,400,405,410,415,420,425,430,435,440,445,450,455,460,465,470,475,480,485,490,495,500,
230,1191.241,478.393,35.378,-2.368,-0.951,-2.582,0.650,-0.053,-1.843,-0.494,-0.962,-0.720,0.783,0.208,-0.508,-0.285,0.445,0.402,0.486,0.286,0.370,0.462,0.341,0.549,0.382,0.552,0.718,0.814,0.733,0.411,0.604,0.510,0.658,0.528,0.511,0.353,0.563,0.555,0.819,1.149,1.250,1.192,0.925,1.038,2.822,7.114,11.205,10.022,5.592,1.912,0.528,0.523,0.392,0.552,0.490,
235,975.040,1555.773,610.112,36.776,0.516,-0.817,-0.219,0.194,-0.790,-0.888,-0.411,0.062,1.049,-0.060,-0.039,0.305,0.585,0.388,0.041,0.449,0.347,0.373,0.651,0.425,0.635,0.420,0.489,0.768,0.710,0.407,0.577,0.483,0.717,0.189,0.467,0.488,0.628,0.504,0.520,0.755,1.454,2.052,2.012,1.381,0.842,1.633,5.317,11.361,15.590,16.000,8.805,2.296,0.524,0.465,0.376,
240,166.292,1143.230,1916.410,777.078,51.022,-0.393,0.489,-1.224,0.101,-0.678,-0.587,0.151,0.399,0.214,0.166,0.480,1.018,0.557,-0.162,0.342,0.315,0.393,0.687,0.319,0.556,0.579,0.374,0.832,0.763,0.502,0.696,0.582,0.609,0.321,0.401,0.499,0.504,0.579,0.482,0.552,0.593,1.064,2.219,3.144,2.874,1.595,0.895,1.835,6.516,17.464,27.144,24.027,12.497,3.112,0.552,
245,258.628,185.468,1258.235,2190.285,889.489,74.341,1.529,0.154,0.615,-0.511,0.268,0.217,0.392,0.397,0.160,-0.354,0.339,0.631,0.180,0.203,0.189,0.689,0.496,0.625,0.543,0.559,0.615,0.573,0.714,0.578,0.662,0.431,0.609,0.401,0.420,0.430,0.432,0.480,0.440,0.584,0.630,0.621,0.768,1.858,3.547,4.488,3.210,1.375,0.790,2.502,10.237,24.562,35.843,30.900,16.076,
250,576.536,224.482,168.881,1441.939,2474.125,1262.137,64.500,0.221,-0.370,-0.198,0.327,-0.303,-0.096,0.520,0.321,0.070,1.014,0.539,0.306,0.252,0.333,0.396,0.562,0.604,0.641,0.566,0.630,0.569,0.609,0.569,0.612,0.310,0.607,0.522,0.613,0.518,0.473,0.480,0.438,0.644,0.560,0.752,0.687,0.607,1.184,3.400,5.648,5.486,2.753,1.281,0.984,3.044,13.324,31.007,46.901,
255,375.337,607.478,215.046,179.718,1523.025,3438.607,1339.413,75.530,1.926,0.456,-0.316,-0.631,0.561,-0.177,-0.096,-0.072,0.627,0.230,0.466,0.239,0.287,0.661,0.228,0.325,0.745,0.592,0.702,0.726,0.669,0.529,0.690,0.347,0.704,0.538,0.399,0.455,0.593,0.588,0.687,0.625,0.590,0.606,0.531,0.584,0.621,0.772,2.069,4.921,7.003,6.458,3.000,1.063,0.961,3.375,16.228,
260,60.929,495.996,607.494,150.809,187.070,2133.405,3864.127,1422.852,77.960,0.687,0.295,0.294,0.155,0.543,-0.011,0.134,0.204,0.373,0.279,0.225,0.444,0.717,0.863,0.257,0.675,0.519,0.635,0.611,0.669,0.513,0.651,0.380,0.687,0.429,0.497,0.373,0.660,0.591,0.419,0.688,0.542,0.572,0.713,0.624,0.595,0.468,0.616,1.082,3.286,8.004,10.019,6.165,2.122,0.917,1.138,
265,0.823,103.012,553.728,567.901,120.775,238.762,2425.724,4052.450,1556.697,66.343,0.978,0.907,0.864,0.634,-0.070,0.027,0.834,0.694,0.559,0.197,0.551,0.789,0.551,0.430,0.719,0.567,0.609,0.698,0.654,0.448,0.501,0.394,0.755,0.383,0.607,0.431,0.629,0.575,0.601,0.653,0.489,0.586,0.499,0.624,0.649,0.573,0.580,0.670,0.658,1.761,6.099,10.722,10.987,5.604,1.667,
270,3.090,4.740,139.516,648.518,523.950,115.119,281.407,2425.335,4208.177,1412.460,77.215,1.685,1.234,0.759,0.621,0.407,0.470,0.281,0.415,-0.308,0.495,0.344,0.749,0.531,0.698,0.606,0.612,0.723,0.598,0.578,0.469,0.573,0.645,0.428,0.575,0.439,0.624,0.493,0.608,0.603,0.704,0.552,0.716,0.552,0.585,0.552,0.565,0.608,0.453,0.489,0.878,3.235,9.212,13.043,11.019,
