"Summary"
"[Software Information]"
"Software Name:","LabSolutions RF"
"Version:","1.12"
"[Data Information]"
"Data is:","Original"
"Sample Name"
"Sample ID"
"Option"
"Analyst"
"Date/Time:","07/26/2020 09:12:43 PM"
"Comments"
"[Instrument Information]"
"Instrument Name:","RF-6000"
"Instrument Type:","RF-6000 Series"
"Model (S/N):","RF-6000 (A40245500756SA)"

"Parameter"
"[Measurement]"
"Spectrum Type:","3D"
"EX Wavelength Start:","230.0 nm"
"EX Wavelength End:","500.0 nm"
"Data Interval:","5.0 nm"
"EM Wavelength Start:","230.0 nm"
"EM Wavelength End:","700.0 nm"
"Data Interval:","5.0 nm"
"Scan Speed:","600 nm/min"
"[Instrument]"
"EX Bandwidth:","5.0 nm"
"EM Bandwidth:","5.0 nm"
"Sensitivity:","Low"
"[Attachment]"
"Attachment:","None"
"[Auto Print]"
"Auto Print:","No"
"Report File:",""

"K3_17E - RawData"
"EM Wavelength/EX Wavelength",230,235,240,245,250,255,260,265,270,275,280,285,290,295,300,305,310,315,320,325,330,335,340,345,350,355,360,365,370,375,380,385,390,395,400,405,410,415,420,425,430,435,440,445,450,455,460,465,470,475,480,485,490,495,500,
230,1330.660,515.245,45.890,5.938,5.864,8.909,5.751,3.603,3.136,2.201,2.095,2.521,1.927,2.357,1.811,2.171,1.655,2.005,1.232,1.657,1.252,1.342,1.432,1.009,1.145,1.340,1.249,1.275,1.104,1.080,0.990,1.247,0.871,1.066,0.990,0.884,0.952,1.155,1.247,1.807,2.049,1.634,1.149,1.415,3.591,8.339,12.342,10.659,5.912,2.260,0.896,0.787,0.842,0.798,0.718,
235,1071.666,1600.682,644.166,45.151,6.655,5.174,6.455,3.279,3.756,2.210,1.344,2.066,3.024,2.048,2.084,1.924,1.729,1.414,1.295,1.520,1.170,1.062,1.562,1.306,1.284,1.158,1.105,1.274,1.196,1.009,0.859,0.865,1.028,1.011,0.961,0.885,1.069,1.057,1.012,1.145,1.779,2.655,2.428,1.701,1.259,2.167,5.825,11.904,16.354,16.908,9.590,2.426,0.910,0.796,0.896,
240,197.485,1203.740,2008.760,820.787,62.165,4.051,6.788,3.326,2.806,3.239,1.901,2.563,2.499,2.243,1.628,2.083,1.773,1.758,1.460,1.311,1.308,1.139,1.401,1.258,1.315,1.160,1.278,1.078,1.171,1.203,0.999,1.252,1.173,0.818,0.882,0.868,0.950,0.803,1.044,0.908,0.991,1.566,2.640,3.730,3.129,1.715,1.174,1.974,6.752,17.933,28.652,25.247,13.329,3.579,0.918,
245,276.891,205.544,1414.596,2298.132,936.589,77.337,7.916,4.162,2.951,2.597,2.675,2.264,2.531,2.097,1.928,1.520,2.008,1.380,1.273,1.371,1.062,1.278,1.417,1.300,1.414,1.130,1.211,1.071,1.205,1.187,1.066,1.090,1.087,0.831,0.833,0.949,0.849,0.901,0.979,0.948,0.996,0.810,1.319,2.277,4.030,5.220,3.427,1.500,1.093,2.850,10.757,25.526,37.274,31.573,16.546,
250,598.578,231.327,217.943,1543.785,2536.773,1290.181,73.280,4.951,3.738,3.448,3.327,2.705,2.824,2.505,1.986,2.335,1.964,1.639,1.351,1.411,1.161,1.325,1.465,1.017,1.206,1.286,1.157,1.347,1.385,1.184,1.025,1.033,1.023,0.892,0.932,0.946,0.905,0.973,0.991,0.973,0.878,0.825,0.845,1.035,1.515,3.750,5.912,5.427,3.084,1.456,1.075,3.291,13.789,32.334,48.913,
255,384.965,579.714,210.291,194.067,1548.040,3512.462,1372.850,83.204,3.632,3.151,2.799,2.337,2.653,2.868,1.966,1.678,2.198,1.460,1.124,1.282,1.031,1.268,1.380,1.292,1.225,1.278,1.230,1.023,1.240,1.195,1.047,1.001,1.054,0.969,1.111,1.034,0.907,0.928,1.063,1.111,0.934,0.995,0.889,0.939,0.946,1.108,2.266,5.017,6.995,6.421,3.162,1.356,1.264,3.492,16.594,
260,71.882,488.268,589.632,154.960,196.900,2151.482,3963.632,1456.806,81.082,4.351,2.856,3.078,2.325,2.535,2.155,2.064,2.157,1.625,1.486,1.120,1.462,1.099,1.570,1.080,1.161,1.211,1.202,1.238,0.945,1.135,1.022,1.043,1.060,0.942,0.755,0.978,1.034,1.070,1.024,1.046,0.913,0.893,0.894,0.861,0.833,0.894,0.900,1.289,3.440,7.782,9.612,6.306,2.508,1.265,1.394,
265,26.465,102.786,531.835,555.217,126.883,251.366,2501.000,4130.620,1621.034,73.192,3.495,3.247,2.584,2.805,1.974,2.164,1.754,1.747,1.433,1.389,1.495,1.325,1.337,1.253,1.267,1.090,1.272,1.136,0.933,1.093,1.010,1.014,0.980,1.056,0.993,0.903,0.933,0.944,0.951,0.956,0.821,0.810,0.823,0.796,0.827,0.869,0.800,0.854,0.987,2.045,5.974,10.553,10.580,5.651,2.103,
270,23.791,18.000,145.319,626.408,498.867,112.539,290.823,2465.880,4347.811,1495.574,86.223,3.779,3.356,3.030,2.518,1.836,1.702,1.840,1.586,1.533,1.399,1.406,1.403,0.865,1.180,1.191,1.033,1.121,1.303,1.065,1.135,1.028,1.045,0.885,0.974,0.914,0.860,1.068,1.027,0.987,0.896,0.787,0.988,0.828,0.777,0.798,0.915,0.808,0.825,0.857,1.097,3.445,9.183,12.911,10.889,
275,22.911,17.538,21.549,226.157,683.867,531.900,77.504,270.796,2540.293,4245.654,1575.924,80.066,3.864,3.326,2.713,2.449,1.669,1.495,1.325,1.320,1.568,1.292,1.199,1.310,1.311,1.218,1.299,1.108,1.089,1.150,0.982,1.268,0.757,1.000,0.939,0.953,0.946,0.915,0.997,0.954,0.856,0.869,0.957,0.822,0.919,0.932,0.851,0.916,0.873,0.733,0.841,0.792,1.974,5.571,12.971,
280,22.963,14.425,13.969,26.137,295.603,913.831,414.721,58.437,258.229,2615.137,4446.662,1673.357,74.839,4.164,2.745,2.339,2.102,1.743,1.413,1.531,1.585,1.566,1.340,1.366,1.218,1.419,1.270,1.257,1.253,1.149,1.100,1.080,1.105,1.051,1.003,0.885,1.047,0.917,1.088,0.923,0.904,0.892,0.873,0.979,0.957,0.951,0.895,0.847,0.770,0.801,0.888,0.698,0.877,1.064,2.849,
