"Summary"
"[Software Information]"
"Software Name:","LabSolutions RF"
"Version:","1.12"
"[Data Information]"
"Data is:","Original"
"Sample Name"
"Sample ID"
"Option"
"Analyst"
"Date/Time:","07/25/2020 00:57:58 AM"
"Comments"
"[Instrument Information]"
"Instrument Name:","RF-6000"
"Instrument Type:","RF-6000 Series"
"Model (S/N):","RF-6000 (A40245500756SA)"

"Parameter"
"[Measurement]"
"Spectrum Type:","3D"
"EX Wavelength Start:","230.0 nm"
"EX Wavelength End:","500.0 nm"
"Data Interval:","5.0 nm"
"EM Wavelength Start:","230.0 nm"
"EM Wavelength End:","700.0 nm"
"Data Interval:","5.0 nm"
"Scan Speed:","600 nm/min"
"[Instrument]"
"EX Bandwidth:","5.0 nm"
"EM Bandwidth:","5.0 nm"
"Sensitivity:","Low"
"[Attachment]"
"Attachment:","None"
"[Auto Print]"
"Auto Print:","No"
"Report File:",""

"K6_18 - RawData"
"EM Wavelength/EX Wavelength",230,235,240,245,250,255,260,265,270,275,280,285,290,295,300,305,310,315,320,325,330,335,340,345,350,355,360,365,370,375,380,385,390,395,400,405,410,415,420,425,430,435,440,445,450,455,460,465,470,475,480,485,490,495,500,
230,1456.519,543.494,39.277,2.099,0.603,0.041,-0.484,0.106,0.532,0.768,1.103,0.728,0.939,1.735,1.251,1.316,1.474,1.137,0.884,1.152,1.017,0.806,0.965,0.994,1.124,1.232,1.083,1.135,1.145,1.038,0.730,0.725,0.637,0.642,0.662,0.785,0.789,0.914,1.584,2.225,2.397,1.622,0.959,1.593,4.377,10.142,13.774,12.098,6.387,2.202,0.663,0.646,0.482,0.602,0.496,
235,1122.239,1743.001,673.052,41.676,-0.082,1.902,-0.025,0.053,0.770,0.049,1.749,0.868,1.409,1.610,1.425,1.679,1.364,1.345,1.126,1.003,0.986,0.802,0.853,1.014,0.905,0.842,0.956,1.081,1.010,0.962,0.784,0.683,0.720,0.792,0.696,0.585,0.638,0.938,0.785,1.195,2.279,2.829,2.603,1.551,1.013,2.050,6.358,13.277,17.344,17.650,9.512,2.509,0.709,0.480,0.646,
240,175.481,1259.827,2138.236,861.754,59.990,2.790,0.969,0.437,0.981,-0.197,0.994,1.045,2.293,1.702,1.433,1.472,1.064,0.861,1.184,0.732,1.060,0.919,0.869,0.801,0.981,0.906,1.232,1.136,1.157,0.800,0.939,0.779,0.852,0.555,0.586,0.719,0.663,0.799,0.673,0.710,0.754,1.434,2.805,3.759,3.054,1.596,0.963,1.999,6.915,19.025,29.252,26.509,14.937,3.483,0.754,
245,249.977,190.261,1399.343,2516.534,1021.899,87.755,2.132,0.642,1.755,1.345,1.814,1.855,1.562,2.157,1.583,1.395,1.251,0.780,1.112,0.872,0.896,1.141,0.917,0.818,0.834,1.114,1.192,1.105,0.877,1.008,0.954,0.464,0.906,0.734,0.731,0.718,0.609,0.792,0.786,0.868,0.718,0.739,1.016,2.313,3.889,4.722,3.172,1.482,0.979,2.640,11.028,27.510,39.512,34.556,18.544,
250,540.809,204.252,181.238,1659.230,2916.536,1491.792,82.570,2.228,0.443,1.711,1.598,1.547,2.053,1.378,0.995,1.328,1.480,1.362,1.491,1.044,1.339,1.075,0.918,1.118,0.791,1.089,1.058,1.247,0.936,0.848,0.709,0.801,0.588,0.698,0.639,0.696,0.609,0.889,0.653,0.757,0.847,0.574,0.669,0.853,1.295,3.265,5.609,4.991,2.473,1.366,0.964,3.172,14.623,34.326,54.844,
255,334.876,535.205,178.116,201.404,1831.625,4257.235,1674.927,99.232,3.014,1.771,1.742,2.259,1.756,1.209,1.347,1.366,1.201,0.822,0.902,0.858,0.847,1.044,1.037,1.187,0.909,1.057,1.086,1.118,0.931,0.926,0.898,0.934,0.834,0.694,0.485,0.542,0.752,0.815,0.704,0.764,0.651,0.718,0.698,0.619,0.735,0.876,2.113,4.601,6.169,5.576,2.838,0.955,0.825,3.689,18.573,
260,56.450,418.767,526.049,137.659,216.646,2596.246,4981.277,1855.002,112.333,2.032,3.038,1.771,1.814,1.237,1.577,1.481,1.070,0.495,0.933,1.203,0.749,0.951,1.015,1.029,0.973,0.892,1.323,1.096,0.924,0.939,0.779,0.624,0.774,0.592,0.635,0.687,0.692,0.810,0.695,0.686,0.572,0.645,0.760,0.742,0.710,0.586,0.664,1.116,3.061,7.024,9.005,5.549,2.175,0.933,1.168,
265,0.577,90.861,472.083,494.925,107.176,259.434,3156.348,5432.980,2225.535,102.406,3.613,1.829,2.006,1.660,1.753,1.218,1.256,0.839,1.186,1.163,0.759,0.884,0.929,1.198,0.998,0.825,1.113,1.253,0.945,0.964,0.806,0.787,0.664,0.834,0.602,0.792,0.750,0.801,0.790,0.578,0.688,0.729,0.738,0.674,0.748,0.754,0.717,0.670,0.687,1.679,5.536,9.491,9.593,4.944,1.836,
270,-0.068,5.555,126.967,563.762,441.664,100.236,347.235,3242.120,5979.400,2145.244,125.432,2.685,2.818,1.756,2.203,1.599,1.334,1.299,1.310,1.417,0.839,0.880,1.180,0.936,1.022,1.012,1.133,1.155,0.914,0.972,0.828,0.838,0.654,0.788,0.742,0.634,0.870,0.800,0.866,0.742,0.749,0.653,0.752,0.707,0.680,0.783,0.605,0.685,0.686,0.682,1.080,2.811,8.161,11.396,9.903,
275,8.803,6.160,14.150,195.417,624.279,494.999,75.087,358.894,3489.362,5960.210,2342.153,114.695,3.898,2.832,2.814,1.848,1.655,0.983,1.234,0.944,0.855,0.818,1.077,0.750,0.853,1.151,1.206,1.154,0.839,0.921,0.953,0.849,0.788,0.967,0.832,0.792,0.850,0.731,0.766,0.794,0.806,0.785,0.838,0.761,0.657,0.873,0.602,0.665,0.619,0.777,0.766,0.725,1.442,5.020,11.800,
