"Summary"
"[Software Information]"
"Software Name:","LabSolutions RF"
"Version:","1.12"
"[Data Information]"
"Data is:","Original"
"Sample Name"
"Sample ID"
"Option"
"Analyst"
"Date/Time:","07/24/2020 05:33:07 PM"
"Comments"
"[Instrument Information]"
"Instrument Name:","RF-6000"
"Instrument Type:","RF-6000 Series"
"Model (S/N):","RF-6000 (A40245500756SA)"

"Parameter"
"[Measurement]"
"Spectrum Type:","3D"
"EX Wavelength Start:","230.0 nm"
"EX Wavelength End:","500.0 nm"
"Data Interval:","5.0 nm"
"EM Wavelength Start:","230.0 nm"
"EM Wavelength End:","700.0 nm"
"Data Interval:","5.0 nm"
"Scan Speed:","600 nm/min"
"[Instrument]"
"EX Bandwidth:","5.0 nm"
"EM Bandwidth:","5.0 nm"
"Sensitivity:","Low"
"[Attachment]"
"Attachment:","None"
"[Auto Print]"
"Auto Print:","No"
"Report File:",""

"K6_4 - RawData"
"EM Wavelength/EX Wavelength",230,235,240,245,250,255,260,265,270,275,280,285,290,295,300,305,310,315,320,325,330,335,340,345,350,355,360,365,370,375,380,385,390,395,400,405,410,415,420,425,430,435,440,445,450,455,460,465,470,475,480,485,490,495,500,
230,5466.314,2103.347,149.579,3.824,2.221,2.454,1.614,3.688,1.910,2.161,1.670,2.296,2.435,2.246,2.442,2.178,1.871,1.959,1.811,1.746,1.839,1.398,1.823,1.664,1.596,1.890,2.490,2.784,2.317,1.764,1.611,1.443,1.208,1.243,1.104,1.137,0.925,1.194,1.768,2.624,2.720,2.005,1.386,3.250,11.420,28.947,42.168,36.512,18.084,5.709,1.068,0.840,0.725,0.751,0.626,
235,4123.790,6963.727,2661.206,143.771,6.292,3.911,3.696,2.484,1.999,1.792,2.643,2.056,2.898,1.912,1.688,2.245,1.999,2.313,1.778,1.705,1.643,1.811,1.712,1.871,1.830,2.044,2.553,2.634,2.303,1.891,1.382,1.441,1.244,1.380,0.998,0.951,0.987,1.078,1.113,1.500,2.480,3.182,2.904,1.974,1.291,4.584,18.634,40.276,56.395,54.820,30.582,7.091,0.931,0.814,0.724,
240,516.447,5323.055,8271.818,3150.064,235.576,8.316,6.790,7.074,2.968,3.332,1.952,3.003,2.578,2.800,2.557,2.943,2.055,2.396,1.840,1.837,1.554,1.974,1.673,1.680,1.882,2.131,2.715,2.443,2.308,1.958,1.321,1.372,1.217,1.179,0.900,1.101,0.942,1.083,0.967,0.910,1.001,1.680,2.963,4.034,3.306,1.844,1.303,4.533,21.333,61.797,99.307,92.437,47.575,11.083,1.274,
245,270.675,749.987,5017.750,8799.545,3770.486,361.958,7.458,6.080,3.323,3.195,3.548,3.312,2.431,3.547,3.132,2.532,2.351,2.724,1.990,2.008,1.636,1.595,1.818,1.824,1.999,1.968,2.885,2.637,2.372,1.629,1.532,1.419,1.325,1.261,1.030,1.019,1.082,1.020,0.925,1.064,0.960,0.925,1.218,2.433,4.083,5.035,3.409,1.561,1.230,7.698,35.922,90.659,137.175,120.148,66.207,
250,555.643,230.589,561.725,5760.648,10729.383,6287.463,331.037,8.552,7.278,4.485,3.448,3.151,3.772,2.994,2.694,2.511,2.661,2.241,2.015,1.589,1.500,1.588,1.879,2.009,1.711,1.927,2.598,2.986,2.145,1.611,1.538,1.402,1.106,1.285,0.879,0.985,0.910,1.089,1.125,1.068,0.882,0.881,1.124,0.970,1.621,3.699,5.729,5.237,2.829,1.505,1.386,9.094,49.210,124.958,194.407,
255,357.301,559.311,202.556,696.826,6486.848,17394.375,6935.317,385.329,8.804,7.769,4.954,4.087,3.910,3.994,2.730,3.045,2.006,2.418,1.854,1.681,1.511,1.572,1.813,1.685,1.786,2.099,2.740,2.594,2.147,1.564,1.457,1.558,1.269,1.113,1.051,0.898,0.892,1.071,1.053,0.982,1.025,0.997,1.054,0.820,0.941,0.900,2.292,4.673,6.447,6.079,3.087,1.258,1.420,12.001,64.891,
260,68.931,453.413,556.972,151.679,684.090,10284.945,19405.379,7569.049,453.995,9.982,7.394,5.951,5.444,4.626,3.146,2.870,2.700,2.473,2.129,2.005,1.776,1.696,1.867,2.041,1.878,2.155,2.923,2.950,2.057,1.407,1.490,1.241,1.297,1.340,0.901,0.898,0.882,1.079,0.965,0.962,1.037,0.952,0.931,0.903,0.883,0.891,0.849,1.356,3.273,7.446,9.305,5.965,2.328,1.275,1.609,
265,11.512,96.263,489.351,519.401,128.158,939.862,11929.957,22436.570,9486.000,423.964,10.857,8.616,7.698,5.597,4.014,3.217,2.643,1.750,2.420,1.964,1.664,1.804,1.874,1.688,1.881,2.203,2.959,2.720,2.270,1.643,1.340,1.426,1.173,1.256,1.075,0.988,1.085,1.124,0.995,0.963,1.006,0.791,0.986,0.911,0.979,0.833,0.835,0.835,0.886,2.027,5.443,10.202,10.020,5.327,1.935,
270,16.849,23.634,121.474,594.019,480.830,124.210,1256.319,13124.604,26461.854,9572.399,534.250,13.524,8.958,7.684,4.935,4.226,3.132,2.746,1.984,2.307,1.943,1.839,1.779,2.236,2.051,2.202,3.130,2.934,1.996,1.725,1.636,1.438,1.249,1.307,1.175,1.150,1.191,0.980,1.138,1.151,1.228,1.112,0.998,1.007,0.999,0.951,0.905,0.956,0.893,0.874,1.175,3.249,8.641,12.321,10.474,
275,25.527,21.598,17.669,209.296,664.798,527.491,101.819,1238.810,15338.252,28197.254,11202.329,567.868,13.642,10.474,7.482,5.216,3.533,3.177,2.637,2.152,1.791,1.840,2.181,2.167,1.834,2.357,3.921,3.044,1.935,1.570,1.578,1.304,1.331,1.572,1.422,1.191,1.249,1.257,1.349,1.422,1.302,1.144,1.207,1.173,1.191,1.131,1.148,0.898,0.900,0.691,0.885,0.918,1.716,5.292,12.159,
280,40.165,30.033,14.599,28.920,291.630,889.669,432.870,91.038,1281.865,16663.139,30709.545,12606.066,565.407,14.966,10.197,6.200,5.560,3.718,3.171,1.961,2.171,2.020,2.036,2.376,2.109,2.347,4.149,3.744,1.881,1.533,1.515,1.485,1.147,1.297,1.323,1.434,1.453,1.519,1.378,1.593,1.614,1.489,1.482,1.642,1.509,1.422,1.381,1.206,1.094,0.999,0.825,0.968,0.963,1.179,2.847,
285,94.383,48.845,29.006,25.257,59.011,508.376,943.208,357.152,114.284,1671.055,17855.443,34208.160,12544.040,746.953,16.135,9.694,6.909,5.152,3.673,2.503,2.390,2.263,2.266,2.182,2.376,3.005,4.013,3.802,2.110,1.569,1.425,1.535,1.401,1.328,1.498,1.744,1.883,1.751,1.809,1.869,1.792,1.793,1.832,2.059,2.036,1.850,1.705,1.548,1.296,1.211,1.097,1.114,1.085,1.169,1.107,
290,163.188,97.774,64.507,51.790,56.229,133.307,704.068,918.557,334.730,149.028,1513.179,18446.760,37890.723,16468.852,658.297,14.676,9.741,7.133,5.033,3.360,2.122,2.747,2.141,2.031,2.410,2.738,4.098,3.561,2.198,1.608,1.526,1.598,1.585,1.542,2.087,2.039,1.856,1.938,2.014,2.101,2.111,2.022,2.295,2.496,2.479,2.635,2.478,2.052,1.729,1.555,1.551,1.535,1.490,1.489,1.515,
295,236.125,152.551,110.165,91.175,87.173,106.106,247.114,835.970,878.260,293.547,180.010,1630.044,22802.395,41407.129,15636.542,629.512,13.369,9.466,6.510,4.881,3.215,2.582,2.430,2.230,2.328,3.235,4.642,3.517,2.038,1.427,1.602,1.406,1.356,1.688,1.963,2.214,2.390,2.383,2.307,2.229,2.630,2.421,2.726,2.969,3.047,3.098,3.110,2.681,2.086,2.212,2.129,2.027,2.087,2.136,2.036,
300,283.568,220.970,167.407,136.323,126.358,148.936,176.224,357.264,970.004,753.221,281.569,167.714,1930.479,21349.156,46518.695,14374.480,659.738,13.207,8.213,6.256,4.614,3.388,2.833,2.478,2.208,3.200,4.511,3.384,2.041,1.726,1.639,1.501,1.403,1.712,2.138,2.643,2.889,2.752,2.703,2.541,2.592,2.872,3.015,3.335,3.384,3.651,3.490,3.179,2.578,2.681,2.694,2.728,2.871,2.641,2.741,
305,336.738,280.358,216.385,191.315,172.961,207.214,210.540,232.632,482.545,1010.343,687.606,244.615,138.441,1381.273,22522.064,37833.652,15249.888,595.740,12.038,8.322,5.535,4.660,3.439,2.834,2.565,3.512,4.448,3.596,2.139,1.883,1.499,1.570,1.331,1.729,2.518,2.804,2.994,3.081,2.900,2.817,2.826,2.800,3.188,3.620,3.632,3.714,3.944,3.423,3.095,3.457,3.444,3.463,3.649,3.635,3.665,
310,360.147,318.003,273.993,255.711,224.621,257.467,253.178,254.299,301.905,630.445,1035.213,573.491,201.099,119.461,1587.058,19891.652,39141.129,13671.549,699.822,11.012,7.023,5.475,4.529,3.637,2.858,3.841,4.659,3.383,2.257,1.667,1.524,1.728,1.301,1.884,2.509,2.875,3.054,3.383,2.883,3.007,3.185,3.000,3.093,3.570,3.507,4.098,4.170,3.720,3.413,3.885,4.151,4.275,4.483,4.317,4.436,
315,378.914,355.418,329.335,313.740,271.364,299.958,279.063,280.839,305.525,370.220,739.964,1009.511,453.382,159.436,94.590,1358.367,19221.084,39117.742,14417.337,687.423,10.631,7.382,5.699,4.434,3.833,3.904,4.799,3.523,2.310,1.830,1.526,1.672,1.400,1.835,2.461,3.076,3.234,3.367,3.314,2.907,2.974,3.241,3.326,3.980,3.811,4.433,4.381,3.955,3.540,4.346,4.796,5.161,5.038,4.967,5.365,
320,509.071,389.870,382.204,347.832,310.606,344.854,324.227,314.300,344.564,371.417,452.330,863.581,942.345,352.940,117.652,79.775,1163.701,18962.465,35984.906,13351.837,589.671,10.201,7.041,5.005,4.352,4.236,4.539,3.385,2.430,1.939,1.506,1.665,1.339,1.980,2.400,3.091,3.449,3.652,3.496,3.367,3.671,3.889,4.680,5.277,5.496,6.497,6.060,4.813,4.167,4.898,5.294,5.398,5.744,5.575,6.034,
325,630.569,424.386,400.836,371.385,344.102,388.873,350.456,349.783,377.527,414.757,454.245,539.012,970.907,791.337,229.533,101.953,82.902,1388.316,18585.162,32442.486,11403.884,475.665,9.528,5.944,4.814,4.872,5.172,3.722,2.429,1.939,1.606,1.829,1.316,1.922,2.496,3.239,3.643,3.926,3.784,3.948,4.238,4.701,5.426,6.766,7.607,8.741,7.931,6.026,4.986,5.416,5.858,5.989,6.313,6.225,6.643,
330,627.932,454.662,417.312,387.027,357.954,401.532,367.108,359.924,388.133,428.796,472.382,466.464,587.363,906.601,593.268,174.139,103.084,83.876,1219.831,16379.913,30541.807,11304.335,517.381,8.980,5.846,5.290,5.998,4.373,2.688,2.137,1.930,1.780,1.486,1.807,2.520,2.848,3.653,3.717,3.629,3.834,4.363,4.757,5.529,6.800,7.589,8.892,8.211,6.375,5.199,5.697,6.098,6.424,6.402,6.529,7.070,
335,706.815,478.836,442.673,401.445,376.602,428.040,410.250,404.163,433.924,466.956,513.933,502.570,476.601,562.981,842.438,470.395,169.167,118.506,102.089,1040.919,15983.477,29489.775,11527.070,418.519,8.625,6.148,6.607,4.932,3.392,2.395,2.034,1.885,1.905,1.792,2.495,2.938,3.527,3.945,4.011,4.292,4.548,4.968,6.231,7.666,8.263,9.652,9.133,6.988,5.832,6.180,6.401,6.495,6.664,6.626,7.218,
340,784.948,536.162,467.500,426.131,391.612,469.982,454.509,455.556,485.508,518.971,560.761,548.794,523.143,437.947,628.417,799.738,405.488,184.485,148.738,112.124,1426.474,16773.783,29392.809,9565.143,410.167,8.681,7.195,5.610,3.901,2.798,2.296,1.851,2.260,2.079,2.333,3.203,3.704,4.143,4.297,4.651,4.837,5.843,6.596,7.893,9.124,10.581,9.824,7.606,6.277,6.952,7.123,6.945,7.161,7.169,7.726,
345,828.757,606.868,540.098,488.630,440.410,515.930,507.423,511.217,543.598,568.596,609.561,598.184,583.564,495.719,459.980,717.100,794.914,384.448,230.949,172.513,116.020,1287.043,15674.149,27284.039,9963.960,512.302,9.841,5.950,4.470,3.570,2.690,2.576,2.308,2.196,2.561,3.115,3.751,4.247,4.601,5.013,5.360,5.789,6.776,7.677,8.353,9.839,9.840,7.731,6.733,7.358,7.767,7.810,7.997,7.887,8.335,
350,893.263,703.765,618.644,554.437,492.642,577.000,574.612,576.263,609.241,625.024,661.982,658.370,654.284,595.143,538.330,569.469,860.157,767.617,397.739,257.997,174.235,110.822,1262.315,14341.152,25451.803,9804.626,395.939,8.155,5.454,4.099,3.042,3.058,2.678,2.763,2.851,3.420,4.103,4.823,4.886,5.343,5.911,6.373,7.168,8.047,8.693,9.949,10.048,8.291,7.532,8.382,8.982,8.908,8.939,8.662,9.183,
355,1027.582,835.264,718.253,644.094,565.937,641.975,651.206,650.789,680.843,684.699,717.439,730.513,739.156,707.631,664.825,644.703,731.141,970.736,735.393,392.362,248.680,159.585,100.657,1212.221,13220.995,24862.818,9241.890,277.312,7.480,5.050,3.795,3.859,3.432,2.777,2.990,3.731,4.604,5.336,5.715,6.071,6.676,7.086,7.616,8.592,9.054,10.258,10.585,9.229,8.517,9.654,10.342,10.103,10.433,9.958,10.739,
360,1125.703,964.156,844.114,753.173,660.544,727.843,732.133,719.114,745.627,744.770,772.294,784.878,823.086,813.979,812.112,799.418,788.742,875.707,1013.896,681.364,359.885,225.650,143.512,92.325,786.105,13294.080,27430.344,8784.079,386.176,7.109,4.662,4.412,4.065,3.595,3.788,4.500,5.212,5.859,6.279,6.892,7.547,7.763,8.159,9.202,9.352,10.497,10.903,9.848,9.376,10.989,11.836,11.799,11.701,11.366,11.971,
365,1246.505,1098.700,977.310,864.330,744.069,816.815,798.688,786.151,803.705,794.264,807.354,837.835,891.231,905.642,928.922,934.751,923.078,871.484,953.341,962.314,560.820,302.927,196.260,130.091,86.379,1089.392,13981.946,24423.824,9236.462,319.912,6.677,5.297,4.402,3.835,4.266,5.028,5.792,6.547,6.804,7.864,8.043,8.391,8.659,9.342,10.000,10.774,11.190,10.399,10.053,12.065,12.979,13.452,13.338,13.231,13.413,
370,1367.251,1230.761,1104.855,985.577,843.412,916.865,882.701,846.090,864.546,832.253,850.383,887.970,959.213,1003.723,1041.309,1052.771,1048.371,979.560,899.008,955.478,840.675,450.064,261.667,178.756,121.543,82.704,988.331,12800.576,24541.246,8593.492,322.700,6.838,5.087,4.341,4.899,5.841,6.385,6.986,7.727,8.461,9.008,8.923,9.441,10.377,10.074,11.236,11.855,11.288,11.058,13.231,14.875,14.586,15.037,14.829,15.437,
375,1460.787,1300.674,1201.083,1077.854,934.777,1024.443,961.165,911.636,905.426,870.222,888.617,936.586,1019.001,1072.967,1133.077,1157.565,1153.527,1074.845,967.293,859.466,902.293,700.835,374.711,239.648,169.971,115.130,80.328,730.563,12718.264,22845.156,8615.717,341.607,7.058,5.109,5.342,6.379,7.201,8.026,8.406,8.839,9.345,9.641,9.964,10.391,10.650,11.775,12.086,12.036,11.736,14.168,15.805,16.211,16.935,16.039,16.882,
380,1534.227,1394.647,1289.394,1166.526,1013.262,1089.827,1020.607,950.222,939.503,889.515,903.857,964.885,1056.069,1119.040,1186.365,1213.873,1212.992,1135.324,1031.299,879.745,791.064,812.031,576.082,321.202,221.525,155.695,107.031,73.027,887.936,10734.994,21242.611,7877.062,386.794,7.212,6.143,7.074,7.868,8.520,9.097,9.399,9.798,9.930,10.404,11.045,11.185,11.773,13.014,12.721,12.942,15.399,16.954,17.181,17.368,17.523,17.926,
