"Summary"
"[Software Information]"
"Software Name:","LabSolutions RF"
"Version:","1.12"
"[Data Information]"
"Data is:","Original"
"Sample Name"
"Sample ID"
"Option"
"Analyst"
"Date/Time:","07/25/2020 07:43:01 PM"
"Comments"
"[Instrument Information]"
"Instrument Name:","RF-6000"
"Instrument Type:","RF-6000 Series"
"Model (S/N):","RF-6000 (A40245500756SA)"

"Parameter"
"[Measurement]"
"Spectrum Type:","3D"
"EX Wavelength Start:","230.0 nm"
"EX Wavelength End:","500.0 nm"
"Data Interval:","5.0 nm"
"EM Wavelength Start:","230.0 nm"
"EM Wavelength End:","700.0 nm"
"Data Interval:","5.0 nm"
"Scan Speed:","600 nm/min"
"[Instrument]"
"EX Bandwidth:","5.0 nm"
"EM Bandwidth:","5.0 nm"
"Sensitivity:","Low"
"[Attachment]"
"Attachment:","None"
"[Auto Print]"
"Auto Print:","No"
"Report File:",""

"K3_3E - RawData"
"EM Wavelength/EX Wavelength",230,235,240,245,250,255,260,265,270,275,280,285,290,295,300,305,310,315,320,325,330,335,340,345,350,355,360,365,370,375,380,385,390,395,400,405,410,415,420,425,430,435,440,445,450,455,460,465,470,475,480,485,490,495,500,
230,1759.053,617.103,51.657,3.775,2.709,3.703,3.533,2.371,2.240,2.184,2.516,2.020,2.452,1.626,1.952,1.369,1.496,1.625,1.525,1.337,1.145,1.266,1.019,1.112,0.973,1.272,1.299,1.243,1.151,0.924,0.831,0.962,1.046,1.090,0.702,0.815,1.034,1.097,1.938,2.889,2.898,2.066,1.347,1.922,5.151,11.758,16.063,13.083,7.111,2.520,0.894,0.672,0.665,0.903,0.734,
235,1563.617,2052.006,741.579,52.333,2.889,2.679,3.168,2.821,2.263,1.648,1.376,2.033,1.826,1.226,1.871,1.923,1.627,1.395,1.586,1.406,1.206,0.741,1.069,1.016,0.928,1.234,1.220,1.230,1.097,0.898,0.858,0.926,0.929,1.007,0.882,0.899,1.023,0.852,1.045,1.609,2.462,3.610,3.140,1.931,1.091,2.327,7.257,13.912,21.813,21.800,10.410,2.908,0.930,0.821,0.569,
240,311.594,1729.417,2257.070,1096.990,64.557,3.073,1.478,2.944,2.945,1.971,2.170,2.221,1.817,1.806,1.574,2.000,1.542,1.452,1.585,1.563,1.227,1.287,1.331,1.154,1.122,0.941,1.277,1.193,1.203,0.993,0.942,0.934,1.031,1.038,0.882,0.856,0.862,0.871,1.068,0.870,1.001,1.718,3.293,4.523,3.561,1.863,1.080,2.081,7.821,22.505,32.032,28.563,15.237,4.213,0.898,
245,293.452,252.840,1446.183,2911.539,1046.243,87.428,3.754,3.514,2.812,2.147,2.871,2.121,1.983,0.894,1.715,1.207,1.115,1.502,1.014,1.405,1.256,1.022,1.093,1.067,1.162,0.867,1.280,0.962,1.176,1.014,0.891,0.860,0.991,1.038,0.850,0.767,0.781,0.971,0.913,0.961,0.759,0.970,1.139,2.612,4.609,5.512,3.804,1.633,1.057,2.866,11.958,28.181,44.907,41.573,18.894,
250,615.253,234.238,192.595,1737.787,2935.243,1502.418,86.441,4.554,3.056,2.594,1.806,3.135,1.537,2.000,1.680,1.447,1.581,1.154,1.005,1.416,1.150,0.923,1.159,1.104,1.277,1.285,1.213,1.102,1.074,1.115,0.962,1.065,0.987,0.893,0.838,0.843,0.845,0.741,0.917,0.917,0.918,0.947,0.852,1.007,1.680,3.898,6.285,5.643,2.824,1.526,1.161,3.459,15.954,39.356,54.809,
255,396.340,593.516,211.956,207.951,1781.811,4688.738,1737.102,99.396,4.542,2.769,2.634,2.475,2.356,1.616,2.049,1.579,2.158,1.255,0.843,1.246,1.252,0.901,1.199,0.788,1.138,1.229,1.403,1.168,1.140,0.960,0.983,1.028,1.042,0.782,0.777,0.829,0.832,0.810,0.869,0.823,0.798,1.114,0.827,0.853,0.843,0.992,2.363,5.056,6.787,6.377,3.038,1.277,1.152,3.813,19.254,
260,85.140,477.156,572.789,149.950,222.455,3263.333,5028.495,1750.459,108.989,3.231,2.709,3.117,2.031,1.579,2.092,1.421,1.652,1.561,1.320,1.234,1.385,0.932,1.081,1.055,1.205,1.191,1.142,1.382,1.176,0.839,1.024,1.090,1.000,0.896,0.715,0.834,0.927,0.941,0.966,0.930,0.879,0.898,0.802,0.695,0.824,0.710,0.890,1.374,3.433,7.896,9.607,6.049,2.363,1.166,1.305,
265,18.009,115.126,526.866,536.778,121.355,317.683,3189.291,5054.668,2133.865,92.142,3.499,3.636,2.440,2.372,2.601,1.838,1.669,1.842,1.739,1.528,1.226,0.803,1.194,1.208,1.118,1.048,1.364,1.388,1.037,1.040,0.910,0.891,0.843,0.698,0.805,0.857,0.893,0.877,0.792,0.812,0.822,0.822,0.885,0.714,0.871,0.824,0.918,0.778,0.854,1.976,5.834,10.693,10.385,5.417,1.939,
270,13.746,18.404,144.085,621.275,491.060,113.173,351.482,3142.894,5717.445,1947.586,113.241,4.821,3.324,2.617,2.697,1.777,1.725,1.546,1.415,1.346,1.472,1.148,1.081,0.899,1.237,1.564,1.390,1.325,1.149,0.894,0.896,0.906,0.842,0.809,0.793,0.825,0.803,0.981,0.966,0.981,0.864,0.780,0.804,0.878,0.945,0.797,0.815,0.838,0.826,0.756,1.147,3.298,8.898,12.837,10.932,
275,12.626,20.223,15.012,215.722,681.253,529.740,82.358,373.174,3388.212,5689.274,2309.952,117.400,4.317,4.105,3.140,2.459,2.093,1.419,1.418,1.189,1.068,1.368,1.202,1.237,0.988,1.201,1.417,1.403,1.069,0.747,0.970,1.161,1.109,0.885,0.867,0.912,1.045,0.900,0.928,1.099,0.903,0.922,0.817,0.710,0.901,0.888,0.877,0.747,0.810,0.753,0.698,0.994,1.654,5.405,12.544,
280,39.292,22.779,11.246,26.227,294.096,914.515,419.022,68.283,336.852,3601.218,6443.468,2368.067,108.108,4.514,3.768,3.075,1.850,1.942,1.568,1.439,1.375,1.037,1.289,1.006,1.152,1.309,1.580,1.437,0.966,0.902,0.973,0.973,1.117,1.100,1.314,1.042,1.014,1.146,1.137,1.080,1.070,1.066,1.145,1.078,1.058,1.035,1.065,0.969,0.881,0.811,0.694,0.763,0.650,0.962,2.728,
285,86.770,38.033,21.791,14.163,49.193,503.997,942.694,339.189,85.839,416.304,3695.951,6747.957,2435.438,123.178,4.816,3.435,2.286,1.893,1.701,1.452,1.457,0.760,1.222,1.034,1.309,1.302,1.471,1.474,1.063,0.717,0.773,1.041,1.264,1.461,1.644,1.419,1.285,1.207,1.359,1.501,1.410,1.484,1.579,1.599,1.425,1.542,1.523,1.242,1.128,0.985,0.910,0.849,0.876,0.918,1.005,
290,190.013,81.939,34.153,23.974,26.976,106.613,701.436,897.818,313.497,132.384,399.967,3883.846,7309.817,2764.498,129.931,3.872,3.005,2.486,1.709,1.715,1.329,0.987,1.203,0.933,1.255,1.152,1.484,1.290,0.923,1.087,0.855,1.194,1.634,1.863,2.207,1.897,1.635,1.677,1.719,1.811,1.848,2.112,2.248,2.336,2.602,2.548,2.305,1.765,1.340,1.154,1.026,0.962,0.969,1.065,0.851,
295,257.008,110.884,43.130,35.494,38.995,61.513,212.987,819.020,854.109,269.824,155.988,419.749,4400.532,7646.958,3325.863,112.840,3.444,2.246,2.167,2.043,1.502,1.128,1.163,1.376,1.189,1.187,1.368,1.411,0.966,0.925,0.801,1.289,1.992,2.654,2.723,2.180,1.740,1.804,1.924,1.975,2.296,2.529,2.755,3.244,3.050,3.278,3.150,2.232,1.693,1.412,1.239,1.289,1.004,1.262,1.235,
