"Summary"
"[Software Information]"
"Software Name:","LabSolutions RF"
"Version:","1.12"
"[Data Information]"
"Data is:","Original"
"Sample Name"
"Sample ID"
"Option"
"Analyst"
"Date/Time:","07/26/2020 06:45:15 PM"
"Comments"
"[Instrument Information]"
"Instrument Name:","RF-6000"
"Instrument Type:","RF-6000 Series"
"Model (S/N):","RF-6000 (A40245500756SA)"

"Parameter"
"[Measurement]"
"Spectrum Type:","3D"
"EX Wavelength Start:","230.0 nm"
"EX Wavelength End:","500.0 nm"
"Data Interval:","5.0 nm"
"EM Wavelength Start:","230.0 nm"
"EM Wavelength End:","700.0 nm"
"Data Interval:","5.0 nm"
"Scan Speed:","600 nm/min"
"[Instrument]"
"EX Bandwidth:","5.0 nm"
"EM Bandwidth:","5.0 nm"
"Sensitivity:","Low"
"[Attachment]"
"Attachment:","None"
"[Auto Print]"
"Auto Print:","No"
"Report File:",""

"K3_14E_1976 - RawData"
"EM Wavelength/EX Wavelength",230,235,240,245,250,255,260,265,270,275,280,285,290,295,300,305,310,315,320,325,330,335,340,345,350,355,360,365,370,375,380,385,390,395,400,405,410,415,420,425,430,435,440,445,450,455,460,465,470,475,480,485,490,495,500,
230,1194.402,466.482,37.465,-2.643,-0.680,-1.064,0.668,-2.364,-0.853,-0.199,0.647,-0.096,0.433,0.467,0.050,0.438,0.100,-0.076,0.049,0.207,-0.027,0.336,0.429,0.462,0.511,0.517,0.557,0.697,0.444,0.414,0.544,0.557,0.567,0.409,0.327,0.357,0.399,0.716,1.045,1.372,1.505,1.204,0.857,1.053,2.854,7.350,11.325,10.146,5.515,1.882,0.653,0.392,0.428,0.490,0.427,
235,958.136,1509.691,604.285,29.300,-0.642,-3.900,-0.793,-0.965,-0.179,-0.932,-0.052,-0.011,-0.271,-0.088,0.684,-0.447,0.234,-0.281,0.327,0.249,0.361,0.474,0.413,0.491,0.434,0.505,0.486,0.791,0.585,0.447,0.594,0.441,0.341,0.332,0.460,0.475,0.571,0.724,0.667,1.005,1.458,2.055,2.198,1.400,0.773,1.573,5.228,11.183,15.409,16.258,8.633,2.078,0.472,0.467,0.397,
240,149.948,1124.473,1909.525,750.586,48.892,-0.982,-1.856,-1.056,-0.106,-0.952,-0.591,-0.004,-0.663,-0.233,0.011,-0.017,0.521,0.201,0.300,0.415,0.312,0.458,0.410,0.533,0.291,0.499,0.520,0.412,0.681,0.494,0.475,0.386,0.517,0.405,0.406,0.535,0.376,0.568,0.644,0.723,0.773,1.318,2.181,3.343,3.029,1.545,0.866,1.761,6.161,16.941,26.316,23.647,12.375,3.081,0.721,
245,259.623,177.070,1238.031,2140.018,859.450,69.598,0.085,-0.790,-0.235,-0.302,-0.176,0.133,-0.464,0.104,0.808,-0.323,0.298,-0.101,0.525,0.150,0.325,0.595,0.501,0.258,0.263,0.609,0.665,0.716,0.532,0.421,0.517,0.402,0.494,0.451,0.325,0.351,0.475,0.689,0.568,0.548,0.499,0.657,1.007,1.997,3.767,4.804,3.185,1.387,0.853,2.540,9.915,23.625,34.293,30.196,15.701,
250,565.277,227.532,163.913,1418.752,2397.429,1221.931,66.035,0.140,-0.364,1.043,-0.120,-0.417,-0.375,-0.038,0.280,0.109,0.158,0.430,0.209,0.421,0.371,0.384,0.332,0.688,0.407,0.417,0.747,0.636,0.627,0.489,0.500,0.505,0.417,0.400,0.507,0.502,0.553,0.523,0.478,0.504,0.633,0.532,0.762,0.640,1.233,3.399,5.773,5.168,2.952,1.198,0.936,2.940,12.658,30.029,46.526,
255,361.823,591.676,204.037,173.078,1498.302,3336.038,1291.079,73.734,1.320,0.433,0.659,0.735,0.564,0.365,0.668,-0.005,-0.084,0.080,0.390,0.422,0.388,0.493,0.354,0.579,0.380,0.413,0.683,0.524,0.463,0.451,0.497,0.169,0.335,0.515,0.345,0.450,0.508,0.603,0.581,0.626,0.568,0.599,0.625,0.595,0.582,0.888,2.142,4.789,6.755,6.071,2.970,1.097,0.884,3.275,15.517,
260,59.686,470.693,594.886,149.534,188.166,2035.021,3739.004,1362.396,73.670,-0.610,0.557,0.660,0.340,0.569,0.362,-0.134,0.550,0.516,0.364,0.144,0.434,0.288,0.564,0.600,0.548,0.404,0.697,0.608,0.508,0.609,0.591,0.542,0.584,0.538,0.451,0.553,0.435,0.458,0.596,0.787,0.569,0.646,0.638,0.579,0.565,0.558,0.660,1.087,3.301,7.861,9.804,6.108,2.245,0.789,1.081,
265,-8.010,95.403,536.359,548.675,116.773,221.497,2352.359,3887.010,1530.660,64.400,1.010,1.491,0.869,0.671,0.461,0.477,0.213,0.332,0.116,0.189,0.539,0.234,0.302,0.519,0.490,0.365,0.659,0.556,0.524,0.358,0.591,0.596,0.472,0.426,0.310,0.505,0.473,0.476,0.576,0.544,0.728,0.613,0.718,0.564,0.661,0.574,0.687,0.559,0.720,1.828,5.938,10.834,10.808,5.498,1.938,
270,-7.320,4.109,127.345,641.417,504.749,108.150,265.796,2323.110,4103.481,1364.602,76.035,1.737,1.298,0.183,0.922,0.347,0.506,0.378,0.519,0.294,0.376,0.277,0.566,0.778,0.424,0.698,0.645,0.701,0.710,0.469,0.629,0.567,0.275,0.588,0.381,0.496,0.551,0.627,0.564,0.516,0.604,0.774,0.654,0.434,0.664,0.605,0.564,0.545,0.641,0.767,0.880,3.267,9.024,12.917,10.774,
275,-3.912,1.357,5.762,214.920,700.883,537.703,75.424,255.337,2390.403,3955.125,1470.431,70.863,1.720,0.752,0.642,0.388,0.469,0.490,0.139,0.228,0.526,0.561,0.533,0.380,0.389,0.559,0.861,0.674,0.686,0.542,0.486,0.440,0.503,0.591,0.471,0.639,0.519,0.556,0.570,0.667,0.593,0.619,0.637,0.654,0.607,0.629,0.640,0.567,0.615,0.553,0.511,0.510,1.450,5.445,12.879,
280,-7.971,2.651,3.187,19.038,303.311,922.660,420.965,54.771,242.547,2428.990,4059.093,1547.005,66.800,2.009,1.247,0.919,0.906,0.507,0.259,0.357,0.520,0.315,0.616,0.596,0.654,0.759,0.794,0.824,0.702,0.664,0.380,0.657,0.592,0.488,0.601,0.567,0.434,0.534,0.619,0.679,0.708,0.733,0.664,0.427,0.632,0.644,0.690,0.570,0.577,0.494,0.547,0.464,0.546,0.760,2.651,
