"Summary"
"[Software Information]"
"Software Name:","LabSolutions RF"
"Version:","1.12"
"[Data Information]"
"Data is:","Original"
"Sample Name"
"Sample ID"
"Option"
"Analyst"
"Date/Time:","07/24/2020 09:00:25 PM"
"Comments"
"[Instrument Information]"
"Instrument Name:","RF-6000"
"Instrument Type:","RF-6000 Series"
"Model (S/N):","RF-6000 (A40245500756SA)"

"Parameter"
"[Measurement]"
"Spectrum Type:","3D"
"EX Wavelength Start:","230.0 nm"
"EX Wavelength End:","500.0 nm"
"Data Interval:","5.0 nm"
"EM Wavelength Start:","230.0 nm"
"EM Wavelength End:","700.0 nm"
"Data Interval:","5.0 nm"
"Scan Speed:","600 nm/min"
"[Instrument]"
"EX Bandwidth:","5.0 nm"
"EM Bandwidth:","5.0 nm"
"Sensitivity:","Low"
"[Attachment]"
"Attachment:","None"
"[Auto Print]"
"Auto Print:","No"
"Report File:",""

"K6_10 - RawData"
"EM Wavelength/EX Wavelength",230,235,240,245,250,255,260,265,270,275,280,285,290,295,300,305,310,315,320,325,330,335,340,345,350,355,360,365,370,375,380,385,390,395,400,405,410,415,420,425,430,435,440,445,450,455,460,465,470,475,480,485,490,495,500,
230,1632.001,601.490,40.214,-1.025,-1.346,-2.792,-1.299,-1.030,-0.492,0.188,-0.738,-0.259,-0.279,-0.037,-0.440,-0.101,-0.682,0.215,-0.267,0.415,0.361,0.315,0.100,0.253,0.147,0.612,0.323,0.423,0.586,0.365,0.580,0.335,0.333,0.281,0.347,0.377,0.530,0.709,1.230,2.024,2.211,1.438,0.907,1.440,4.614,10.737,15.277,13.119,6.854,2.116,0.456,0.440,0.459,0.471,0.340,
235,1251.092,1948.410,760.047,41.243,-0.317,-1.084,-2.377,-0.250,-1.107,-0.286,-0.706,-0.445,-0.486,-0.224,-0.106,-0.154,-0.457,0.019,0.052,0.071,-0.017,0.019,-0.006,0.199,0.135,0.578,0.429,0.629,0.327,0.418,0.476,0.278,0.371,0.388,0.210,0.177,0.433,0.483,0.650,1.158,1.948,2.798,2.646,1.524,0.779,1.982,6.708,13.946,19.349,20.001,10.679,2.633,0.498,0.402,0.317,
240,192.538,1399.677,2346.364,962.000,62.820,-0.542,-0.793,-1.237,-0.698,-0.433,-0.431,-0.742,-0.429,-0.091,-0.422,-0.246,-0.305,0.098,0.085,-0.032,0.133,0.283,0.150,0.483,0.439,0.399,0.400,0.471,0.241,0.625,0.395,0.676,0.323,0.274,0.328,0.384,0.576,0.394,0.381,0.469,0.626,1.270,2.844,3.728,2.967,1.559,0.716,1.663,7.757,21.168,33.073,30.008,15.819,3.776,0.410,
245,257.100,213.879,1506.201,2754.792,1110.706,98.080,0.325,0.435,0.564,-0.354,-0.197,-0.193,-0.578,-0.609,-0.358,-0.362,-0.009,0.019,0.068,0.117,-0.086,0.183,0.221,0.329,0.281,0.299,0.707,0.587,0.321,0.421,0.446,0.516,0.377,0.266,0.365,0.443,0.334,0.376,0.642,0.393,0.433,0.445,0.828,2.157,3.707,4.778,3.043,1.231,0.734,2.550,12.067,29.689,43.892,38.369,21.057,
250,544.531,215.504,189.142,1798.874,3138.277,1598.903,80.127,0.751,1.433,0.156,-0.205,-0.670,-0.783,-0.299,-0.416,-0.049,-0.215,0.093,0.211,-0.038,-0.191,0.130,0.031,0.401,0.351,0.361,0.380,0.670,0.378,0.418,0.461,0.342,0.304,0.406,0.359,0.459,0.453,0.439,0.589,0.481,0.442,0.466,0.404,0.555,1.196,3.005,5.566,4.899,2.541,1.098,0.864,3.311,15.713,38.811,60.374,
255,361.334,558.400,189.722,210.745,1947.856,4310.234,1653.855,95.950,0.764,0.651,0.518,-0.611,-0.167,0.147,-0.183,-0.465,-0.582,0.230,0.058,0.052,0.179,0.250,0.429,0.381,0.360,0.438,0.336,0.416,0.380,0.532,0.451,0.298,0.244,0.315,0.336,0.462,0.494,0.363,0.524,0.521,0.481,0.429,0.542,0.421,0.487,0.695,2.035,4.622,6.323,5.795,2.836,0.924,0.825,3.815,19.804,
260,49.011,443.379,550.225,140.758,231.604,2585.938,4748.000,1759.599,95.747,0.938,0.328,0.196,-0.105,0.097,-0.475,-0.324,-0.103,0.185,0.422,0.294,0.162,0.196,0.255,0.499,0.268,0.304,0.697,0.478,0.487,0.323,0.390,0.475,0.430,0.387,0.353,0.236,0.347,0.355,0.314,0.510,0.476,0.446,0.409,0.598,0.466,0.551,0.521,1.012,2.910,7.286,9.038,5.954,1.914,0.907,0.910,
265,-4.871,92.530,495.746,520.535,114.690,257.618,2963.811,4935.309,1899.826,80.461,0.901,0.416,-0.235,0.265,-0.067,-0.368,0.167,0.360,-0.080,-0.003,0.231,-0.028,0.161,0.343,0.330,0.514,0.698,0.593,0.397,0.415,0.486,0.389,0.346,0.358,0.385,0.341,0.392,0.441,0.659,0.435,0.531,0.542,0.436,0.579,0.382,0.400,0.483,0.352,0.597,1.648,5.574,10.075,10.304,5.261,1.590,
270,-2.922,3.962,125.792,594.096,478.048,105.298,321.207,2911.514,5132.651,1736.499,95.570,1.072,0.803,0.253,0.253,-0.344,-0.180,0.166,0.061,-0.008,-0.156,-0.127,0.150,0.473,0.398,0.289,0.465,0.480,0.250,0.461,0.525,0.491,0.490,0.437,0.446,0.444,0.389,0.524,0.607,0.372,0.584,0.449,0.410,0.518,0.543,0.516,0.451,0.387,0.395,0.488,0.687,2.943,8.311,12.253,10.671,
