"Summary"
"[Software Information]"
"Software Name:","LabSolutions RF"
"Version:","1.12"
"[Data Information]"
"Data is:","Original"
"Sample Name"
"Sample ID"
"Option"
"Analyst"
"Date/Time:","07/25/2020 02:36:47 AM"
"Comments"
"[Instrument Information]"
"Instrument Name:","RF-6000"
"Instrument Type:","RF-6000 Series"
"Model (S/N):","RF-6000 (A40245500756SA)"

"Parameter"
"[Measurement]"
"Spectrum Type:","3D"
"EX Wavelength Start:","230.0 nm"
"EX Wavelength End:","500.0 nm"
"Data Interval:","5.0 nm"
"EM Wavelength Start:","230.0 nm"
"EM Wavelength End:","700.0 nm"
"Data Interval:","5.0 nm"
"Scan Speed:","600 nm/min"
"[Instrument]"
"EX Bandwidth:","5.0 nm"
"EM Bandwidth:","5.0 nm"
"Sensitivity:","Low"
"[Attachment]"
"Attachment:","None"
"[Auto Print]"
"Auto Print:","No"
"Report File:",""

"K6_12 - RawData"
"EM Wavelength/EX Wavelength",230,235,240,245,250,255,260,265,270,275,280,285,290,295,300,305,310,315,320,325,330,335,340,345,350,355,360,365,370,375,380,385,390,395,400,405,410,415,420,425,430,435,440,445,450,455,460,465,470,475,480,485,490,495,500,
230,1764.720,636.769,43.033,-0.926,1.500,0.593,1.000,0.013,1.248,0.711,0.257,0.648,0.788,0.501,1.354,1.307,0.215,0.721,0.884,0.719,0.954,0.713,0.765,0.703,0.711,0.874,0.834,0.790,0.788,0.798,0.576,0.703,0.632,0.663,0.469,0.546,0.768,1.045,1.980,2.986,2.878,1.938,1.130,1.791,5.318,12.370,16.523,14.108,7.274,2.365,0.718,0.591,0.579,0.640,0.557,
235,1378.019,2062.264,784.613,45.752,3.147,0.072,2.498,0.814,1.224,-0.201,0.573,1.369,1.221,0.747,1.162,0.722,0.432,1.036,0.982,0.522,0.368,0.879,0.715,0.765,0.756,0.848,0.911,0.824,0.777,0.717,0.858,0.599,0.888,0.652,0.559,0.686,0.704,0.577,0.840,1.316,2.489,3.502,3.371,1.823,0.912,2.244,7.571,15.616,20.677,20.507,10.911,2.850,0.727,0.610,0.571,
240,211.768,1479.919,2432.263,995.213,68.054,3.144,0.869,1.679,0.799,0.152,0.336,0.842,1.255,1.079,1.139,0.693,0.200,0.851,0.938,0.861,0.871,0.617,0.727,0.529,0.805,0.607,0.981,0.794,0.868,0.967,0.475,0.568,0.607,0.548,0.507,0.726,0.550,0.702,0.842,0.492,0.882,1.650,3.351,4.477,3.820,1.806,0.933,2.312,8.026,22.702,34.198,30.750,16.049,3.969,0.740,
245,307.250,234.297,1574.913,2799.699,1114.324,91.709,4.081,2.936,1.974,0.228,0.340,0.954,0.971,0.374,1.357,1.547,0.760,0.723,0.791,0.406,0.549,0.603,0.861,0.735,0.783,0.729,0.951,0.893,0.885,0.622,0.705,0.789,0.635,0.584,0.586,0.626,0.553,0.640,0.647,0.737,0.691,0.849,1.128,2.639,4.764,5.594,3.738,1.506,0.959,3.046,13.006,30.738,44.509,39.100,19.953,
250,640.240,237.673,215.700,1816.316,3133.200,1595.606,82.775,2.394,1.666,0.791,1.266,1.165,0.847,0.722,1.278,0.905,0.646,1.276,0.729,0.837,0.787,0.595,0.895,0.698,1.001,0.603,0.990,0.912,0.834,0.688,0.692,0.561,0.511,0.482,0.469,0.681,0.503,0.511,0.583,0.589,0.594,0.593,0.662,0.838,1.575,3.936,6.506,5.630,2.986,1.294,1.048,3.546,16.146,40.003,58.428,
255,418.353,613.971,214.665,218.977,1931.463,4450.737,1730.907,101.730,1.819,0.950,2.200,2.218,1.230,0.643,1.454,0.600,1.166,0.740,0.817,0.653,0.869,0.755,0.635,0.670,0.690,0.791,0.797,0.968,0.863,0.525,0.688,0.624,0.835,0.606,0.611,0.753,0.767,0.652,0.803,0.584,0.662,0.603,0.669,0.697,0.614,0.982,2.275,5.345,7.226,6.534,3.120,1.175,1.117,4.039,20.195,
260,67.679,497.762,609.747,157.145,235.315,2667.207,4914.100,1825.745,108.939,2.424,2.630,1.880,1.438,0.815,0.946,0.567,0.735,0.627,0.937,0.904,0.687,0.526,0.894,0.821,0.684,0.563,1.033,0.817,0.964,0.653,0.688,0.792,0.572,0.636,0.677,0.708,0.765,0.644,0.666,0.574,0.632,0.726,0.638,0.652,0.675,0.665,0.615,1.120,3.412,8.233,10.122,6.325,2.281,0.976,1.142,
265,7.446,112.435,553.533,573.636,126.196,279.454,3083.193,5212.783,2134.622,89.844,3.178,2.808,1.413,1.155,1.726,0.991,0.944,0.642,1.056,0.970,1.074,0.722,0.747,0.593,0.775,0.615,0.943,1.008,0.858,0.766,0.666,0.791,0.699,0.572,0.667,0.813,0.644,0.727,0.751,0.740,0.854,0.646,0.603,0.680,0.710,0.814,0.720,0.648,0.847,1.907,6.075,10.929,10.858,5.688,1.843,
270,55.138,22.719,145.955,649.917,518.591,120.622,352.108,3101.021,5652.590,1884.747,106.983,3.576,1.860,1.607,1.794,1.021,1.081,0.615,0.768,0.951,0.870,1.070,0.709,0.586,0.951,0.858,0.954,0.741,0.734,0.772,0.769,0.912,0.944,1.088,1.082,0.858,0.773,0.887,0.856,0.935,1.083,0.948,1.131,1.169,1.101,1.197,1.156,0.927,0.823,0.768,0.985,3.384,9.013,13.491,11.188,
