"Summary"
"[Software Information]"
"Software Name:","LabSolutions RF"
"Version:","1.12"
"[Data Information]"
"Data is:","Original"
"Sample Name"
"Sample ID"
"Option"
"Analyst"
"Date/Time:","07/25/2020 01:47:16 AM"
"Comments"
"[Instrument Information]"
"Instrument Name:","RF-6000"
"Instrument Type:","RF-6000 Series"
"Model (S/N):","RF-6000 (A40245500756SA)"

"Parameter"
"[Measurement]"
"Spectrum Type:","3D"
"EX Wavelength Start:","230.0 nm"
"EX Wavelength End:","500.0 nm"
"Data Interval:","5.0 nm"
"EM Wavelength Start:","230.0 nm"
"EM Wavelength End:","700.0 nm"
"Data Interval:","5.0 nm"
"Scan Speed:","600 nm/min"
"[Instrument]"
"EX Bandwidth:","5.0 nm"
"EM Bandwidth:","5.0 nm"
"Sensitivity:","Low"
"[Attachment]"
"Attachment:","None"
"[Auto Print]"
"Auto Print:","No"
"Report File:",""

"K6_21 - RawData"
"EM Wavelength/EX Wavelength",230,235,240,245,250,255,260,265,270,275,280,285,290,295,300,305,310,315,320,325,330,335,340,345,350,355,360,365,370,375,380,385,390,395,400,405,410,415,420,425,430,435,440,445,450,455,460,465,470,475,480,485,490,495,500,
230,1690.499,636.136,43.253,-0.051,0.266,1.807,0.735,0.588,0.460,0.004,0.966,0.658,1.556,0.940,1.472,1.343,1.064,0.499,0.744,1.030,0.872,0.934,0.808,0.916,1.091,1.097,1.432,1.461,1.378,1.121,0.981,1.140,1.014,0.867,0.737,0.846,0.785,1.060,1.894,2.454,2.635,2.027,1.269,1.691,4.903,11.389,16.329,13.934,7.043,2.405,0.855,0.715,0.690,0.642,0.635,
235,1348.266,2042.205,809.712,46.422,0.683,0.878,2.178,1.934,0.696,0.626,1.042,0.577,0.872,0.016,0.768,1.331,1.002,1.128,0.888,0.740,1.156,0.951,0.787,0.925,0.973,1.253,1.431,1.531,1.403,1.222,0.989,1.036,0.946,0.902,0.888,0.912,0.736,0.825,0.838,1.381,2.375,3.269,2.858,1.929,1.000,2.305,7.466,14.775,20.439,21.173,11.412,3.033,0.808,0.583,0.718,
240,201.709,1501.374,2548.237,1063.110,71.206,2.722,1.834,1.550,0.183,1.156,1.182,0.846,0.748,0.556,0.909,1.070,0.968,0.782,0.934,0.699,0.916,0.873,0.902,0.954,0.774,1.051,1.399,1.362,1.495,1.267,0.987,0.958,1.062,0.789,0.912,0.776,0.716,0.886,0.999,1.055,1.128,1.641,3.114,4.112,3.238,1.654,1.207,2.224,8.241,22.341,35.625,32.478,17.260,4.323,0.884,
245,252.343,222.336,1664.058,3105.708,1259.270,112.257,4.474,2.204,1.134,1.359,1.325,0.754,1.059,1.119,0.617,1.351,0.832,0.890,1.086,0.822,0.719,0.780,1.011,1.090,1.038,1.181,1.394,1.893,1.390,1.142,1.207,0.986,0.866,0.916,0.686,0.728,0.900,0.865,0.915,0.953,0.735,0.897,1.165,2.428,3.975,4.813,3.282,1.440,0.947,3.195,13.159,32.565,49.126,43.060,23.119,
250,548.749,216.888,210.724,2028.876,3562.734,1951.069,101.965,4.008,2.074,2.731,1.222,1.751,0.839,1.043,1.141,1.114,1.483,1.021,0.852,0.957,0.987,1.176,1.265,0.668,1.264,1.164,1.461,1.758,1.367,1.084,1.178,0.978,0.933,0.921,0.938,0.994,0.814,0.860,0.886,0.857,0.879,0.937,0.838,0.913,1.379,3.541,5.720,5.041,2.784,1.291,1.085,3.843,17.994,42.857,68.677,
255,348.210,537.597,190.641,234.399,2234.660,5405.836,2150.760,121.853,3.347,2.220,2.348,1.532,0.936,1.196,0.964,1.781,1.312,0.835,1.357,1.013,0.804,0.848,1.248,1.128,1.240,1.114,1.408,1.533,1.327,1.053,1.091,1.233,0.807,0.780,0.922,0.846,0.647,0.824,0.840,1.002,0.829,0.971,1.077,0.865,0.835,0.954,2.252,4.598,6.520,6.004,2.831,1.228,1.136,4.367,22.875,
260,57.528,434.126,531.331,138.874,271.703,3326.937,6269.156,2395.212,134.992,3.452,2.575,2.073,1.172,0.819,0.930,1.620,0.709,0.822,1.063,1.004,1.047,0.876,1.137,0.877,1.150,1.361,1.379,1.519,1.403,1.138,0.986,0.702,0.982,0.756,0.769,0.800,0.681,0.929,0.803,0.872,0.732,0.874,0.872,0.861,0.785,0.935,0.849,1.297,3.271,7.162,9.162,5.837,2.243,1.229,1.339,
265,10.256,87.077,476.428,503.024,112.641,342.546,4071.310,7020.284,2839.602,123.195,3.612,3.496,1.997,1.750,1.136,0.843,1.021,1.016,1.005,1.185,0.735,0.790,1.134,0.845,1.376,1.457,1.740,1.408,1.250,1.161,1.043,1.205,0.858,0.645,0.742,0.704,0.910,0.728,0.868,0.970,0.851,0.759,0.861,0.784,0.842,0.817,0.777,0.766,0.923,1.918,5.392,10.041,9.852,5.228,2.020,
270,16.919,4.501,121.556,565.858,461.022,106.299,469.099,4246.134,7873.940,2758.274,159.206,3.560,2.717,1.715,1.881,1.198,1.103,1.426,1.479,0.850,1.013,0.954,1.193,0.942,1.196,1.098,1.749,1.611,1.298,1.148,0.974,0.994,1.010,0.924,0.969,0.829,0.823,0.737,0.855,0.992,0.880,0.879,1.075,0.909,0.934,0.925,0.917,0.799,0.770,0.726,0.887,3.182,8.179,12.053,10.601,
