"Summary"
"[Software Information]"
"Software Name:","LabSolutions RF"
"Version:","1.12"
"[Data Information]"
"Data is:","Original"
"Sample Name"
"Sample ID"
"Option"
"Analyst"
"Date/Time:","07/24/2020 03:53:40 PM"
"Comments"
"[Instrument Information]"
"Instrument Name:","RF-6000"
"Instrument Type:","RF-6000 Series"
"Model (S/N):","RF-6000 (A40245500756SA)"

"Parameter"
"[Measurement]"
"Spectrum Type:","3D"
"EX Wavelength Start:","230.0 nm"
"EX Wavelength End:","500.0 nm"
"Data Interval:","5.0 nm"
"EM Wavelength Start:","230.0 nm"
"EM Wavelength End:","700.0 nm"
"Data Interval:","5.0 nm"
"Scan Speed:","600 nm/min"
"[Instrument]"
"EX Bandwidth:","5.0 nm"
"EM Bandwidth:","5.0 nm"
"Sensitivity:","Low"
"[Attachment]"
"Attachment:","None"
"[Auto Print]"
"Auto Print:","No"
"Report File:",""

"K6_2 - RawData"
"EM Wavelength/EX Wavelength",230,235,240,245,250,255,260,265,270,275,280,285,290,295,300,305,310,315,320,325,330,335,340,345,350,355,360,365,370,375,380,385,390,395,400,405,410,415,420,425,430,435,440,445,450,455,460,465,470,475,480,485,490,495,500,
230,1532.844,583.203,46.849,4.103,1.972,5.239,1.825,3.066,2.060,1.641,1.340,1.839,1.501,1.792,1.497,1.134,1.364,1.018,1.320,1.167,0.858,1.227,1.223,0.863,0.856,1.214,0.783,0.897,1.009,0.794,0.750,0.909,0.724,0.681,0.700,0.846,0.859,1.008,1.554,2.529,2.403,1.738,1.068,1.702,4.552,10.722,14.850,12.271,6.658,2.272,0.782,0.623,0.506,0.608,0.472,
235,1190.156,1804.196,716.088,42.159,1.930,3.006,3.151,2.934,1.493,1.666,2.390,1.607,1.407,1.618,1.970,1.216,1.806,1.095,1.185,1.257,0.771,1.018,1.101,0.807,1.002,0.865,0.846,1.291,0.963,0.844,0.768,0.837,0.838,0.605,0.692,0.711,0.677,0.624,0.846,1.321,2.179,2.925,2.611,1.727,1.009,1.931,6.623,13.323,18.568,18.420,9.804,2.599,0.708,0.604,0.669,
240,197.383,1269.413,2158.478,869.768,60.771,6.240,3.963,2.219,1.972,0.710,1.823,2.429,2.081,1.850,1.443,1.212,1.423,1.144,0.928,1.492,1.002,1.026,0.988,0.837,0.779,0.974,0.973,1.026,1.089,0.867,0.715,0.837,0.804,0.782,0.860,0.765,0.788,0.739,0.836,0.772,0.859,1.542,2.976,3.869,3.045,1.663,1.089,2.055,7.113,19.884,29.246,26.485,14.171,3.530,0.794,
245,281.524,201.155,1361.042,2394.191,1002.846,87.784,4.696,3.290,1.819,1.505,1.818,1.751,1.301,1.824,2.306,1.471,1.071,0.940,1.237,1.225,0.941,1.076,0.935,0.777,0.896,0.875,1.007,1.133,0.878,0.852,0.752,0.690,1.062,0.726,0.690,0.732,0.691,0.691,0.988,0.759,0.823,0.876,1.009,2.137,3.950,4.526,3.139,1.370,0.982,2.762,10.959,26.373,38.741,33.770,18.040,
250,533.571,206.004,172.739,1548.428,2764.767,1472.669,77.231,3.306,2.774,1.624,1.872,1.939,1.857,1.446,1.174,2.005,1.760,1.001,1.240,0.965,1.106,1.091,1.192,0.664,0.904,0.866,1.073,0.862,0.749,0.787,0.846,0.799,1.065,0.686,0.700,0.774,0.833,0.866,0.800,0.825,0.751,0.929,0.666,0.783,1.433,3.345,5.583,4.814,2.592,1.257,1.002,3.141,14.026,33.586,52.117,
255,328.957,532.135,190.544,189.816,1662.816,3987.481,1584.448,90.206,3.065,2.246,2.239,1.720,2.327,1.810,1.215,1.201,1.474,1.334,1.177,1.202,1.125,1.250,1.037,1.000,1.130,1.068,0.996,1.104,0.989,0.819,0.875,0.695,0.706,0.634,0.575,0.735,0.745,0.708,0.734,0.666,1.046,0.773,0.743,0.783,0.703,0.947,1.902,4.569,6.184,5.667,2.799,1.128,1.059,3.463,17.797,
260,61.035,421.098,525.306,138.641,201.289,2342.128,4621.805,1630.449,96.691,3.015,3.655,2.644,2.055,1.497,1.414,1.410,1.332,1.087,1.030,1.495,0.852,0.789,1.174,0.720,1.071,1.024,1.043,1.013,0.922,0.920,1.025,0.903,0.825,0.762,0.708,0.646,0.642,0.842,0.727,0.727,0.731,0.923,0.785,0.661,0.614,0.726,0.711,1.168,2.953,7.245,8.567,5.548,2.155,1.090,1.128,
265,10.277,89.673,466.576,481.817,107.723,237.035,2802.841,4577.850,1856.661,84.597,2.833,3.074,2.576,2.022,1.362,1.279,1.529,1.388,1.040,0.669,1.001,0.960,0.989,0.912,1.042,1.061,1.039,1.040,0.827,0.804,0.979,0.889,0.779,0.656,0.781,0.765,0.677,0.806,0.570,0.606,0.868,0.819,0.888,0.730,0.784,0.742,0.606,0.681,0.761,1.658,5.329,9.531,9.174,5.067,1.714,
270,16.492,13.898,119.923,545.403,441.914,104.341,305.868,2708.876,4932.321,1736.375,98.905,4.081,3.136,2.760,1.537,2.050,1.450,1.322,1.288,1.020,1.228,0.984,1.028,1.181,1.067,1.126,1.057,0.966,0.862,0.770,0.793,1.075,0.834,0.555,0.688,0.910,0.774,0.844,0.836,0.763,0.875,0.678,0.745,0.710,0.711,0.691,0.708,0.680,0.662,0.799,0.981,3.011,7.928,11.376,10.082,
