"Summary"
"[Software Information]"
"Software Name:","LabSolutions RF"
"Version:","1.12"
"[Data Information]"
"Data is:","Original"
"Sample Name"
"Sample ID"
"Option"
"Analyst"
"Date/Time:","07/25/2020 06:54:38 PM"
"Comments"
"[Instrument Information]"
"Instrument Name:","RF-6000"
"Instrument Type:","RF-6000 Series"
"Model (S/N):","RF-6000 (A40245500756SA)"

"Parameter"
"[Measurement]"
"Spectrum Type:","3D"
"EX Wavelength Start:","230.0 nm"
"EX Wavelength End:","500.0 nm"
"Data Interval:","5.0 nm"
"EM Wavelength Start:","230.0 nm"
"EM Wavelength End:","700.0 nm"
"Data Interval:","5.0 nm"
"Scan Speed:","600 nm/min"
"[Instrument]"
"EX Bandwidth:","5.0 nm"
"EM Bandwidth:","5.0 nm"
"Sensitivity:","Low"
"[Attachment]"
"Attachment:","None"
"[Auto Print]"
"Auto Print:","No"
"Report File:",""

"K3_2E - RawData"
"EM Wavelength/EX Wavelength",230,235,240,245,250,255,260,265,270,275,280,285,290,295,300,305,310,315,320,325,330,335,340,345,350,355,360,365,370,375,380,385,390,395,400,405,410,415,420,425,430,435,440,445,450,455,460,465,470,475,480,485,490,495,500,
230,1209.762,466.536,35.682,2.045,3.461,1.915,4.727,2.444,4.003,1.343,1.980,2.000,1.341,2.084,2.024,2.080,1.694,1.766,1.960,1.603,1.338,1.120,1.085,0.990,1.097,1.204,0.973,1.008,0.974,0.976,0.944,0.974,0.838,0.798,0.891,0.835,0.742,1.161,1.722,2.425,2.600,1.779,1.205,1.580,3.697,8.287,11.526,9.984,5.182,1.903,0.723,0.655,0.612,0.579,0.665,
235,939.180,1603.785,565.444,36.025,2.726,3.535,3.426,2.906,2.811,2.252,2.187,1.278,2.006,2.257,1.770,2.417,2.601,1.916,1.639,2.029,1.329,1.262,1.267,1.294,1.251,1.080,0.957,1.041,1.127,0.956,0.840,0.776,0.769,0.680,0.748,0.614,0.750,0.824,0.982,1.307,2.387,2.961,2.718,1.779,1.020,1.849,5.211,10.772,14.292,14.637,7.808,2.093,0.686,0.759,0.643,
240,166.085,1188.257,1687.329,674.890,47.839,4.704,2.980,2.631,1.649,2.777,2.427,1.788,1.566,1.290,2.361,2.499,2.061,1.883,1.316,1.527,1.413,1.422,1.529,1.205,1.140,1.179,1.075,1.062,0.959,0.857,0.903,0.887,0.779,0.792,0.833,0.700,0.735,0.712,0.909,0.853,0.895,1.640,3.085,4.032,3.088,1.680,1.078,1.694,5.774,15.560,23.342,20.784,11.216,3.196,0.841,
245,252.391,166.493,1072.787,1891.136,757.400,68.455,5.115,2.046,4.095,1.507,2.078,1.575,1.843,1.376,1.467,2.177,1.871,1.934,1.857,1.708,1.863,1.280,1.503,1.197,1.067,0.932,1.199,1.181,1.063,1.119,1.018,0.977,0.792,0.777,0.910,0.750,0.854,0.869,0.923,0.778,0.788,0.791,1.128,2.343,3.933,4.696,3.158,1.373,0.892,2.320,8.787,21.191,30.871,26.232,13.910,
250,539.395,213.780,149.302,1224.552,2106.343,1088.583,60.580,4.243,3.462,2.139,2.839,2.181,1.978,1.871,2.053,1.984,1.826,2.104,1.926,1.629,1.495,1.050,1.150,1.311,1.270,1.169,1.160,0.781,1.033,1.046,1.207,0.990,0.974,0.669,0.783,0.859,0.701,0.923,0.847,0.771,0.792,0.931,0.798,0.803,1.461,3.487,5.592,4.976,2.702,1.136,0.960,2.646,11.398,25.962,40.558,
255,346.748,529.406,184.529,154.993,1351.735,2960.670,1211.478,70.689,3.393,2.748,2.681,1.768,1.654,1.391,2.052,1.815,1.463,1.590,1.777,1.682,1.680,1.355,1.021,1.245,1.181,0.961,1.210,1.061,1.015,0.977,0.970,0.895,0.968,0.799,0.785,0.890,0.702,0.812,0.858,0.828,0.757,0.854,0.872,0.808,0.637,0.891,2.241,4.474,6.303,5.797,2.702,1.192,1.131,3.091,13.893,
260,64.141,431.503,522.940,136.873,179.369,1809.327,3607.517,1231.224,71.200,2.134,2.911,1.792,1.915,1.356,2.082,1.640,2.113,1.845,1.747,1.664,1.667,1.503,1.337,1.291,1.293,1.042,1.142,1.023,1.107,0.879,0.965,0.983,1.019,0.823,0.841,0.795,0.757,0.758,0.825,0.873,0.718,0.713,0.885,0.825,0.790,0.682,0.705,1.029,3.015,7.251,8.925,5.507,2.309,1.086,1.202,
265,12.853,97.028,472.908,490.321,111.679,201.263,2201.936,3508.025,1414.207,62.373,2.461,2.314,2.779,2.681,1.847,1.530,1.889,1.878,1.679,1.869,1.759,1.191,1.204,1.054,1.428,1.187,1.067,1.114,1.123,1.137,0.926,0.829,0.946,0.623,0.875,0.778,0.872,0.793,0.808,0.713,0.690,0.813,0.727,0.779,0.661,0.728,0.857,0.678,0.759,1.890,5.438,9.602,9.666,5.153,1.743,
270,12.487,17.807,127.012,564.009,455.960,105.137,249.669,2119.207,3825.873,1294.843,72.772,2.754,2.482,2.684,1.543,2.203,1.903,1.848,1.597,1.574,1.868,1.625,1.387,1.125,1.000,1.116,1.185,0.994,1.124,0.988,0.968,0.834,0.900,0.838,0.955,0.856,0.809,0.875,0.767,0.811,0.868,0.737,0.762,0.702,0.646,0.652,0.689,0.642,0.683,0.686,0.967,2.998,8.147,12.024,10.158,
