"Summary"
"[Software Information]"
"Software Name:","LabSolutions RF"
"Version:","1.12"
"[Data Information]"
"Data is:","Original"
"Sample Name"
"Sample ID"
"Option"
"Analyst"
"Date/Time:","07/24/2020 04:41:31 PM"
"Comments"
"[Instrument Information]"
"Instrument Name:","RF-6000"
"Instrument Type:","RF-6000 Series"
"Model (S/N):","RF-6000 (A40245500756SA)"

"Parameter"
"[Measurement]"
"Spectrum Type:","3D"
"EX Wavelength Start:","230.0 nm"
"EX Wavelength End:","500.0 nm"
"Data Interval:","5.0 nm"
"EM Wavelength Start:","230.0 nm"
"EM Wavelength End:","700.0 nm"
"Data Interval:","5.0 nm"
"Scan Speed:","600 nm/min"
"[Instrument]"
"EX Bandwidth:","5.0 nm"
"EM Bandwidth:","5.0 nm"
"Sensitivity:","Low"
"[Attachment]"
"Attachment:","None"
"[Auto Print]"
"Auto Print:","No"
"Report File:",""

"K6_3 - RawData"
"EM Wavelength/EX Wavelength",230,235,240,245,250,255,260,265,270,275,280,285,290,295,300,305,310,315,320,325,330,335,340,345,350,355,360,365,370,375,380,385,390,395,400,405,410,415,420,425,430,435,440,445,450,455,460,465,470,475,480,485,490,495,500,
230,1644.695,569.022,46.038,3.286,4.009,0.947,1.217,1.706,1.625,1.910,1.530,1.125,1.323,1.121,1.194,2.079,0.907,1.361,1.381,1.024,1.136,1.201,1.152,1.106,0.998,1.039,1.221,1.316,1.249,0.886,0.853,0.918,1.126,0.758,0.841,0.815,0.950,1.149,1.551,2.383,2.466,1.913,1.295,1.728,4.662,10.267,14.898,12.648,6.660,2.486,0.922,0.622,0.647,0.558,0.744,
235,1378.748,1868.872,725.114,43.522,2.776,2.964,2.412,0.886,1.909,2.092,1.592,1.705,1.255,0.713,0.976,1.107,1.843,1.310,1.106,1.313,0.976,1.357,1.011,0.929,0.908,1.159,1.350,1.244,1.183,1.009,0.906,1.057,0.938,0.955,0.746,0.874,0.825,0.974,1.041,1.242,2.351,3.067,2.861,1.815,0.963,2.171,6.868,13.626,18.904,18.561,10.126,2.644,0.789,0.633,0.668,
240,221.184,1349.752,2175.751,952.662,66.900,2.711,2.181,2.790,1.726,1.253,1.608,2.052,1.307,1.538,1.489,1.603,1.312,1.468,1.489,1.117,0.848,0.714,0.989,1.146,1.180,1.114,1.159,1.301,1.194,1.113,1.016,1.136,1.042,0.767,0.702,0.744,0.845,0.757,0.804,0.885,0.975,1.716,2.924,3.840,3.306,1.728,1.134,2.063,7.660,19.283,29.611,27.324,15.230,3.980,0.842,
245,257.096,202.976,1373.134,2642.448,1074.851,90.838,2.963,2.351,2.401,2.042,2.062,1.071,1.423,1.461,1.071,1.597,1.179,1.511,1.670,0.794,0.869,1.037,0.769,1.252,0.854,1.097,1.263,1.377,1.217,0.974,0.860,1.007,0.924,0.846,0.701,0.875,0.827,0.855,0.879,0.833,0.792,0.851,1.367,2.420,4.062,4.913,3.359,1.508,0.920,2.706,11.336,27.721,41.294,35.223,18.943,
250,540.184,206.223,174.979,1767.675,3087.035,1564.686,79.982,2.940,2.107,2.018,1.686,2.000,1.782,1.205,0.766,0.948,1.284,1.445,1.382,1.195,0.978,1.129,0.859,1.045,1.073,1.079,0.991,1.159,1.088,1.071,0.934,0.872,0.805,0.832,0.735,0.857,0.779,0.696,0.644,0.716,0.879,0.819,0.880,0.865,1.381,3.496,5.615,5.046,2.664,1.307,1.156,3.480,14.861,35.688,54.288,
255,343.669,523.599,182.506,217.455,2014.812,4266.262,1736.861,104.996,3.241,1.841,1.773,2.026,1.757,1.244,1.511,1.612,1.437,1.066,1.331,1.115,0.811,1.187,0.926,1.088,1.120,1.262,1.327,1.315,1.045,0.987,0.943,1.068,0.967,0.822,0.771,0.710,0.739,0.797,0.717,0.866,0.808,0.779,0.954,0.785,0.738,1.000,2.192,4.559,6.307,5.885,2.888,1.341,1.080,3.883,18.415,
260,63.886,420.009,515.720,138.262,247.150,2600.927,4968.220,1880.342,109.807,2.440,3.267,1.959,1.890,1.285,1.374,1.778,1.237,1.239,1.398,1.536,0.879,1.125,0.908,0.935,1.102,1.177,1.310,1.255,1.199,0.995,1.065,1.199,0.821,0.994,0.780,0.726,0.856,0.914,0.779,0.866,0.932,0.884,0.926,0.767,0.910,0.802,0.847,1.273,3.073,7.091,8.920,5.842,2.161,1.077,1.214,
265,9.426,93.747,470.181,488.099,110.842,271.332,3063.754,5343.090,2319.707,94.529,3.550,3.664,1.076,1.991,1.439,1.199,0.873,1.336,1.465,1.056,0.928,1.206,1.163,1.082,1.178,1.054,1.291,1.079,1.073,0.996,1.031,0.942,1.002,0.835,0.731,0.820,0.651,0.908,0.849,0.969,0.806,0.666,0.846,0.830,0.779,0.803,0.782,0.796,0.956,1.898,5.306,9.414,9.520,5.196,1.865,
270,10.472,8.194,121.059,546.936,455.674,106.254,334.725,3108.051,6274.707,1971.769,114.339,3.416,2.258,2.480,2.227,1.524,1.413,1.339,1.409,1.278,1.037,1.080,0.964,1.008,1.163,1.244,1.302,1.394,1.063,1.108,0.901,1.102,0.902,0.916,0.801,0.738,0.984,0.822,0.824,0.818,0.874,0.908,0.875,0.781,0.726,0.920,0.836,0.663,0.652,0.706,1.011,2.959,8.181,11.520,10.243,
