"Summary"
"[Software Information]"
"Software Name:","LabSolutions RF"
"Version:","1.12"
"[Data Information]"
"Data is:","Original"
"Sample Name"
"Sample ID"
"Option"
"Analyst"
"Date/Time:","07/25/2020 05:59:03 PM"
"Comments"
"[Instrument Information]"
"Instrument Name:","RF-6000"
"Instrument Type:","RF-6000 Series"
"Model (S/N):","RF-6000 (A40245500756SA)"

"Parameter"
"[Measurement]"
"Spectrum Type:","3D"
"EX Wavelength Start:","230.0 nm"
"EX Wavelength End:","500.0 nm"
"Data Interval:","5.0 nm"
"EM Wavelength Start:","230.0 nm"
"EM Wavelength End:","700.0 nm"
"Data Interval:","5.0 nm"
"Scan Speed:","600 nm/min"
"[Instrument]"
"EX Bandwidth:","5.0 nm"
"EM Bandwidth:","5.0 nm"
"Sensitivity:","Low"
"[Attachment]"
"Attachment:","None"
"[Auto Print]"
"Auto Print:","No"
"Report File:",""

"K3_1 - RawData"
"EM Wavelength/EX Wavelength",230,235,240,245,250,255,260,265,270,275,280,285,290,295,300,305,310,315,320,325,330,335,340,345,350,355,360,365,370,375,380,385,390,395,400,405,410,415,420,425,430,435,440,445,450,455,460,465,470,475,480,485,490,495,500,
230,2665.223,934.363,76.349,-1.341,1.382,-0.195,0.320,1.736,1.840,2.113,1.680,1.590,2.099,1.524,0.752,0.940,1.409,1.408,1.676,1.059,0.683,0.946,0.923,1.071,0.988,1.332,1.292,1.366,1.316,1.094,1.220,1.099,1.060,0.778,1.047,0.898,0.969,1.348,1.811,2.716,2.860,2.207,1.228,1.805,5.973,13.787,20.536,16.706,8.057,2.967,0.902,0.677,0.712,0.751,0.706,
235,2035.137,3089.295,1179.210,57.750,0.483,4.621,1.220,2.592,1.521,1.699,2.508,2.034,1.570,1.175,0.951,1.305,1.640,1.429,1.537,1.230,1.225,0.871,1.148,1.015,0.940,1.019,1.050,1.302,1.302,1.269,1.096,0.935,0.967,0.868,0.896,0.819,0.869,0.863,0.959,1.534,2.710,3.693,3.270,1.938,1.178,2.775,9.573,17.298,23.377,26.091,13.652,3.323,0.820,0.720,0.605,
240,279.541,2111.631,3554.469,1298.669,96.234,3.877,4.605,3.365,1.822,1.733,1.664,2.005,1.613,1.244,1.548,1.628,1.483,1.227,1.031,1.039,1.025,1.007,0.913,0.964,1.074,1.225,1.150,1.375,1.335,1.243,1.361,0.961,1.065,0.837,0.850,0.926,0.985,0.987,0.781,0.842,1.080,1.873,3.425,4.542,3.725,2.001,1.306,2.595,9.645,32.884,40.988,38.757,20.195,5.107,0.776,
245,304.178,285.989,2233.220,3882.032,1593.689,160.040,5.396,4.890,1.968,1.770,1.594,2.124,1.200,1.666,1.272,1.229,0.759,0.858,1.099,0.991,0.785,0.892,1.200,1.132,0.989,1.192,1.246,1.428,1.154,1.199,1.141,0.974,1.111,1.098,0.905,0.956,0.831,0.916,0.841,0.855,0.850,0.935,1.331,2.619,4.715,5.509,3.754,1.549,1.020,4.101,15.163,40.327,55.813,54.137,24.433,
250,627.802,227.986,279.458,2746.595,4567.044,2835.881,132.521,6.161,4.096,2.362,2.037,1.919,2.280,1.231,1.166,1.088,1.557,1.366,0.978,0.863,1.023,1.023,1.036,1.107,0.968,1.140,1.265,1.222,0.969,0.997,0.958,0.970,1.096,1.076,0.969,0.937,0.887,1.070,1.043,0.958,0.797,0.905,0.860,0.884,1.520,4.026,6.400,5.804,2.987,1.448,1.102,4.927,20.619,53.179,73.319,
255,395.985,622.080,214.330,317.370,3082.435,7694.543,2746.139,209.395,4.065,3.247,2.594,2.798,1.661,1.095,1.347,1.219,1.142,1.102,0.915,1.046,1.293,1.134,0.928,1.218,0.964,1.426,1.304,1.429,1.360,1.136,0.993,1.199,1.092,0.945,1.006,0.963,0.889,0.852,0.885,0.870,0.959,0.704,0.846,0.745,0.829,1.066,2.432,5.255,7.150,6.497,3.217,1.320,1.273,5.023,24.169,
260,68.594,480.196,585.344,155.615,460.340,4385.277,8329.445,3925.956,154.946,5.130,3.830,2.605,2.346,1.131,1.572,1.462,0.713,1.341,1.213,1.026,1.080,1.081,1.077,1.456,1.095,1.102,1.295,1.283,1.238,1.165,0.923,1.004,0.969,1.054,0.860,0.987,0.963,0.999,0.881,0.995,0.879,0.806,0.868,0.876,0.831,0.689,0.933,1.284,3.507,7.866,10.015,6.213,2.234,1.201,1.297,
265,19.973,105.713,530.067,555.376,128.054,457.118,5461.268,10491.436,3482.630,176.881,5.232,4.278,2.701,1.979,1.538,1.124,1.452,1.203,1.509,0.847,1.293,1.087,1.071,1.454,0.997,1.212,1.305,1.172,1.074,1.078,1.209,1.141,0.974,1.001,1.124,1.001,1.000,0.970,0.996,0.994,1.056,0.920,0.847,0.948,0.869,0.808,0.839,0.775,0.947,2.081,6.300,10.539,10.720,5.576,2.022,
270,43.410,21.470,144.531,628.380,508.353,128.294,583.813,5584.197,9508.761,3285.844,167.933,5.397,4.234,2.023,2.594,1.806,2.204,1.415,1.305,0.922,1.317,0.954,0.782,1.226,1.091,1.305,1.246,1.398,1.200,1.073,1.286,1.484,1.533,1.378,1.352,1.304,1.387,1.463,1.273,1.419,1.396,1.279,1.189,1.126,1.225,1.169,1.161,1.018,0.928,0.867,1.215,3.437,9.005,12.985,11.024,
