"Summary"
"[Software Information]"
"Software Name:","LabSolutions RF"
"Version:","1.12"
"[Data Information]"
"Data is:","Original"
"Sample Name"
"Sample ID"
"Option"
"Analyst"
"Date/Time:","07/24/2020 11:19:50 PM"
"Comments"
"[Instrument Information]"
"Instrument Name:","RF-6000"
"Instrument Type:","RF-6000 Series"
"Model (S/N):","RF-6000 (A40245500756SA)"

"Parameter"
"[Measurement]"
"Spectrum Type:","3D"
"EX Wavelength Start:","230.0 nm"
"EX Wavelength End:","500.0 nm"
"Data Interval:","5.0 nm"
"EM Wavelength Start:","230.0 nm"
"EM Wavelength End:","700.0 nm"
"Data Interval:","5.0 nm"
"Scan Speed:","600 nm/min"
"[Instrument]"
"EX Bandwidth:","5.0 nm"
"EM Bandwidth:","5.0 nm"
"Sensitivity:","Low"
"[Attachment]"
"Attachment:","None"
"[Auto Print]"
"Auto Print:","No"
"Report File:",""

"K6_13 - RawData"
"EM Wavelength/EX Wavelength",230,235,240,245,250,255,260,265,270,275,280,285,290,295,300,305,310,315,320,325,330,335,340,345,350,355,360,365,370,375,380,385,390,395,400,405,410,415,420,425,430,435,440,445,450,455,460,465,470,475,480,485,490,495,500,
230,1368.817,456.850,29.318,-5.565,0.449,-1.612,2.036,-1.354,0.133,-0.576,0.337,0.564,0.473,0.022,1.272,0.712,0.237,0.711,0.492,1.148,1.003,1.062,0.724,0.745,0.696,0.661,0.672,0.791,0.730,0.692,0.669,0.632,0.448,0.568,0.363,0.523,0.635,0.740,1.396,2.274,2.388,1.620,0.953,1.328,3.602,8.123,11.704,9.782,5.109,1.790,0.623,0.539,0.524,0.436,0.522,
235,1018.993,1435.416,551.693,28.438,-1.868,-3.002,-1.167,-1.181,-0.536,-0.465,0.055,0.386,0.983,0.350,0.736,0.361,0.739,0.749,1.413,0.999,1.364,0.736,0.612,1.000,0.792,0.791,0.802,0.802,0.822,0.918,0.663,0.807,0.511,0.577,0.625,0.557,0.632,0.545,0.608,1.121,2.117,3.059,2.887,1.659,1.008,1.676,5.504,10.676,14.258,14.354,7.765,2.149,0.489,0.456,0.549,
240,148.451,1054.499,1668.968,701.247,52.232,-3.474,0.777,-0.046,-0.432,0.465,-0.170,0.349,0.752,-0.019,0.381,0.724,0.639,0.534,1.043,0.891,1.096,0.639,0.643,0.784,0.766,0.637,0.889,0.614,0.731,0.665,0.716,0.678,0.529,0.603,0.486,0.536,0.520,0.551,0.538,0.829,0.761,1.495,2.698,3.875,2.997,1.658,0.928,1.748,5.647,15.088,22.961,20.866,11.073,2.943,0.551,
245,245.182,156.887,1110.233,1932.389,828.576,64.631,-0.508,0.700,-0.443,0.129,0.586,0.146,0.617,0.505,0.711,0.461,0.772,0.356,0.852,0.685,0.814,0.776,1.128,0.770,0.850,0.731,0.773,0.815,0.970,0.771,0.740,0.748,0.673,0.357,0.381,0.490,0.572,0.658,0.617,0.605,0.485,0.600,0.871,2.293,3.831,4.678,3.206,1.316,0.899,2.257,8.979,20.961,30.870,27.050,14.501,
250,520.294,199.775,160.629,1265.781,2223.710,1120.940,60.210,0.251,0.183,1.045,1.234,0.120,0.208,0.306,0.562,0.944,0.645,0.565,0.383,1.182,0.653,1.089,1.277,1.015,0.836,0.671,0.949,1.005,0.712,0.580,0.802,0.491,0.613,0.572,0.402,0.620,0.567,0.490,0.527,0.667,0.567,0.661,0.625,0.697,1.329,3.315,5.529,5.144,2.626,1.159,0.968,2.596,11.015,26.604,42.021,
255,320.756,532.112,185.110,182.976,1356.411,3160.672,1230.033,69.157,0.665,1.042,0.490,1.142,0.224,0.627,0.478,1.039,0.783,0.694,0.815,1.040,0.879,0.741,0.769,0.755,0.704,0.827,0.823,1.014,0.839,0.588,0.802,0.663,0.587,0.552,0.561,0.494,0.473,0.441,0.597,0.496,0.561,0.622,0.654,0.515,0.530,0.790,2.070,4.362,6.249,5.740,2.703,1.083,0.918,2.956,13.913,
260,48.240,424.536,514.329,132.967,164.540,1922.128,3571.418,1330.750,70.584,0.679,0.963,1.133,0.793,-0.244,0.408,0.184,0.791,1.014,0.624,1.044,0.976,1.003,0.808,0.822,0.797,0.913,1.122,0.807,0.642,0.622,0.770,0.743,0.614,0.593,0.566,0.629,0.644,0.464,0.646,0.575,0.680,0.587,0.676,0.568,0.576,0.692,0.667,1.091,3.032,7.132,8.627,5.464,2.094,0.917,1.024,
265,-10.072,87.340,487.038,495.976,108.675,200.795,2273.695,3793.716,1489.557,63.033,1.654,1.061,0.657,1.079,0.200,1.048,0.671,0.628,0.863,0.766,1.014,0.656,0.837,0.791,0.712,0.841,1.033,0.911,0.778,0.827,0.617,0.587,0.459,0.559,0.574,0.536,0.559,0.486,0.676,0.761,0.706,0.563,0.590,0.731,0.724,0.591,0.663,0.652,0.678,1.667,5.171,9.415,9.765,5.183,1.742,
270,-3.345,-3.182,120.282,572.718,458.490,103.554,262.690,2253.235,4155.359,1353.653,75.505,1.804,1.038,0.896,1.575,0.512,0.946,0.738,0.980,0.726,1.211,1.089,0.934,0.865,0.543,0.563,0.437,0.764,0.773,0.551,0.839,0.624,0.439,0.493,0.355,0.347,0.377,0.578,0.702,0.665,0.557,0.742,0.761,0.698,0.687,0.605,0.682,0.544,0.617,0.619,0.860,2.828,8.013,11.839,10.024,
275,-5.841,1.017,0.211,191.022,636.825,494.151,69.712,243.864,2354.194,3888.194,1461.380,71.284,1.883,1.840,1.683,1.043,0.583,0.910,0.593,0.676,0.954,0.810,0.657,0.942,0.649,0.768,0.815,0.875,0.706,0.695,0.816,0.614,0.485,0.702,0.656,0.485,0.661,0.657,0.657,0.571,0.700,0.716,0.667,0.742,0.717,0.711,0.721,0.729,0.575,0.690,0.546,0.737,1.308,5.018,11.424,
280,-6.548,0.970,0.357,14.576,271.491,846.811,390.592,51.271,238.703,2399.722,4099.388,1548.107,69.473,1.940,2.084,1.057,1.120,0.573,1.264,1.071,0.802,0.681,0.782,0.835,0.707,0.945,1.066,0.771,0.542,0.515,0.695,0.706,0.495,0.707,0.602,0.649,0.675,0.554,0.645,0.744,0.735,0.754,0.778,0.862,0.814,0.755,0.897,0.750,0.602,0.687,0.600,0.696,0.606,0.854,2.425,
