"Summary"
"[Software Information]"
"Software Name:","LabSolutions RF"
"Version:","1.12"
"[Data Information]"
"Data is:","Original"
"Sample Name"
"Sample ID"
"Option"
"Analyst"
"Date/Time:","07/25/2020 10:49:12 PM"
"Comments"
"[Instrument Information]"
"Instrument Name:","RF-6000"
"Instrument Type:","RF-6000 Series"
"Model (S/N):","RF-6000 (A40245500756SA)"

"Parameter"
"[Measurement]"
"Spectrum Type:","3D"
"EX Wavelength Start:","230.0 nm"
"EX Wavelength End:","500.0 nm"
"Data Interval:","5.0 nm"
"EM Wavelength Start:","230.0 nm"
"EM Wavelength End:","700.0 nm"
"Data Interval:","5.0 nm"
"Scan Speed:","600 nm/min"
"[Instrument]"
"EX Bandwidth:","5.0 nm"
"EM Bandwidth:","5.0 nm"
"Sensitivity:","Low"
"[Attachment]"
"Attachment:","None"
"[Auto Print]"
"Auto Print:","No"
"Report File:",""

"K3_6E - RawData"
"EM Wavelength/EX Wavelength",230,235,240,245,250,255,260,265,270,275,280,285,290,295,300,305,310,315,320,325,330,335,340,345,350,355,360,365,370,375,380,385,390,395,400,405,410,415,420,425,430,435,440,445,450,455,460,465,470,475,480,485,490,495,500,
230,1953.932,667.284,52.544,3.467,2.999,1.699,1.669,1.456,1.334,1.158,0.940,1.263,1.020,1.152,0.879,0.599,1.051,0.292,0.744,0.362,0.710,0.952,0.915,0.794,0.627,0.739,0.936,1.148,1.008,0.705,0.831,0.831,0.645,0.816,0.750,0.808,0.887,1.084,1.967,2.975,2.907,2.010,1.225,1.889,5.397,11.883,17.194,14.874,6.980,2.419,0.707,0.758,0.588,0.663,0.671,
235,1458.848,2164.407,758.083,43.010,2.156,1.029,1.362,0.453,1.105,0.967,1.257,1.222,1.167,2.077,1.043,1.191,1.294,0.569,0.815,0.908,0.640,0.870,0.984,0.822,0.969,1.008,1.043,1.178,0.893,0.830,0.823,0.780,0.541,0.805,0.693,0.624,0.760,0.731,0.890,1.456,2.782,3.709,3.271,1.966,1.074,2.392,8.172,15.867,19.554,19.485,10.734,2.815,0.675,0.684,0.574,
240,215.036,1779.665,2279.908,983.929,66.619,3.055,2.628,-0.033,1.659,1.808,1.676,1.217,0.973,1.166,0.811,0.808,0.967,0.939,0.773,0.890,1.220,0.778,0.698,0.612,1.069,0.863,1.061,0.994,0.989,0.988,0.822,0.719,0.825,0.745,0.603,0.790,0.704,0.814,0.857,0.745,1.113,1.916,3.563,4.765,3.712,1.975,1.213,2.132,7.896,20.839,34.551,29.050,14.977,3.807,0.673,
245,316.029,276.496,1485.832,3041.914,1091.993,102.618,2.526,-0.220,0.881,0.576,1.341,0.639,1.590,0.849,0.886,0.823,0.941,0.644,0.933,0.816,0.592,0.884,0.754,0.570,1.057,0.842,1.064,1.054,0.838,0.894,0.710,0.747,0.748,0.774,0.744,0.814,0.594,0.747,0.901,0.775,0.801,0.822,1.305,2.773,4.868,5.480,3.753,1.484,0.989,2.910,12.791,30.597,42.105,38.079,19.631,
250,638.524,236.142,199.791,2087.344,3182.069,1726.071,90.388,1.200,2.610,1.295,1.190,1.005,1.164,1.935,0.754,1.310,0.774,0.941,0.570,0.700,0.716,1.129,0.974,0.967,0.928,0.634,1.106,1.089,1.005,0.812,0.749,1.003,0.744,0.938,0.693,0.518,0.716,0.774,0.906,0.831,0.802,0.752,0.712,0.903,1.614,3.956,6.603,5.995,3.033,1.435,0.960,3.709,16.926,39.892,61.925,
255,403.452,618.546,215.538,227.233,1991.915,4498.541,1758.539,109.977,2.981,2.000,1.339,1.392,0.953,0.985,1.064,0.891,1.125,0.865,0.696,0.530,0.814,0.538,0.580,0.872,0.849,0.953,1.089,1.010,1.090,0.832,0.674,0.741,0.661,0.799,0.725,0.350,0.700,0.865,0.722,0.985,0.673,0.860,0.788,0.829,0.688,0.950,2.416,5.321,7.264,6.455,3.118,1.226,0.957,4.108,21.694,
260,78.161,485.848,594.826,155.327,238.048,2625.037,5210.272,1874.184,125.521,3.710,2.471,1.732,1.955,0.955,0.497,1.279,0.761,0.655,0.693,0.804,0.566,0.776,0.836,0.863,0.760,1.115,1.113,0.941,1.160,0.848,0.861,0.826,0.758,0.925,0.606,0.654,0.855,0.791,0.963,0.810,0.818,0.873,0.742,0.713,0.724,0.795,0.750,1.224,3.345,8.082,9.964,6.133,2.241,1.205,1.290,
265,5.559,107.755,548.039,558.298,118.967,271.043,3292.635,5262.677,3372.654,154.821,3.204,2.236,1.913,1.519,1.151,1.322,1.194,0.702,0.512,0.628,0.463,0.864,0.891,1.090,1.007,0.859,1.143,0.881,0.993,0.891,0.614,0.752,0.702,0.594,0.698,0.666,0.730,0.905,0.932,0.676,0.812,0.699,0.725,0.782,0.722,0.658,0.674,0.654,0.852,2.050,6.025,10.676,10.787,5.666,1.891,
270,12.531,9.597,142.813,644.452,503.872,116.506,353.504,3233.121,9435.405,2533.867,127.311,2.992,2.360,2.057,1.736,1.081,0.852,1.088,0.649,0.790,1.022,1.110,0.877,0.809,0.689,0.977,1.109,0.791,0.897,1.050,0.824,0.957,0.771,0.817,0.582,0.583,0.906,0.850,0.910,0.733,0.833,0.762,0.817,0.726,0.668,0.786,0.703,0.715,0.788,0.688,1.084,3.556,9.027,13.142,11.104,
