"Summary"
"[Software Information]"
"Software Name:","LabSolutions RF"
"Version:","1.12"
"[Data Information]"
"Data is:","Original"
"Sample Name"
"Sample ID"
"Option"
"Analyst"
"Date/Time:","07/26/2020 04:17:00 PM"
"Comments"
"[Instrument Information]"
"Instrument Name:","RF-6000"
"Instrument Type:","RF-6000 Series"
"Model (S/N):","RF-6000 (A40245500756SA)"

"Parameter"
"[Measurement]"
"Spectrum Type:","3D"
"EX Wavelength Start:","230.0 nm"
"EX Wavelength End:","500.0 nm"
"Data Interval:","5.0 nm"
"EM Wavelength Start:","230.0 nm"
"EM Wavelength End:","700.0 nm"
"Data Interval:","5.0 nm"
"Scan Speed:","600 nm/min"
"[Instrument]"
"EX Bandwidth:","5.0 nm"
"EM Bandwidth:","5.0 nm"
"Sensitivity:","Low"
"[Attachment]"
"Attachment:","None"
"[Auto Print]"
"Auto Print:","No"
"Report File:",""

"K3_11E - RawData"
"EM Wavelength/EX Wavelength",230,235,240,245,250,255,260,265,270,275,280,285,290,295,300,305,310,315,320,325,330,335,340,345,350,355,360,365,370,375,380,385,390,395,400,405,410,415,420,425,430,435,440,445,450,455,460,465,470,475,480,485,490,495,500,
230,2075.840,719.006,48.362,-2.903,-1.293,-0.900,1.269,1.013,2.007,1.243,1.107,1.941,1.030,1.885,1.983,1.674,1.502,1.842,1.830,1.989,1.415,1.412,1.421,1.313,1.292,1.465,1.427,1.455,1.266,1.298,1.199,0.930,1.116,0.908,0.855,0.811,0.842,1.029,1.795,2.424,2.624,1.757,1.173,1.781,5.350,12.407,18.022,14.823,7.769,2.514,0.746,0.656,0.533,0.669,0.708,
235,1560.799,2398.633,899.573,48.117,-0.941,0.797,0.845,0.811,1.388,1.644,1.677,2.212,1.697,1.381,1.138,1.603,1.562,1.423,1.736,1.643,1.369,1.591,1.240,1.345,1.305,1.359,1.568,1.367,1.429,1.296,1.047,1.187,0.949,0.947,1.026,0.873,0.860,0.957,0.716,1.311,2.317,3.046,2.772,1.786,1.134,2.543,7.918,16.767,22.780,22.834,13.091,3.236,0.753,0.600,0.660,
240,216.467,1638.553,2812.097,1155.294,78.875,-0.052,0.878,2.264,1.318,2.247,2.090,1.881,1.932,2.327,1.515,2.311,2.190,1.698,1.680,1.722,1.391,1.536,1.585,1.188,1.237,1.372,1.561,1.722,1.455,1.041,1.133,1.070,0.955,0.838,0.773,0.968,0.852,0.836,0.871,0.818,0.949,1.603,2.916,3.874,3.191,1.812,1.051,2.353,8.729,24.259,39.636,36.171,18.039,4.421,0.880,
245,235.101,237.611,1766.479,3323.740,1349.799,115.174,3.869,1.584,1.114,2.195,2.296,2.793,1.564,2.476,1.939,2.182,1.496,1.484,1.680,1.464,1.321,1.262,1.334,1.570,1.433,1.314,1.679,1.533,1.435,1.018,0.979,1.052,1.057,1.144,0.792,0.849,0.947,0.723,0.810,0.872,0.863,0.898,1.169,2.365,4.232,4.774,3.049,1.439,0.892,3.080,14.554,35.090,51.880,43.557,23.356,
250,536.000,196.514,233.067,2110.756,3888.360,2069.338,104.674,1.198,2.286,2.040,2.447,2.341,1.671,2.125,2.398,2.159,1.907,1.781,1.660,1.345,1.321,1.458,1.470,1.256,1.466,1.310,1.481,1.459,1.528,1.331,1.071,0.830,1.068,0.889,0.724,0.769,0.979,0.843,0.969,0.973,0.787,0.848,0.789,0.794,1.516,3.571,5.781,4.938,2.646,1.203,1.090,3.983,18.750,44.137,69.840,
255,321.452,526.909,184.243,240.971,2420.211,5660.607,2300.384,135.019,2.086,1.649,1.796,2.139,2.340,2.663,1.998,2.091,1.604,1.475,1.385,1.680,1.447,1.380,1.435,1.238,1.441,1.497,1.634,1.636,1.281,1.188,0.992,1.191,1.069,0.853,0.907,0.969,0.839,0.889,0.899,0.807,0.762,0.793,0.718,0.834,0.873,0.978,2.232,4.537,6.233,5.765,2.871,1.242,1.055,4.463,23.367,
260,56.831,414.138,515.612,135.505,294.732,3549.181,7028.083,2527.190,142.970,3.587,3.247,3.324,3.246,2.688,2.798,2.204,1.891,2.217,1.557,1.451,1.682,1.615,1.429,1.339,1.168,1.191,1.618,1.563,1.248,1.130,1.187,0.938,0.908,0.943,0.756,0.998,0.833,0.855,0.838,0.939,0.929,0.907,0.897,0.795,0.785,0.737,0.908,1.170,2.896,7.152,8.614,5.610,1.976,1.106,1.223,
265,-3.165,88.008,468.119,487.124,109.843,352.007,4447.546,7479.814,2955.251,128.388,4.538,4.135,3.410,3.239,2.356,2.332,1.899,1.834,1.694,1.674,1.312,1.413,1.503,1.538,1.502,1.537,1.695,1.614,1.402,1.145,1.020,1.149,1.073,0.733,0.876,0.943,0.933,0.728,0.946,0.902,0.945,0.841,0.778,0.823,0.815,0.758,0.764,0.709,0.722,1.729,5.515,9.593,9.384,4.962,1.960,
270,2.240,6.529,121.315,553.148,449.998,103.886,465.605,4544.774,7846.982,2768.023,169.698,4.481,4.335,3.856,3.068,2.422,1.816,1.773,1.714,1.372,1.282,1.557,1.586,1.210,1.569,1.682,1.812,2.026,1.273,1.113,0.960,1.000,1.087,1.131,0.834,0.764,0.985,0.994,1.047,0.727,0.814,1.007,0.862,0.750,0.927,0.818,0.706,0.836,0.697,0.694,1.002,3.027,8.008,11.631,10.110,
