"Summary"
"[Software Information]"
"Software Name:","LabSolutions RF"
"Version:","1.12"
"[Data Information]"
"Data is:","Original"
"Sample Name"
"Sample ID"
"Option"
"Analyst"
"Date/Time:","07/25/2020 11:57:25 PM"
"Comments"
"[Instrument Information]"
"Instrument Name:","RF-6000"
"Instrument Type:","RF-6000 Series"
"Model (S/N):","RF-6000 (A40245500756SA)"

"Parameter"
"[Measurement]"
"Spectrum Type:","3D"
"EX Wavelength Start:","230.0 nm"
"EX Wavelength End:","500.0 nm"
"Data Interval:","5.0 nm"
"EM Wavelength Start:","230.0 nm"
"EM Wavelength End:","700.0 nm"
"Data Interval:","5.0 nm"
"Scan Speed:","600 nm/min"
"[Instrument]"
"EX Bandwidth:","5.0 nm"
"EM Bandwidth:","5.0 nm"
"Sensitivity:","Low"
"[Attachment]"
"Attachment:","None"
"[Auto Print]"
"Auto Print:","No"
"Report File:",""

"K3_7L - RawData"
"EM Wavelength/EX Wavelength",230,235,240,245,250,255,260,265,270,275,280,285,290,295,300,305,310,315,320,325,330,335,340,345,350,355,360,365,370,375,380,385,390,395,400,405,410,415,420,425,430,435,440,445,450,455,460,465,470,475,480,485,490,495,500,
230,1206.674,463.624,37.854,2.721,0.278,-0.082,0.813,0.340,0.251,1.568,0.465,0.194,0.614,0.217,0.605,0.567,0.671,0.432,0.696,0.642,0.956,0.592,0.746,0.571,0.678,0.607,0.957,0.810,0.818,0.763,0.907,0.829,0.737,0.651,0.617,0.626,0.722,0.781,0.997,1.574,1.608,1.372,0.881,1.268,2.767,7.285,11.273,10.252,5.639,2.119,0.668,0.669,0.602,0.705,0.600,
235,999.582,1545.413,612.979,32.555,3.150,3.282,0.926,1.266,0.944,1.430,1.174,0.564,0.583,0.641,0.604,0.711,0.576,0.358,0.702,0.466,0.712,0.729,0.529,0.682,0.728,0.649,0.508,0.711,0.918,0.872,0.884,0.639,0.730,0.789,0.601,0.801,0.626,0.665,0.752,1.122,1.460,2.136,2.147,1.674,0.920,1.783,5.363,10.994,15.745,16.514,8.978,2.543,0.764,0.576,0.720,
240,175.001,1139.532,1873.853,766.787,54.429,2.533,2.112,2.078,-0.317,1.481,0.550,0.956,0.903,0.662,0.892,0.257,0.445,0.814,0.404,0.794,0.787,0.805,0.477,0.809,0.755,0.610,0.915,0.776,0.855,0.773,0.869,0.788,0.615,0.639,0.431,0.615,0.701,0.604,0.673,0.629,0.779,1.211,2.345,3.485,2.839,1.703,0.853,1.765,6.431,18.033,26.574,23.682,12.612,3.265,0.822,
245,275.574,190.168,1229.904,2130.980,862.840,73.438,3.522,1.259,1.787,0.722,0.652,0.282,0.412,0.806,0.638,1.009,0.466,0.389,0.938,0.760,0.680,0.594,0.463,0.668,0.787,0.637,0.813,0.972,0.914,0.718,0.950,0.762,0.329,0.727,0.589,0.570,0.766,0.659,0.711,0.693,0.778,0.912,0.965,2.050,3.826,4.945,3.364,1.508,0.956,2.543,10.085,24.406,35.329,30.088,15.553,
250,596.239,234.069,167.570,1395.613,2424.535,1306.708,63.477,1.797,1.654,1.549,0.577,0.807,0.895,0.988,1.204,0.737,0.477,0.797,1.006,0.740,0.703,0.410,0.624,0.824,0.823,0.718,0.791,0.916,0.801,0.918,0.828,0.851,0.732,0.641,0.565,0.555,0.719,0.707,0.791,0.731,0.795,0.786,0.685,0.742,1.491,3.497,5.946,5.561,2.978,1.327,1.161,3.215,12.948,29.879,46.483,
255,389.972,613.547,212.960,178.300,1509.927,3593.528,1314.628,82.343,3.229,1.646,0.606,0.782,0.845,0.972,1.270,1.121,0.443,0.730,0.679,0.717,0.551,0.428,0.564,0.557,0.722,0.610,0.854,0.804,0.949,0.532,0.773,0.722,0.665,0.653,0.545,0.776,0.674,0.691,0.693,0.687,0.643,0.871,0.763,0.779,0.674,0.987,2.277,5.059,7.139,6.571,3.211,1.260,1.027,3.243,16.068,
260,71.881,499.527,611.263,160.905,189.591,2320.950,3820.345,1433.873,78.130,1.962,2.381,1.263,0.689,1.459,1.035,0.901,0.288,0.646,0.755,0.777,0.671,0.592,0.484,0.712,0.759,0.932,0.829,0.720,0.923,0.745,0.775,0.717,0.595,0.584,0.569,0.863,0.850,0.658,0.745,0.833,0.769,0.665,0.729,0.754,0.764,0.813,0.849,1.272,3.488,8.043,10.057,6.540,2.384,0.930,1.064,
265,17.639,111.675,556.465,575.329,126.780,314.997,2407.030,4070.411,1527.893,64.709,2.164,0.851,0.804,1.190,1.147,1.292,0.511,0.879,0.660,0.758,0.595,0.440,0.487,0.791,0.749,0.850,0.936,0.727,0.924,0.853,0.838,0.563,0.555,0.595,0.644,0.738,0.684,0.718,0.738,0.837,0.843,0.811,0.781,0.712,0.784,0.755,0.629,0.582,0.710,1.931,6.199,11.226,10.935,5.663,1.940,
270,9.968,13.844,140.608,654.101,524.588,113.504,274.368,2358.101,4137.784,1359.338,76.490,2.142,1.327,1.243,1.401,0.700,0.535,0.647,1.103,0.781,0.361,0.725,0.628,0.798,0.852,0.634,0.760,0.833,0.794,0.951,0.741,0.713,0.610,0.705,0.751,0.693,0.813,0.630,0.703,0.788,0.721,0.715,0.631,0.667,0.759,0.743,0.732,0.739,0.638,0.700,1.052,3.407,9.452,13.324,11.507,
275,7.415,8.407,10.394,231.883,719.648,546.107,77.570,257.299,2423.625,3989.147,1444.490,71.647,3.063,1.153,1.112,1.211,0.939,0.836,0.588,0.691,0.659,0.585,0.758,1.037,0.808,0.791,0.744,1.081,0.903,0.494,0.846,0.729,0.656,0.611,0.806,0.667,0.639,0.725,0.717,0.833,0.762,0.831,0.724,0.705,0.692,0.671,0.774,0.630,0.744,0.729,0.660,0.656,1.761,5.694,13.219,
280,11.469,11.423,2.936,20.334,309.227,955.629,425.329,60.095,245.135,2450.468,3994.234,1487.211,65.064,2.499,1.856,1.593,1.026,1.006,0.855,0.655,0.771,0.499,0.407,0.593,0.651,0.777,0.942,0.808,0.766,1.066,0.720,0.846,0.576,0.535,0.649,0.719,0.827,0.601,0.766,0.702,0.847,0.804,0.642,0.648,0.712,0.815,0.776,0.723,0.692,0.707,0.752,0.715,0.698,0.819,2.842,
285,21.906,10.974,4.661,4.220,37.360,518.075,967.115,317.097,48.900,275.335,2348.385,4512.759,1435.425,74.636,1.887,1.510,1.204,1.213,1.061,0.714,0.775,0.470,0.640,0.872,0.952,0.877,0.909,0.932,0.864,0.675,0.776,0.639,0.608,0.757,0.624,0.658,0.790,0.817,0.776,0.764,0.785,0.852,0.795,0.843,0.749,0.909,0.821,0.628,0.739,0.778,0.559,0.683,0.589,0.610,0.788,
290,23.704,10.972,5.209,7.383,5.757,83.846,697.416,869.148,236.860,43.071,231.866,2862.484,4201.842,1582.661,68.401,2.529,1.394,0.977,1.079,0.769,0.715,0.746,0.653,0.728,0.745,0.659,0.853,0.989,0.916,0.836,0.843,0.821,0.747,0.876,0.545,0.583,0.820,0.796,0.715,0.689,0.973,0.857,0.917,0.773,0.823,0.871,0.831,0.749,0.757,0.828,0.703,0.727,0.686,0.664,0.583,
295,37.804,11.469,6.027,7.835,6.592,21.185,145.700,752.556,764.078,141.607,41.419,344.213,2478.115,4104.958,1433.643,63.830,1.814,1.203,1.395,0.691,1.006,0.651,0.614,0.622,0.769,0.833,0.942,0.857,0.753,0.723,0.686,0.560,0.825,0.862,0.856,0.613,0.696,0.695,0.733,0.813,0.769,0.733,0.949,0.917,0.830,0.957,0.942,0.783,0.732,0.730,0.729,0.678,0.767,0.680,0.572,
300,31.919,15.211,8.613,9.164,9.635,22.828,20.002,203.700,823.604,569.768,102.919,39.491,246.207,2232.679,3979.222,1338.594,64.509,1.895,1.371,1.152,0.971,0.398,0.800,0.899,0.976,0.837,0.742,1.071,0.776,0.735,0.711,0.734,0.591,0.675,0.683,0.702,0.788,0.772,0.734,0.857,0.798,0.859,0.875,0.863,0.880,0.916,0.900,0.770,0.766,0.674,0.607,0.730,0.616,0.844,0.593,
305,34.502,12.751,8.738,7.998,11.446,24.747,15.092,27.258,270.326,813.735,481.605,75.062,33.504,176.710,2073.443,3828.808,1401.030,57.929,1.847,1.449,1.146,0.794,0.668,0.773,0.862,0.987,0.960,0.888,0.797,0.744,0.771,0.814,0.673,0.689,0.905,0.730,0.874,0.636,0.818,0.620,0.772,0.836,0.843,0.865,0.970,0.783,0.766,0.861,0.848,0.788,0.792,0.764,0.718,0.674,0.615,
310,33.679,18.520,10.222,10.260,9.926,23.532,15.486,16.925,40.760,374.586,797.188,358.776,45.936,30.068,188.324,2258.667,3422.669,1191.399,54.716,1.402,1.147,0.739,0.828,0.733,0.852,0.796,0.897,0.863,0.750,0.677,0.690,0.766,0.720,0.821,0.777,0.602,0.632,0.732,0.721,0.688,0.851,0.766,0.781,0.936,0.872,0.925,0.874,0.897,0.838,0.798,0.745,0.625,0.735,0.733,0.769,
315,28.685,18.778,11.632,13.712,12.956,24.143,14.991,16.677,23.039,65.489,444.165,763.143,250.892,35.980,27.815,181.645,1710.024,3365.957,1101.135,51.059,1.545,0.881,0.903,0.812,0.791,0.805,0.661,0.802,0.864,0.660,0.590,0.784,0.829,0.662,0.686,0.824,0.647,0.692,0.799,0.793,0.867,0.906,0.798,0.858,0.884,0.999,0.848,0.853,0.803,0.830,0.842,0.792,0.716,0.800,0.655,
320,21.847,16.783,15.934,16.593,14.266,25.617,15.516,16.552,20.332,26.497,90.129,546.090,692.689,189.939,26.344,24.658,126.858,1675.872,2826.869,1077.287,47.669,1.345,1.102,1.014,1.103,0.957,1.047,0.940,0.755,0.886,0.771,0.697,0.671,0.579,0.659,0.751,0.856,0.762,0.767,0.726,0.726,0.954,0.838,0.776,0.895,0.909,0.946,0.859,0.834,0.839,0.871,0.827,0.808,0.771,0.860,
