"Summary"
"[Software Information]"
"Software Name:","LabSolutions RF"
"Version:","1.12"
"[Data Information]"
"Data is:","Original"
"Sample Name"
"Sample ID"
"Option"
"Analyst"
"Date/Time:","07/26/2020 05:05:19 PM"
"Comments"
"[Instrument Information]"
"Instrument Name:","RF-6000"
"Instrument Type:","RF-6000 Series"
"Model (S/N):","RF-6000 (A40245500756SA)"

"Parameter"
"[Measurement]"
"Spectrum Type:","3D"
"EX Wavelength Start:","230.0 nm"
"EX Wavelength End:","500.0 nm"
"Data Interval:","5.0 nm"
"EM Wavelength Start:","230.0 nm"
"EM Wavelength End:","700.0 nm"
"Data Interval:","5.0 nm"
"Scan Speed:","600 nm/min"
"[Instrument]"
"EX Bandwidth:","5.0 nm"
"EM Bandwidth:","5.0 nm"
"Sensitivity:","Low"
"[Attachment]"
"Attachment:","None"
"[Auto Print]"
"Auto Print:","No"
"Report File:",""

"K3_12E - RawData"
"EM Wavelength/EX Wavelength",230,235,240,245,250,255,260,265,270,275,280,285,290,295,300,305,310,315,320,325,330,335,340,345,350,355,360,365,370,375,380,385,390,395,400,405,410,415,420,425,430,435,440,445,450,455,460,465,470,475,480,485,490,495,500,
230,2560.758,921.608,65.314,3.924,2.007,2.422,2.118,1.320,2.021,1.865,2.093,2.556,2.211,1.590,1.858,1.845,1.894,1.241,1.447,1.459,1.331,1.314,1.148,1.138,1.349,1.311,1.341,1.605,1.534,1.167,0.896,1.041,0.906,0.932,0.729,0.765,0.676,1.005,1.740,2.464,2.464,1.731,1.120,2.022,6.457,15.914,21.058,17.309,8.911,3.028,0.797,0.642,0.622,0.655,0.660,
235,1818.245,2884.208,1164.117,75.272,2.294,2.804,1.728,2.093,3.811,1.630,1.682,2.973,2.261,1.621,1.766,1.464,1.678,1.208,1.658,1.595,1.381,1.444,1.456,1.416,1.183,1.193,1.464,1.430,1.292,1.345,0.922,1.055,0.858,0.884,0.663,0.803,0.679,0.839,0.895,1.225,2.294,2.910,2.751,1.793,1.114,2.858,9.524,19.555,26.986,27.509,13.913,3.132,0.671,0.622,0.537,
240,260.817,2089.129,3731.771,1510.401,93.708,3.234,2.638,2.995,3.322,1.518,1.956,1.711,1.632,2.247,1.831,1.945,1.536,1.734,1.265,1.443,1.367,1.132,1.362,1.101,1.388,1.256,1.391,1.592,1.284,1.339,1.032,0.895,0.764,0.995,0.704,0.816,0.773,0.833,0.802,0.758,0.886,1.651,2.996,3.826,2.963,1.681,1.139,2.601,10.932,28.446,44.846,37.737,19.934,4.795,0.791,
245,263.875,308.448,2365.796,4052.436,1596.922,164.010,4.336,2.132,2.383,3.097,2.297,2.331,1.698,2.174,1.345,1.423,2.329,2.068,1.349,1.488,1.095,1.457,1.427,1.155,1.326,1.323,1.427,1.595,1.215,1.148,0.845,0.947,0.865,0.957,0.850,0.702,0.654,0.856,0.775,0.774,0.760,1.026,0.862,2.247,4.097,4.960,3.124,1.407,0.990,3.493,16.482,37.895,57.443,50.196,27.789,
250,538.103,203.914,289.171,2662.012,4519.768,2749.089,121.571,4.849,3.179,2.820,3.892,2.677,2.132,1.672,1.799,2.355,1.687,1.473,1.238,1.679,1.420,1.457,1.725,1.380,1.401,1.204,1.396,1.401,1.522,1.201,0.926,1.069,0.994,0.942,0.771,0.637,0.576,0.685,0.778,0.924,0.875,0.737,0.758,0.886,1.575,3.570,5.759,4.921,2.720,1.255,1.036,4.333,20.641,53.191,79.199,
255,345.956,531.282,188.992,310.329,2776.469,7091.871,2578.848,163.780,5.436,3.659,3.209,2.635,2.245,2.851,1.792,1.157,1.998,1.229,1.843,1.519,1.340,1.201,1.026,1.397,1.449,1.364,1.511,1.503,1.232,0.938,1.011,0.900,0.746,0.941,0.854,0.673,0.566,0.714,0.871,0.757,0.751,0.693,0.728,0.679,0.775,1.013,2.102,4.582,6.133,5.721,2.576,1.080,1.155,5.379,24.868,
260,65.963,416.433,517.908,143.221,330.662,4073.715,7754.618,2955.369,157.617,3.694,3.351,2.393,2.108,2.487,2.074,2.039,2.136,1.613,1.633,1.212,1.292,1.505,1.567,1.494,1.185,1.646,1.534,1.446,1.244,1.146,0.863,0.871,0.809,0.880,0.710,0.753,0.798,0.823,0.839,0.853,0.825,0.830,0.588,0.720,0.697,0.647,0.742,1.149,2.903,6.856,8.640,5.410,2.077,1.112,1.195,
265,5.354,89.865,469.061,489.586,114.477,376.071,4844.662,8441.108,3263.212,158.841,5.137,3.402,3.186,2.568,2.385,1.232,2.040,1.564,1.241,1.285,1.570,1.521,1.645,1.173,1.482,1.094,1.546,1.562,1.253,0.984,0.904,1.011,0.985,0.822,0.782,0.690,0.770,0.761,0.907,0.910,0.818,0.741,0.742,0.730,0.672,0.731,0.744,0.704,0.758,1.737,5.367,9.258,9.464,5.004,1.764,
270,10.667,14.587,122.318,560.053,455.692,111.601,552.337,5101.824,9050.520,3394.608,171.279,5.026,4.402,3.617,2.714,1.779,2.264,1.803,1.491,1.682,1.303,1.142,1.558,1.375,1.514,1.503,1.534,1.399,1.210,0.977,0.950,1.078,1.059,1.063,0.913,0.826,1.002,1.083,0.956,0.789,1.141,0.925,0.727,0.780,0.771,0.759,0.868,0.692,0.664,0.698,1.032,2.975,8.005,11.556,10.195,
275,45.847,21.764,20.374,197.274,627.993,509.672,88.967,542.979,5395.640,9372.217,3724.816,237.942,5.055,4.327,3.122,2.402,2.261,1.918,1.656,1.604,1.506,1.183,1.557,1.113,1.456,1.302,1.843,1.517,1.264,1.252,0.954,1.027,1.342,1.402,1.254,1.334,1.249,1.241,1.204,1.167,1.259,1.114,1.081,1.105,0.968,1.028,0.996,0.862,0.812,0.798,0.746,0.752,1.515,4.706,11.912,
280,105.311,45.117,22.587,29.664,282.298,856.607,413.834,98.764,553.793,5659.684,11134.974,4292.376,204.503,6.905,4.093,3.478,2.970,1.966,1.501,1.928,1.620,1.455,1.517,1.290,1.521,1.406,1.912,1.574,1.278,1.060,1.017,1.598,1.777,1.871,1.677,1.512,1.567,1.550,1.764,1.696,1.737,1.796,1.503,1.572,1.488,1.494,1.536,1.223,1.032,0.934,0.727,0.790,0.752,0.912,2.735,
285,259.032,92.895,39.425,31.640,68.966,510.211,940.277,408.879,194.901,778.925,6408.300,11048.613,4483.239,237.005,5.862,4.664,2.614,2.565,2.067,1.938,1.192,1.608,1.426,1.645,1.488,1.263,2.080,1.747,1.256,1.126,1.058,1.884,2.716,3.021,2.603,2.384,2.176,2.102,2.204,2.570,2.419,2.642,2.812,3.118,3.256,3.263,2.799,2.130,1.455,1.238,1.025,0.973,0.939,1.027,1.176,
290,511.503,182.828,72.471,54.042,65.868,184.601,789.384,1014.585,534.682,372.870,818.326,6347.789,12500.364,5793.782,227.263,5.658,3.541,3.228,2.736,2.298,1.799,1.601,1.622,1.432,1.503,1.752,2.002,1.699,1.219,1.098,1.184,2.604,3.903,4.528,3.749,3.209,2.857,2.898,2.991,3.309,3.421,3.820,4.692,5.329,5.415,5.599,4.999,3.442,2.394,1.968,1.545,1.288,1.261,1.361,1.601,
295,715.638,283.852,117.275,79.121,98.888,170.913,388.610,1025.633,1151.956,623.048,476.319,772.860,7376.625,14460.630,4935.159,210.641,5.289,3.926,3.062,1.981,1.900,1.837,1.454,1.331,1.484,1.748,2.042,1.792,1.352,1.148,1.451,2.908,4.939,5.544,5.181,4.111,3.463,3.505,3.490,4.062,4.495,4.918,5.815,7.081,7.556,7.729,6.928,4.891,3.156,2.543,1.934,1.718,1.693,1.841,2.136,
300,824.621,322.927,151.129,111.787,131.077,215.535,332.884,605.107,1296.136,1115.380,626.854,356.060,807.999,7428.475,14564.393,4872.677,219.540,5.555,3.857,2.926,2.281,1.883,1.581,1.644,1.675,1.812,2.194,1.511,1.219,1.105,1.470,3.167,5.315,6.367,5.727,4.371,3.858,3.644,3.772,4.264,4.766,5.649,6.669,8.285,8.683,8.884,7.583,5.573,3.797,2.980,2.582,2.147,2.166,2.361,2.436,
305,847.239,352.113,179.237,144.275,158.504,245.831,353.507,469.314,830.720,1368.897,1012.222,419.177,155.149,533.320,7813.440,13418.290,5144.655,226.020,5.149,3.763,3.233,2.265,2.161,1.259,1.589,1.471,1.952,1.606,1.178,1.267,1.351,2.885,5.376,6.425,5.528,4.430,3.929,3.844,4.060,4.425,4.997,6.018,6.937,7.978,8.375,8.989,8.001,5.864,3.990,3.299,2.906,2.538,2.713,2.657,3.073,
310,799.871,361.064,206.544,173.053,186.360,270.207,355.853,458.157,605.365,953.104,1301.050,700.985,195.871,94.659,567.809,7178.477,13350.150,4763.325,244.977,4.647,3.142,2.624,2.070,1.441,1.616,2.006,2.039,1.749,1.181,1.058,1.527,2.760,4.773,5.978,5.530,4.596,4.062,3.849,3.877,4.313,4.753,5.629,6.369,7.690,8.067,8.320,7.672,5.591,4.029,3.714,3.438,2.983,3.184,3.389,3.607,
315,759.905,349.988,235.389,205.927,213.204,297.670,371.605,450.526,569.880,638.986,951.822,1096.129,419.337,126.149,74.547,506.786,6477.132,12449.910,4755.639,208.982,4.475,2.784,2.952,2.287,2.299,2.191,1.943,1.685,1.191,0.937,1.232,2.544,4.302,5.392,5.162,4.185,3.729,3.886,3.721,4.257,4.587,5.108,5.943,7.145,7.585,8.175,7.319,5.354,3.826,3.873,3.536,3.470,3.497,3.671,4.276,
320,772.548,383.540,259.324,232.185,247.078,328.574,394.676,466.675,565.849,606.418,638.928,931.148,905.955,317.253,101.295,68.950,388.165,6210.887,12341.382,4419.505,183.889,4.408,3.359,2.644,2.279,1.988,2.197,1.788,1.321,1.016,1.351,2.303,3.501,4.785,4.538,4.165,3.753,3.597,3.666,4.184,4.738,5.234,6.220,7.565,8.132,8.237,7.428,5.355,4.008,3.885,3.921,3.769,4.044,4.213,4.627,
325,861.015,434.610,292.622,259.864,273.912,372.134,429.971,491.832,591.771,620.359,611.056,613.909,938.383,743.949,210.841,93.407,69.436,488.427,6679.186,10625.605,3845.672,186.129,4.345,3.081,2.587,2.335,2.702,1.795,1.277,1.228,1.098,2.348,3.239,3.911,4.211,3.570,3.501,3.515,3.801,4.222,4.816,5.641,6.587,8.011,8.682,9.408,8.226,5.950,4.375,4.216,4.200,4.269,4.438,4.608,5.164,
330,840.136,465.540,326.553,291.839,300.414,411.328,461.352,520.460,608.163,639.998,640.436,564.186,598.347,874.757,574.332,166.976,93.373,72.485,518.857,5533.147,10746.239,4623.840,194.438,4.416,3.171,2.377,2.725,1.943,1.249,1.103,1.355,1.856,2.900,3.649,3.710,3.687,3.519,3.642,3.757,4.388,4.809,5.561,6.572,8.041,8.316,8.838,7.962,6.134,4.614,4.545,4.594,4.610,4.822,4.991,5.990,
335,868.405,499.510,359.174,322.887,337.680,454.488,511.871,570.083,646.212,680.871,691.280,633.377,516.123,566.966,830.078,457.918,155.858,101.446,81.964,405.720,5843.102,11542.158,3962.267,178.934,4.821,2.965,2.922,2.052,1.582,1.381,1.389,1.682,2.571,3.249,3.281,3.634,3.496,3.854,4.045,4.522,5.005,5.807,7.025,8.344,8.548,9.362,8.072,6.206,4.749,5.033,5.180,5.090,5.470,5.380,6.106,
340,959.831,582.115,441.068,418.395,420.765,533.792,587.787,629.055,717.195,747.115,762.204,719.504,603.350,466.972,627.297,778.720,377.722,159.676,124.905,97.403,542.276,5759.668,10549.476,3819.606,139.618,4.478,3.341,2.248,1.713,1.607,1.287,1.837,2.588,3.008,3.196,3.392,3.587,3.664,4.020,4.659,5.225,6.229,7.240,8.579,9.263,9.754,8.610,6.759,5.629,5.950,6.149,6.431,6.630,6.848,7.775,
345,1066.848,769.139,659.333,621.733,584.222,686.234,698.645,707.394,789.872,824.100,849.387,833.371,733.888,571.959,484.289,703.349,757.892,349.646,206.073,171.016,135.327,435.927,5656.014,9894.500,4344.238,159.659,5.348,2.950,2.135,1.701,1.570,2.026,2.539,2.781,3.248,3.421,3.629,3.767,4.290,4.723,5.347,6.340,7.583,8.660,9.177,9.970,9.335,7.841,6.991,8.048,8.992,9.258,9.530,9.657,10.706,
350,1267.460,1080.026,1000.422,926.493,816.715,904.573,840.483,825.652,902.333,933.450,978.178,979.678,895.422,734.772,594.278,568.503,823.810,724.087,388.546,283.294,237.094,194.020,496.130,5014.998,10936.096,3225.226,119.852,4.808,2.551,2.146,1.896,2.231,3.048,3.052,3.364,3.474,3.831,4.259,4.710,5.375,5.727,7.096,8.196,9.755,10.091,10.982,10.637,9.699,9.280,11.485,12.875,13.828,14.540,14.053,14.769,
355,1573.888,1495.257,1467.911,1350.153,1125.506,1145.361,1053.120,981.128,1050.012,1078.578,1132.279,1167.796,1105.186,942.183,785.607,681.490,727.209,955.469,756.825,475.476,387.956,327.112,255.555,564.592,5182.679,8818.348,3357.550,82.739,4.416,2.711,2.187,2.442,3.071,3.249,3.580,3.966,4.244,4.603,5.186,5.737,6.684,7.975,9.055,10.720,11.098,12.604,13.371,12.426,12.718,16.523,18.685,19.859,21.109,20.204,20.320,
360,2037.513,2056.415,2101.528,1934.787,1553.859,1504.006,1311.420,1187.338,1233.623,1258.476,1342.411,1390.269,1357.305,1211.535,1042.321,912.755,845.306,928.689,1108.000,853.598,603.839,506.078,408.976,292.192,509.992,4946.670,10172.310,2659.087,119.278,4.593,3.081,2.838,3.278,3.590,4.183,4.490,4.713,5.468,5.862,6.673,7.521,8.779,10.389,12.286,12.918,14.764,15.942,15.956,17.191,22.353,26.704,28.198,29.775,28.228,27.770,
